Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_200010	GRA20	dense granule protein GRA20	TGME49_200010
TGME49_200110	N/A	hypothetical protein	TGME49_200110
TGME49_200130	N/A	Toxoplasma gondii family C protein	TGME49_200130
TGME49_200230	MIC17C	microneme protein MIC17C	TGME49_200230
TGME49_200240	MIC17B	microneme protein MIC17B	TGME49_200240
TGME49_200250	MIC17A	microneme protein MIC17A	TGME49_200250
TGME49_200260	N/A	hypothetical protein	TGME49_200260
TGME49_200270	N/A	PAN/Apple domain-containing protein	TGME49_200270
TGME49_200280	N/A	WD domain, G-beta repeat-containing protein	TGME49_200280
TGME49_200290	ROM1	rhomboid protease ROM1	TGME49_200290
TGME49_200310	N/A	hypothetical protein	TGME49_200310
TGME49_200320	HXGPRT	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGME49_200320
TGME49_200320	HXGPRT	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGME49_200320
TGME49_200320	HXGPRT	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGME49_200320
TGME49_200320	HXGPRT	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGME49_200320
TGME49_200330	BCC9	basal complex component BCC9	TGME49_200330
TGME49_200340	N/A	hypothetical protein	TGME49_200340
TGME49_200350	SUB3	subtilisin SUB3	TGME49_200350
TGME49_200360	N/A	hypothetical protein	TGME49_200360
TGME49_200370	N/A	protein farnesyltransferase subunit beta, putative	TGME49_200370
TGME49_200385	BFD1	bradyzoite-formation deficient protein BFD1	TGME49_200385
TGME49_200400	PR48	serine/threonine-protein phosphatase PP2A regulatory subunit PR48	TGME49_200400
TGME49_200410	N/A	hypothetical protein	TGME49_200410
TGME49_200430	N/A	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	TGME49_200430
TGME49_200440	N/A	hypothetical protein	TGME49_200440
TGME49_200450	N/A	hypothetical protein	TGME49_200450
TGME49_200460	N/A	hypothetical protein	TGME49_200460
TGME49_200470	N/A	hypothetical protein	TGME49_200470
TGME49_200480	N/A	Toxoplasma gondii family B protein	TGME49_200480
TGME49_200590	N/A	Toxoplasma gondii family C protein	TGME49_200590
TGME49_200595	N/A	hypothetical protein	TGME49_200595
TGME49_200600	N/A	hypothetical protein	TGME49_200600
TGME49_200700	N/A	Toxoplasma gondii family C protein	TGME49_200700
TGME49_201100	N/A	hypothetical protein	TGME49_201100
TGME49_201110	N/A	hypothetical protein	TGME49_201110
TGME49_201120	N/A	ELMO/CED-12 family protein	TGME49_201120
TGME49_201130	ROP33	rhoptry kinase family protein ROP33	TGME49_201130
TGME49_201140	N/A	hypothetical protein	TGME49_201140
TGME49_201150	N/A	heavy metal translocating P-type ATPase subfamily protein	TGME49_201150
TGME49_201160	N/A	hypothetical protein	TGME49_201160
TGME49_201170	N/A	hypothetical protein	TGME49_201170
TGME49_201180	MSF	megakaryocyte stimulating factor MSF	TGME49_201180
TGME49_201200	CPSF4	cleavage and polyadenylation specificity factor subunit 4	TGME49_201200
TGME49_201210	N/A	hypothetical protein	TGME49_201210
TGME49_201220	PCR4	preconoidal ring protein PCR4	TGME49_201220
TGME49_201230	N/A	kinesin motor domain-containing protein	TGME49_201230
TGME49_201240	N/A	hypothetical protein	TGME49_201240
TGME49_201250	N/A	histone lysine methyltransferase, SET, putative	TGME49_201250
TGME49_201260	ST3	sugar transporter ST3	TGME49_201260
TGME49_201270	N/A	hypothetical protein	TGME49_201270
TGME49_201380	N/A	chorismate synthase, putative	TGME49_201380
TGME49_201390	N/A	hypothetical protein	TGME49_201390
TGME49_201400	SAP18	Sin3-associated polypeptide SAP18	TGME49_201400
TGME49_201520	N/A	protein phosphatase PPM3G, putative	TGME49_201520
TGME49_201630	N/A	protein phosphatase PPM3H, putative	TGME49_201630
TGME49_201660	N/A	hypothetical protein	TGME49_201660
TGME49_201670	N/A	DnaJ domain-containing protein	TGME49_201670
TGME49_201680	N/A	eukaryotic initiation factor-3 subunit 10, putative	TGME49_201680
TGME49_201690	N/A	BT1 family protein	TGME49_201690
TGME49_201700	N/A	protein transport protein SEC13	TGME49_201700
TGME49_201710	N/A	WD domain, G-beta repeat-containing protein	TGME49_201710
TGME49_201720	N/A	alpha N-terminal protein methyltransferase NTM1	TGME49_201720
TGME49_201730	N/A	hypothetical protein	TGME49_201730
TGME49_201740	N/A	hypothetical protein	TGME49_201740
TGME49_201750	N/A	Tctex-1 family protein	TGME49_201750
TGME49_201760	TLAP4	thioredoxin-like associated protein TLAP4	TGME49_201760
TGME49_201770	N/A	cullin 3, putative	TGME49_201770
TGME49_201775	N/A	hypothetical protein	TGME49_201775
TGME49_201780	MIC2	microneme protein MIC2	TGME49_201780
TGME49_201785	N/A	hypothetical protein	TGME49_201785
TGME49_201790	CEP170	centrosomal protein CEP170, putative	TGME49_201790
TGME49_201800	N/A	ATP synthase-associated protein	TGME49_201800
TGME49_201810	N/A	hypothetical protein	TGME49_201810
TGME49_201820	N/A	hypothetical protein	TGME49_201820
TGME49_201830	N/A	ribosomal protein L37	TGME49_201830
TGME49_201840	ASP1	aspartyl protease ASP1	TGME49_201840
TGME49_201850	N/A	WD domain, G-beta repeat-containing protein	TGME49_201850
TGME49_201860	N/A	hypothetical protein	TGME49_201860
TGME49_201870	N/A	tetratricopeptide repeat-containing protein	TGME49_201870
TGME49_201880	QCR9	cytochrome b-c1 complex subunit 9	TGME49_201880
TGME49_201900	N/A	hypothetical protein	TGME49_201900
TGME49_202010	N/A	hypothetical protein	TGME49_202010
TGME49_202020	N/A	DnAK-TPR	TGME49_202020
TGME49_202040	N/A	hypothetical protein	TGME49_202040
TGME49_202050	N/A	hypothetical protein	TGME49_202050
TGME49_202065	N/A	hypothetical protein	TGME49_202065
TGME49_202070	N/A	hypothetical protein	TGME49_202070
TGME49_202080	N/A	hypothetical protein	TGME49_202080
TGME49_202090	N/A	hypothetical protein	TGME49_202090
TGME49_202100	N/A	hypothetical protein	TGME49_202100
TGME49_202110	N/A	hypothetical protein	TGME49_202110
TGME49_202120	ICAP16	PH domain-containing protein	TGME49_202120
TGME49_202140	N/A	enoyl-CoA hydratase/isomerase family protein	TGME49_202140
TGME49_202160	N/A	ABC1 family protein	TGME49_202160
TGME49_202170	N/A	hypothetical protein	TGME49_202170
TGME49_202180	N/A	hypothetical protein	TGME49_202180
TGME49_202190	N/A	hypothetical protein	TGME49_202190
TGME49_202200	N/A	hypothetical protein	TGME49_202200
TGME49_202205	N/A	hypothetical protein	TGME49_202205
TGME49_202210	N/A	nucleoside diphosphate kinase	TGME49_202210
TGME49_202220	ISAP1	IMC suture-associated protein ISAP1	TGME49_202220
TGME49_202230	HDAC5	histone deacetylase HDAC5	TGME49_202230
TGME49_202240	N/A	RAP domain-containing protein	TGME49_202240
TGME49_202250	N/A	hypothetical protein	TGME49_202250
TGME49_202255	N/A	hypothetical protein	TGME49_202255
TGME49_202285	N/A	EGF family domain-containing protein	TGME49_202285
TGME49_202290	N/A	membrane protein, putative	TGME49_202290
TGME49_202300	N/A	inosine triphosphate pyrophosphatase, putative	TGME49_202300
TGME49_202310	N/A	O-sialoglycoprotein endopeptidase	TGME49_202310
TGME49_202320	N/A	tRNA-Glu	TGME49_202320
TGME49_202330	N/A	hypothetical protein	TGME49_202330
TGME49_202340	N/A	proline dehydrogenase	TGME49_202340
TGME49_202350	N/A	50S ribosomal protein L21, putative	TGME49_202350
TGME49_202360	N/A	methylase, putative	TGME49_202360
TGME49_202370	N/A	T-complex protein 1, epsilon subunit (TCP-1-epsilon), putative	TGME49_202370
TGME49_202375	N/A	hypothetical protein	TGME49_202375
TGME49_202380	N/A	rab GDI alpha, putative	TGME49_202380
TGME49_202390	MSC1B	mature soluble cytoskeleton protein MSC1B	TGME49_202390
TGME49_202400	N/A	calcium binding egf domain-containing protein	TGME49_202400
TGME49_202410	N/A	CRAL/TRIO domain-containing protein	TGME49_202410
