gene_id	gene_name
TGGT1_200010	N/A
TGGT1_200110	N/A
TGGT1_200130	N/A
TGGT1_200230	N/A
TGGT1_200240	N/A
TGGT1_200250	N/A
TGGT1_200260	N/A
TGGT1_200270	N/A
TGGT1_200280	N/A
TGGT1_200290	N/A
TGGT1_200295	N/A
TGGT1_200300	N/A
TGGT1_200310	N/A
TGGT1_200320	N/A
TGGT1_200330	N/A
TGGT1_200340	N/A
TGGT1_200350	N/A
TGGT1_200360	N/A
TGGT1_200370	N/A
TGGT1_200385	N/A
TGGT1_200400	N/A
TGGT1_200410	N/A
TGGT1_200430	N/A
TGGT1_200440	N/A
TGGT1_200450	N/A
TGGT1_200460	N/A
TGGT1_200470	N/A
TGGT1_200480	N/A
TGGT1_200590	N/A
TGGT1_200595	N/A
TGGT1_200600	N/A
TGGT1_200700	N/A
TGGT1_201100	N/A
TGGT1_201110	N/A
TGGT1_201120	N/A
TGGT1_201130	N/A
TGGT1_201140	N/A
TGGT1_201150	N/A
TGGT1_201160	N/A
TGGT1_201170	N/A
TGGT1_201180A	N/A
TGGT1_201180B	N/A
TGGT1_201190	N/A
TGGT1_201200	N/A
TGGT1_201210	N/A
TGGT1_201220	N/A
TGGT1_201230	N/A
TGGT1_201240	N/A
TGGT1_201250	N/A
TGGT1_201260	N/A
TGGT1_201270	N/A
TGGT1_201380	N/A
TGGT1_201390	N/A
TGGT1_201400	N/A
TGGT1_201520	N/A
TGGT1_201630A	N/A
TGGT1_201630B	N/A
TGGT1_201640	N/A
TGGT1_201650	N/A
TGGT1_201660	N/A
TGGT1_201670	N/A
TGGT1_201680	N/A
TGGT1_201690	N/A
TGGT1_201700	N/A
TGGT1_201710	N/A
TGGT1_201720	N/A
TGGT1_201730	N/A
TGGT1_201740	N/A
TGGT1_201750	N/A
TGGT1_201760	N/A
TGGT1_201770	N/A
TGGT1_201775	N/A
TGGT1_201780	N/A
TGGT1_201785	N/A
TGGT1_201790	N/A
TGGT1_201800	N/A
TGGT1_201810	N/A
TGGT1_201820	N/A
TGGT1_201830	N/A
TGGT1_201840	N/A
TGGT1_201850	N/A
TGGT1_201860	N/A
TGGT1_201870	N/A
TGGT1_201880	N/A
TGGT1_201890	N/A
TGGT1_201895	N/A
TGGT1_201900	N/A
TGGT1_202010	N/A
TGGT1_202020	N/A
TGGT1_202025	N/A
TGGT1_202030	N/A
TGGT1_202040	N/A
TGGT1_202050	N/A
TGGT1_202065	N/A
TGGT1_202070	N/A
TGGT1_202080	N/A
TGGT1_202090	N/A
TGGT1_202100	N/A
TGGT1_202110	N/A
TGGT1_202120	N/A
TGGT1_202140	N/A
TGGT1_202160	N/A
TGGT1_202170	N/A
TGGT1_202180	N/A
TGGT1_202190	N/A
TGGT1_202200	N/A
TGGT1_202205	N/A
TGGT1_202210	N/A
TGGT1_202220	N/A
TGGT1_202230	N/A
TGGT1_202240	N/A
TGGT1_202250	N/A
TGGT1_202255	N/A
TGGT1_202260	N/A
TGGT1_202280	N/A
TGGT1_202285	N/A
TGGT1_202290	N/A
TGGT1_202300	N/A
TGGT1_202310	N/A
TGGT1_202340	N/A
TGGT1_202350	N/A
TGGT1_202360	N/A
TGGT1_202370	N/A
TGGT1_202375	N/A
TGGT1_202380	N/A
TGGT1_202390	N/A
TGGT1_202400	N/A
TGGT1_202410	N/A
TGGT1_202420	N/A
TGGT1_202430	N/A
TGGT1_202440	N/A
TGGT1_202445	N/A
TGGT1_202450	N/A
TGGT1_202460	N/A
TGGT1_202470	N/A
TGGT1_202480	N/A
TGGT1_202490	N/A
TGGT1_202500	N/A
TGGT1_202510	N/A
TGGT1_202520	N/A
TGGT1_202530	N/A
TGGT1_202540	N/A
TGGT1_202550	N/A
TGGT1_202568	N/A
TGGT1_202572	N/A
TGGT1_202580	N/A
TGGT1_202590	N/A
TGGT1_202600	N/A
TGGT1_202610	N/A
TGGT1_202620	N/A
TGGT1_202630	N/A
TGGT1_202640	N/A
TGGT1_202650	N/A
TGGT1_202680	N/A
TGGT1_202690	N/A
TGGT1_202700	N/A
TGGT1_202720	N/A
TGGT1_202730	N/A
TGGT1_202735	N/A
TGGT1_202740	N/A
TGGT1_202750	N/A
TGGT1_202760	N/A
TGGT1_202770	N/A
TGGT1_202780	N/A
TGGT1_202790	N/A
TGGT1_202800	N/A
TGGT1_202810	TIM14
TGGT1_202820	N/A
TGGT1_202830	N/A
TGGT1_202840	N/A
TGGT1_202850	N/A
TGGT1_202870	N/A
TGGT1_202880	N/A
TGGT1_202890	N/A
TGGT1_202900	N/A
