organism,slot,axis,context,unit,grade,genes,coverage,positive,filled_by,detail,policy,candidates,candidate_titles,blocked_by,searched,would_fill_it
Tg,Tg_transcription · tachyzoite,transcription,"tachyzoite, in vitro",gene,A,7882,96.8%,,"expr_tachy, rna108740_Tachyzoites, invivo_TZ_, rna22258_tachyzoite, rna99395_intracellular_, rna129869_, rna51780_tachy_, rna245775_parent_tachy_",19 columns,one,,,,,
Tg,Tg_transcription · bradyzoite / tissue cyst,transcription,bradyzoite,gene,A,7865,96.6%,,"expr_cyst, rna108740_Tissue_cysts, rna108740_Day, rna22258_bradyzoite",12 columns,average,"PMID 41580398 GSE311669 (bradyzoite subtypes, 2026)",41580398: Bradyzoite subtypes rule the crossroads of Toxoplasma development.,,,
Tg,Tg_transcription · oocyst / sporozoite,transcription,"oocyst, sporulation",gene,A,7974,98.0%,,"rna206344_, expr_sporulated",7 columns,average,,,,,
Tg,Tg_transcription · merozoite,transcription,merozoite,gene,B,6504,79.9%,,rna51780_mero_,4 columns,one,"PMID 24885521 GSE51780 (measured feline merozoites); PMID 25757795 PRJEB7935 (asexual expansion, distinct from tachyzoite)","24885521: Toxoplasma gondii merozoite gene expression analysis with comparison to the life cycle discloses a unique expression state during enteric development. | 25757795: Asexual expansion of Toxoplasma gondii merozoites is distinct from tachyzoites and entails expression of non-overlapping gene families to attach, invade, and replicate within feline enterocytes.",,,
Tg,Tg_transcription · sexual stages,transcription,"feline gut, sexual",gene,B,4463,54.8%,,sexual_stage_8dpi_log2fc,1 columns,one,"PMID 38093015 GSE222819 (in vitro pre-sexual stages); PMID 42020723 (single-cell atlas of sexual development, 2026); GSE282299 (from the GEO index, verify assay and parasite-gene shape); PMID 41193469 GSE287537 (from the GEO index, verify assay and parasite-gene shape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271902 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271900 (from the GEO index, verify assay and parasite-gene shape); PMID 39716984 GSE283441 (from the GEO index, verify assay and parasite-gene shape); PMID 38791568 GSE249604 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222835 (from the GEO index, verify assay and parasite-gene shape); PMID 37953800 PXD045050 (automatically proposed, verify assay and parasite-gene shape)","38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 42020723: A single-cell atlas of Toxoplasma sexual development in the feline intestinal tract. | from the GEO index; verify assay and parasite-gene shape | 41193469: Toxoplasma gondii chromatin remodeler SWI/SNF controls parasite division and gene expression. | from the GEO index; verify assay and parasite-gene shape | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq] | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq] | 39716984: To identify HDAC3 occupancy in the genomes of ME49 and ΔXII-5 strains | 38791568: AP2XII-1 and AP2XI-2 Suppress Schizogony Gene Expression in Toxoplasma gondii | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 37953800: Unravelling the sexual developmental biology of Cystoisospora suis, a model for comparative coccidian parasite studies.",,,
Tg,Tg_transcription · per cell-cycle phase,transcription,cell cycle,gene,B,6504,79.9%,,cellcycle19092_,28 columns,separate,"PMID 20865045 GSE19092 (synchronized tachyzoite time course); PMID 32065584 (the study behind cellcycle_phase, re-ingested as VALUES not a call)",20865045: Coordinated progression through two subtranscriptomes underlies the tachyzoite cycle of Toxoplasma gondii. | 32065584: A single-parasite transcriptional atlas of Toxoplasma Gondii reveals novel control of antigen expression.,,,
Tg,Tg_transcription · in naive macrophage,transcription,host: naive macrophage,gene,A,8140,100.0%,,macrophage_expression_percentile,1 columns,one,"PMID 40630957 GSE295224 (dual single-cell and bulk, host-parasite); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE313048 (from the GEO index, verify assay and parasite-gene shape); GSE334992 (from the GEO index, verify assay and parasite-gene shape); GSE329845 (from the GEO index, verify assay and parasite-gene shape); PMID 41704854 GSE300509 (from the GEO index, verify assay and parasite-gene shape); GSE275112 (from the GEO index, verify assay and parasite-gene shape); PMID 39207100 GSE266204 (from the GEO index, verify assay and parasite-gene shape)",40630957: Dual single-cell and bulk RNA sequencing reveal transcriptional profiles underlying heterogenous host-parasite interactions in human peripheral blood mononuclear cells. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41704854: In vitro growth of Toxoplasma gondii tachyzoites on different host cell lines selects for changes in efficiency of invasion and parasite surface antigen gene expression | from the GEO index; verify assay and parasite-gene shape | 39207100: Cyclical transcription factor AP2XII-9 is a key activator for asexual division and apicoplast inheritance in Toxoplasma gondii tachyzoite,,,
Tg,Tg_transcription · in IFN-gamma macrophage,transcription,host: IFN-g macrophage,gene,-,0,,,,,one,,,missing,"All 56 ToxoDB RNA-seq datasets, all 180 datasets, GEO's Toxoplasma+interferon series. The only macrophage transcriptome is the naive 29-strain panel already in the map; GSE230866 profiles IFN-gamma-activated cells but sequenced only the human side, and the four-cell-type panel is neurons, skeletal muscle, astrocytes and fibroblasts. Re-swept without an organism filter, on the theory that a dual RNA-seq series tagged host-only would be invisible to one: 57 Toxoplasma+interferon GEO series and all 184 tagged Toxoplasma gondii. That surfaced GSE204926, whose title reads 'Toxoplasma IWS1 determines fitness in interferon-gamma-activated host cells' and whose parasite samples are freshly isolated EXTRACELLULAR tachyzoites compared WT against IWS1-KO -- a genotype contrast, not an IFN-gamma condition contrast. Refused: the sixth time a source's own label named a measurement it had not made.","Dual RNA-seq of Toxoplasma inside IFN-gamma-activated macrophages, parasite reads retained."
Tg,"Tg_transcription · in vivo brain, acute",transcription,"mouse brain, acute",gene,A,7663,94.1%,,invivo_WholeBrain_Acute,3 columns,average,,,,,
Tg,"Tg_transcription · in vivo brain, chronic",transcription,"mouse brain, chronic",gene,A,7663,94.1%,,invivo_WholeBrain_Chronic,3 columns,average,,,,,
