organism,slot,axis,context,unit,grade,genes,coverage,positive,filled_by,detail,policy,candidates,candidate_titles,blocked_by,searched,would_fill_it
Pf,Pf_transcription · asexual blood stage,transcription,asexual blood stage,gene,A,5720,100.0%,,expr_asexual_blood,1 columns,one,"GSE337518 (from the GEO index, verify assay and parasite-gene shape); GSE280287 (from the GEO index, verify assay and parasite-gene shape); GSE339382 (from the GEO index, verify assay and parasite-gene shape); GSE298061 (from the GEO index, verify assay and parasite-gene shape); GSE298024 (from the GEO index, verify assay and parasite-gene shape); GSE326228 (from the GEO index, verify assay and parasite-gene shape); GSE252704 (from the GEO index, verify assay and parasite-gene shape); GSE316842 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape,,,
Pf,Pf_transcription · ring,transcription,ring,gene,A,5720,100.0%,,expr_ring,1 columns,one,"GSE337518 (from the GEO index, verify assay and parasite-gene shape); GSE280287 (from the GEO index, verify assay and parasite-gene shape); GSE339382 (from the GEO index, verify assay and parasite-gene shape); GSE298061 (from the GEO index, verify assay and parasite-gene shape); GSE298024 (from the GEO index, verify assay and parasite-gene shape); PMID 41871101 GSE300206 (from the GEO index, verify assay and parasite-gene shape); PMID 41871101 GSE299944 (from the GEO index, verify assay and parasite-gene shape); PMID 41758949 GSE302727 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41871101: Phase separation of heterochromatin protein 1 regulates virulence gene expression in Plasmodium falciparum | 41871101: Phase separation of heterochromatin protein 1 regulates virulence gene expression in Plasmodium falciparum | 41758949: Iron deficiency protects against Plasmodium infection and drives parasite molecular reprofiling.,,,
Pf,Pf_transcription · trophozoite,transcription,trophozoite,gene,A,5720,100.0%,,"expr_early_trophozoite, expr_late_trophozoite",2 columns,one,"GSE337518 (from the GEO index, verify assay and parasite-gene shape); GSE298061 (from the GEO index, verify assay and parasite-gene shape); GSE298024 (from the GEO index, verify assay and parasite-gene shape); GSE252704 (from the GEO index, verify assay and parasite-gene shape); GSE329814 (from the GEO index, verify assay and parasite-gene shape); GSE301593 (from the GEO index, verify assay and parasite-gene shape); GSE304394 (from the GEO index, verify assay and parasite-gene shape); PMID 41484140 GSE290545 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41484140: PbAP2-TR plays a role in regulating major transcriptomic changes from early to late trophozoite [PbAP2-TR_RNA-seq],,,
Pf,Pf_transcription · schizont,transcription,schizont,gene,A,5720,100.0%,,expr_schizont,1 columns,one,"GSE337518 (from the GEO index, verify assay and parasite-gene shape); GSE298920 (from the GEO index, verify assay and parasite-gene shape); PMID 41210950 GSE298805 (from the GEO index, verify assay and parasite-gene shape); PMID 41210950 GSE298804 (from the GEO index, verify assay and parasite-gene shape); GSE301593 (from the GEO index, verify assay and parasite-gene shape); GSE304394 (from the GEO index, verify assay and parasite-gene shape); GSE278140 (from the GEO index, verify assay and parasite-gene shape); PMID 40877256 GSE246115 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41210950: Transcription Factor 25 Modulates Gametocytogenesis in the Malaria Parasite Plasmodium falciparum [RNA-Seq] | 41210950: Transcription Factor 25 Modulates Gametocytogenesis in the Malaria Parasite Plasmodium falciparum [RNA-Seq] | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 40877256: MYST-mediated epigenetic regulation determines the adaptive artemisinin-resistant in Plasmodium falciparum [scRNA-Seq],,,
Pf,Pf_transcription · ookinete,transcription,ookinete,gene,A,5720,100.0%,,expr_ookinete,1 columns,one,"PMID 41125888 GSE284537 (from the GEO index, verify assay and parasite-gene shape); PMID 40623036 GSE271105 (from the GEO index, verify assay and parasite-gene shape); PMID 39576115 GSE269994 (from the GEO index, verify assay and parasite-gene shape); PMID 38702310 GSE189034 (from the GEO index, verify assay and parasite-gene shape); PMID 36847501 GSE222586 (from the GEO index, verify assay and parasite-gene shape); GSE198070 (from the GEO index, verify assay and parasite-gene shape); GSE198065 (from the GEO index, verify assay and parasite-gene shape); PMID 33747980 GSE152686 (from the GEO index, verify assay and parasite-gene shape)",41125888: Mapping Plasmodium transitions and interactions in the Anopheles female | 40623036: The Serine/Threonine Protein Phosphatase 6 Is Required for Efficient Gametogenesis in Sexual-Stage Plasmodium berghei | 39576115: An inner membrane complex protein IMC1g in Plasmodium berghei plays an essential role in asexual erythrocytic proliferation and transmission | 38702310: The DEAD-box RNA helicase PfDOZI imposes opposing actions on RNA metabolism in Plasmodium falciparum | 36847501: Single-cell transcriptomics to define Plasmodium falciparum stage-transition in the mosquito midgut | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 33747980: Pleiotropic Roles for the Plasmodium berghei RNA Binding Protein UIS12 in Anopheles Transmission and Sporogony,,,
Pf,Pf_transcription · oocyst,transcription,oocyst,gene,A,5720,100.0%,,expr_oocyst,1 columns,one,"PMID 41125888 GSE284537 (from the GEO index, verify assay and parasite-gene shape); PMID 40164831 GSE284425 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180258 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180257 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180256 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215429 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215426 (from the GEO index, verify assay and parasite-gene shape); PMID 39891010 GSE220039 (from the GEO index, verify assay and parasite-gene shape)",41125888: Mapping Plasmodium transitions and interactions in the Anopheles female | 40164831: Parasite and vector circadian clocks mediate efficient malaria transmission | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 39891010: Global gene expression of human malaria parasite liver stages throughout intrahepatocytic development,,,
Pf,Pf_transcription · sporozoite,transcription,sporozoite,gene,A,5720,100.0%,,expr_sporozoite,1 columns,one,"PMID 40164831 GSE284425 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180258 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180257 (from the GEO index, verify assay and parasite-gene shape); PMID 37392389 GSE180256 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215429 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215426 (from the GEO index, verify assay and parasite-gene shape); PMID 39891010 GSE220039 (from the GEO index, verify assay and parasite-gene shape); PMID 36622145 GSE212754 (from the GEO index, verify assay and parasite-gene shape)",40164831: Parasite and vector circadian clocks mediate efficient malaria transmission | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37392389: Epigenetically-regulated RNA-binding proteins signify malaria hypnozoite dormancy | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 39891010: Global gene expression of human malaria parasite liver stages throughout intrahepatocytic development | 36622145: Genome-wide investigation of transcriptional regulation in malaria sporozoite,,,
Pf,Pf_transcription · per cell-cycle phase,transcription,cell cycle,gene,A,5720,100.0%,,"steady_state_, riboseq_mrna_",8 columns,separate,"GSE337518 (from the GEO index, verify assay and parasite-gene shape); GSE280287 (from the GEO index, verify assay and parasite-gene shape); GSE339382 (from the GEO index, verify assay and parasite-gene shape); GSE298061 (from the GEO index, verify assay and parasite-gene shape); GSE298024 (from the GEO index, verify assay and parasite-gene shape); GSE326228 (from the GEO index, verify assay and parasite-gene shape); GSE252704 (from the GEO index, verify assay and parasite-gene shape); GSE329816 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape,,,
Pf,Pf_transcription · under stress / conversion,transcription,"alkaline, stress",gene,A,5720,100.0%,,febrile_,6 columns,separate,"GSE339382 (from the GEO index, verify assay and parasite-gene shape); GSE298061 (from the GEO index, verify assay and parasite-gene shape); GSE298024 (from the GEO index, verify assay and parasite-gene shape); GSE278976 (from the GEO index, verify assay and parasite-gene shape); PMID 38702310 GSE189034 (from the GEO index, verify assay and parasite-gene shape); PMID 37349497 GSE214535 (from the GEO index, verify assay and parasite-gene shape); PMID 36847501 GSE222586 (from the GEO index, verify assay and parasite-gene shape); PMID 36711954 GSE221211 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 38702310: The DEAD-box RNA helicase PfDOZI imposes opposing actions on RNA metabolism in Plasmodium falciparum | 37349497: Chromatin profiling of H3R2me2s in human malaria parasite | 36847501: Single-cell transcriptomics to define Plasmodium falciparum stage-transition in the mosquito midgut | 36711954: Transcriptome of ring-stage parasites responses to stress conditions upon knockdown of PfGCN5,,,
Pf,Pf_transcription · under TF or chromatin perturbation,transcription,perturbation,gene,A,5544,96.9%,,"sir2_wt_, sir2a_ko_, sir2b_ko_",9 columns,separate,"PMID 36788578 GSE218998 (from the GEO index, verify assay and parasite-gene shape); PMID 33794978 GSE163189 (from the GEO index, verify assay and parasite-gene shape); PMID 33431834 GSE157420 (from the GEO index, verify assay and parasite-gene shape); PMID 22503086 GSE28625 (from the GEO index, verify assay and parasite-gene shape); PMID 20385001 GSE18075 (from the GEO index, verify assay and parasite-gene shape); PMID 19073607 GSE13578 (from the GEO index, verify assay and parasite-gene shape)",36788578: Metabolic responses in blood-stage malaria parasites associated with increased and decreased sensitivity to PfATP4 inhibitors | 33794978: Global transcriptional response of P. falciparum NF54 early gametocytes treated with the Jumonji histone demethylase inhibitor JIB-04 | 33431834: Global transcriptomic changes in P. falciparum NF54 gametocytes treated with the histone demethylase inhibitor ML324 | 22503086: Transcript level responses of Plasmodium falciparum to antimycin A | 20385001: Plasmodium falciparum treated with cyclohexylamine | 19073607: Functional genomics investigation of PfAdoMetDC/ODC co-inhibition of Plasmodium falciparum,,,
