question,E,P,genes,corroborated,clusters_used
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.25,0.3,619,340,25
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.25,0.4,378,198,17
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.25,0.5,177,83,11
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.25,0.6,81,11,8
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.25,0.8,19,1,4
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.5,0.3,519,326,22
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.5,0.4,278,184,14
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.5,0.5,177,83,11
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.5,0.6,81,11,8
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",1.5,0.8,19,1,4
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",2.0,0.3,485,316,20
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",2.0,0.4,244,174,12
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",2.0,0.5,143,73,9
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",2.0,0.6,71,1,7
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",2.0,0.8,19,1,4
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",3.0,0.3,236,150,8
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",3.0,0.4,196,150,6
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",3.0,0.5,119,73,5
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",3.0,0.6,47,1,3
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",3.0,0.8,9,1,2
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",5.0,0.3,47,1,3
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",5.0,0.4,47,1,3
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",5.0,0.5,47,1,3
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",5.0,0.6,47,1,3
"Which unplaced proteins sit in clusters that are almost entirely one hyperLOPIT compartment, judged only from how much protein there is, how it is modified and how badly it is needed?",5.0,0.8,9,1,2
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.25,0.3,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.25,0.4,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.25,0.5,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.25,0.6,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.25,0.8,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.5,0.3,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.5,0.4,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.5,0.5,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.5,0.6,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",1.5,0.8,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",2.0,0.3,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",2.0,0.4,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",2.0,0.5,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",2.0,0.6,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",2.0,0.8,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",3.0,0.3,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",3.0,0.4,0,0,0
