slot,axis,context,unit,grade,genes,coverage,filled_by,detail,policy,candidates,candidate_titles
transcription · tachyzoite,transcription,"tachyzoite, in vitro",gene,A,7739,95.1%,"expr_tachy, rna108740_Tachyzoites",3 columns,one,,
transcription · bradyzoite / tissue cyst,transcription,bradyzoite,gene,A,7739,95.1%,"expr_cyst, rna108740_Tissue_cysts, rna108740_Day",11 columns,average,"PMID 41580398 GSE311669 (bradyzoite subtypes, 2026)",41580398: Bradyzoite subtypes rule the crossroads of Toxoplasma development.
transcription · oocyst / sporozoite,transcription,"oocyst, sporulation",gene,A,7974,98.0%,"rna206344_, expr_sporulated",7 columns,average,,
transcription · merozoite,transcription,merozoite,gene,-,0,,,,one,"PMID 25757795 PRJEB7935 (asexual expansion, distinct from tachyzoite)","25757795: Asexual expansion of Toxoplasma gondii merozoites is distinct from tachyzoites and entails expression of non-overlapping gene families to attach, invade, and replicate within feline enterocytes."
transcription · sexual stages,transcription,"feline gut, sexual",gene,-,0,,,,one,"PMID 38093015 GSE222819 (in vitro pre-sexual stages); PMID 42020723 (single-cell atlas of sexual development, 2026)",38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 42020723: A single-cell atlas of Toxoplasma sexual development in the feline intestinal tract.
transcription · per cell-cycle phase,transcription,cell cycle,gene,-,0,,,,one,"PMID 32065584 (the study behind cellcycle_phase, re-ingested as VALUES not a call)",32065584: A single-parasite transcriptional atlas of Toxoplasma Gondii reveals novel control of antigen expression.
transcription · in naive macrophage,transcription,host: naive macrophage,gene,-,0,,,,one,"PMID 40630957 GSE295224 (dual single-cell and bulk, host-parasite)",40630957: Dual single-cell and bulk RNA sequencing reveal transcriptional profiles underlying heterogenous host-parasite interactions in human peripheral blood mononuclear cells.
transcription · in IFN-gamma macrophage,transcription,host: IFN-g macrophage,gene,-,0,,,,one,,
transcription · in vivo brain,transcription,host: brain,gene,-,0,,,,one,"PMID 41278634 (single-cell brain-derived bradyzoites, 2025)",41278634: Single-cell analysis of brain-derived Toxoplasma bradyzoites reveals a novel cell cycle regulated by AP2XI-6.
transcription · under stress / conversion,transcription,"alkaline, stress",gene,A,7880,96.8%,stress_,10 columns,separate,,
