pmid	pmcid	year	kind	title
42470170	PMC13379730	2026	proximity	TgRON3 Links the Moving Junction to Microneme Secretion and Parasite Motility in Toxoplasma gondii.
42327091	PMC13278062	2026	pulldown	Potential for the Terminal SKP1 Glycosyltransferase to Exert Non-Enzymatic Control of SKP1 in Toxoplasma gondii.
42098088	PMC13369981	2026	proximity	Evolutionary remodeling of ubiquinone biosynthesis in Toxoplasma gondii reveals an essential bi-functional monooxygenase
41726999	PMC12919087	2026	proximity	Evolutionary Remodeling of Ubiquinone Biosynthesis in Toxoplasma gondii Reveals an Essential Bi-functional Monooxygenase
41193440	PMC12589562	2025	pulldown	Structural and functional characterization of TgGSK3, a druggable kinase in Toxoplasma gondii.
41065400	PMC12607848	2025	pulldown	Reconsidering the Toxoplasma gondii interactome: opportunities beyond crosslinking mass spectrometry.
41065395	PMC12607555	2025	pulldown	Reply to Rattanapitoon et al., "Reconsidering the Toxoplasma gondii interactome: opportunities beyond crosslinking mass 
40909541	PMC12407827	2025	proximity	Identification of divergent Toxoplasma Nuclear Pore Complex components highlights speciation of mRNA export machinery.
40888172	PMC12449179	2025	pulldown	O-fucosylation affects abundance but not localization of select nucleocytoplasmic proteins in toxoplasma gondii.
40768331	PMC12415611	2025	proximity	Function and interactions of a protein bridge between the inner membrane complex and subpellicular microtubules in Toxop
40716488	None	2025	pulldown	Quantitative proteomic analysis of the Toxoplasma gondii cytoskeleton and bioinformatic identification of highly antigen
40684184	PMC12276700	2025	pulldown	TAF15 mediates ROP16-induced apoptosis and cell cycle arrest in lung cancer.
40626728	PMC12306165	2025	pulldown	The Plasmodium falciparum homolog of Vps16 interacts with the core members of the Vps-C tethering complex.
40417354	PMC12098569	2025	pulldown	Molecular interactions of Toxoplasma gondii dense granule 23 (GRA23) with host proteins PEX3 and TRAP1.
40394721	PMC12090600	2025	pulldown	Toxoplasma calcium-dependent protein kinases 3 mediates M1 macrophage polarization by targeting host Arginase-1.
40296701	PMC12101541	2025	pulldown	Glycosylation Weakens Skp1 Homodimerization in Toxoplasma gondii by Interrupting a Fuzzy Interaction.
39912677	PMC11852849	2025	proximity	mSphere of Influence: Lighting up organellar communication in protozoan parasites.
39864696	None	2025	proximity	A novel ENTH domain-containing protein TgTEPSIN is essential for structural maintenance of the plant-like vacuolar compa
39802703	PMC11719624	2024	pulldown	Proteomic identification of a Toxoplasma gondii sporozoite-specific antigen using HDAC3 inhibitor-treated tachyzoites as
39461506	None	2024	proximity	Characterization of two phosphatase 2 C domain-containing proteins PPM2A and PPM2B in Toxoplasma gondii.
39345210	PMC11559087	2024	proximity	Characterization and functional analysis of Toxoplasma Golgi-associated proteins identified by proximity labeling.
39307307	PMC11570480	2024	pulldown	Oxygen-dependent regulation of F-box proteins in Toxoplasma gondii is mediated by Skp1 glycosylation.
39162526	PMC11389393	2024	proximity	Protein disulfide isomerase PDI8 is indispensable for parasite growth and associated with secretory protein processing i
39024411	PMC11288415	2024	proximity	BCC0 collaborates with IMC32 and IMC43 to form the Toxoplasma gondii essential daughter bud assembly complex.
