organism,strategy,settings,metric,runs,conclusive,pass_rate,observed,observed_low,observed_high,chance,skill,skill_low,skill_high,seconds
Pf,attention_correction,"{""target"": ""pb_transferred_phenotype"", ""top"": 1000}",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,5,5,0.2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4904545454545454,0.28507891624512605,0.2433376796322821,0.32682015285797,0.018
Pf,blind_battery,"{""map_from"": ""polysomal""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9762631357713325,0.9529890848306635,0.9995371867120015,0.04019008841487308,0.9752692140455844,0.9507714273966428,0.9997670006945261,15.709999999999999
Pf,block_ablation,"{""k"": 50, ""target"": ""pb_transferred_phenotype""}",hidden accuracy of the evidence ranked first (piggybac),5,5,1.0,0.5858552631578948,0.5685626714487867,0.603147854867003,0.4938033428165006,0.18184382607637983,0.1553825846594446,0.20830506749331507,3.222
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,5,1.0,0.8893332677342911,0.7857164218214234,0.9929501136471588,0.01,0.8877443898792763,0.7828512643756208,0.9926375153829318,10.166
Pf,condition_shift,"{""model"": ""boosted"", ""own_kind"": ""leave out""}",rank correlation of predicted and hidden values,5,5,1.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,0.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,4.1259999999999994
Pf,consensus_modules,"{""target"": ""is_exported"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.9081119134575537,0.8107731234870931,1.0054507034280142,0.870840811326363,0.3478062420440152,0.176897008000748,0.5187154760872824,8.344
Pf,feature_knn,"{""k"": 50, ""min_share"": 0.6, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.41118421052631576,0.3930901791898317,0.42927824186279984,0.024736842105263158,0.39629567698728824,0.3816167205098659,0.4109746334647106,0.5119999999999999
Pf,geneset_hunt,"{""exclude"": ""pb_transferred_phenotype"", ""min_cluster_size"": ""20, 50"", ""n_neighbors"": ""15, 50""}",F1 of the hidden members against the best cluster's other genes,5,5,1.0,0.44322323334260305,0.41226611060348617,0.47418035608171993,0.025158406643206194,0.4288346006905338,0.39646445299191985,0.46120474838914777,45.05200000000001
Pf,holdout_search,"{""min_cluster_size"": ""20, 50"", ""n_neighbors"": ""15, 50"", ""selection"": ""eom, leaf"", ""target"": ""is_exported""}",F1 of hidden genes in the cluster chosen for their label on known genes,5,5,0.0,0.9185102133837635,0.8759645051972456,0.9610559215702814,0.8936822177632946,0.22298168771580124,0.01257055374210847,0.433392821689494,46.878
Pf,label_outliers,"{""k"": 15, ""target"": ""is_exported""}",AUROC of surprise for the swapped labels,5,5,1.0,0.9960191722153444,0.9950185716062089,0.99701977282448,0.4985270480347771,0.9920656933595108,0.9901013154013364,0.9940300713176852,0.898
Pf,layer_propagation,"{""layer"": ""coexpression"", ""restart"": 0.2, ""target"": ""is_exported""}",correct calls per hidden gene,5,5,1.0,0.7311888111888112,0.6637109430372574,0.798666679340365,0.5683216783216783,0.3764416904265526,0.21309798568664287,0.5397853951664624,1.598
Pf,layer_vote,"{""k"": 5, ""target"": ""is_exported""}",correct calls per hidden gene,5,5,0.6,0.9306293706293707,0.8797973029012159,0.9814614383575254,0.5476923076923077,0.8424934280670262,0.7485364866627036,0.9364503694713489,1.77
Pf,link_prediction,"{""layer"": ""struct""}",AUROC of hidden pairs against degree-matched non-pairs,5,5,1.0,0.9794504999721392,0.9777293802983741,0.9811716196459043,0.5074834007317275,0.958266107954886,0.9545859076767963,0.9619463082329757,0.8739999999999999
Pf,map_neighbours,"{""k"": 50, ""n_neighbors"": 10, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.5987489942470934,0.5824216865751097,0.615076301919077,0.4433864220649809,0.2789889791214835,0.25298701212297814,0.3049909461199889,6.837999999999999
Pf,masked_imputation,"{""rank"": 20}",median per-column rank correlation on hidden entries,5,5,1.0,0.6998385945374209,0.6840328408689148,0.715644348205927,-0.00029898773635138873,0.6999243541465692,0.6841345659071392,0.7157141423859992,2.366
Pf,multiplex_modules,"{""agreement"": 0.3, ""resolution"": 0.5, ""target"": ""pb_transferred_phenotype""}",F1 of hidden genes in the community chosen for their label on known genes,5,5,1.0,0.4212334759534772,0.4103953895708964,0.43207156233605803,0.34326884396220186,0.11874197938312162,0.10674486852772666,0.13073909023851657,89.458
Pf,neighbour_space,"{""k"": 25, ""knn"": 15, ""layer"": ""struct""}",AUROC of hidden struct edges against degree-matched non-pairs,5,5,1.0,0.9108604698851911,0.8750637881999662,0.946657151570416,0.5637006020970611,0.794874070365572,0.7059828044566738,0.8837653362744702,0.6439999999999999
Pf,network_training,"{""fraction"": 0.25, ""layer"": ""struct"", ""model"": ""embedding""}",AUROC of hidden struct edges against degree-matched non-pairs,5,5,1.0,0.9208316936826062,0.8898005661072904,0.951862821257922,0.5487396824234839,0.8235416303807515,0.7494639223701861,0.8976193383913168,0.644
Pf,ortholog_transfer,{},rank correlation of transferred and hidden values,5,5,1.0,0.316058459654008,0.29034069726654144,0.3417762220414745,0.004225915266418904,0.31318285158159365,0.28937673823823573,0.33698896492495156,0.346
Pf,paralog_divergence,"{""min_shared"": 10, ""target"": ""is_exported""}",AUROC of profile divergence for paralogs with different is_exported,5,5,1.0,0.5567483384217399,0.5567483384217399,0.5567483384217399,0.4984795439882201,0.11612234257999839,0.1058916078378231,0.12635307732217366,0.24200000000000005
Pf,physical_partners,"{""target"": ""is_exported""}",correct calls per hidden gene,5,5,0.0,0.7840344840344841,0.6114430752983011,0.956625892770667,0.7648995448995448,0.14865824337189995,-0.11407711798641015,0.41139360473021,1.068
Pf,positive_unlabeled,"{""bags"": 40, ""exclude"": ""pb_transferred_phenotype""}",AUROC of hidden members against every other gene,5,5,1.0,0.9976848982839481,0.9969890373064744,0.9983807592614219,0.5039404163510752,0.9953291180511741,0.9939126606296125,0.9967455754727357,4.86
Pf,recoverability_atlas,"{""k"": 15, ""target"": ""stage_enriched_derived""}",hidden-gene AUROC of the categories the atlas ranks in its top half,5,5,1.0,0.8753850945189964,0.7897590719966732,0.9610111170413196,0.5167137830689811,0.7483219785435457,0.5905464896447776,0.9060974674423137,2.9219999999999997
Pf,seed_expansion,"{""exclude"": ""pb_transferred_phenotype"", ""mode"": ""networks + measurements"", ""restart"": 0.6}",AUROC of hidden members against every other gene,5,5,1.0,0.9963115976956093,0.9936797494524807,0.9989434459387379,0.5003013610594689,0.9926066389426316,0.9873224701123693,0.9978908077728939,0.34800000000000003
Pf,set_enrichment,"{""exclude"": ""pb_transferred_phenotype""}",AUROC of hidden members against every other gene,5,5,1.0,0.9743777218426626,0.9722439613173324,0.9765114823679928,0.5004283602449731,0.9487084929671342,0.9443682313616217,0.9530487545726467,5.728
Pf,stratum_focus,"{""stratum"": ""conserved"", ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.6417763157894736,0.6287477168799844,0.6548049146989627,0.4346052631578948,0.36650647899896993,0.3563877108981425,0.3766252470997974,0.414
Pf,structural_homology,"{""level"": 3}",correct calls per hidden gene,5,5,1.0,0.7678320979006923,0.6753157693384407,0.8603484264629438,0.07399080815179379,0.749108808616065,0.6485654986445187,0.8496521185876112,0.156
Pf,supervised_classifier,"{""C"": 0.1, ""target"": ""stage_enriched_derived""}",correct calls per hidden gene,5,5,1.0,0.6868907563025209,0.655209315537283,0.7185721970677589,0.4347585269401878,0.4459950517490758,0.3972196585678509,0.49477044493030065,0.20400000000000001
Pf,trait_regression,"{""model"": ""boosted"", ""own_kind"": ""leave out"", ""target"": ""mean_plddt""}",rank correlation of predicted and hidden values,5,5,1.0,0.8449321541219762,0.8331934213366253,0.8566708869073271,0.0,0.8449321541219762,0.8331934213366253,0.8566708869073271,4.6979999999999995
Pf,triangulation,"{""min_agree"": 3, ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,0.0,0.9889192467653256,0.9745071234764746,1.0033313700541766,0.9557324920633639,0.7901770467094186,0.5641243313551325,1.0162297620637046,6.973999999999999
Pf,understudied_first,"{""min_agree"": 3, ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,0.0,0.9883976797990119,0.9727217603777679,1.0040735992202559,0.9555997399188886,0.7865703953658479,0.5326574280167071,1.0404833627149888,4.942
Pf,unwritten_links,"{""min_layers"": 2}",AUROC of hidden pairs against random non-pairs,5,5,1.0,0.5536369008620136,0.5527147072009492,0.554559094523078,0.49959496923215274,0.1079946931532286,0.1051729009624932,0.110816485343964,0.10000000000000002
Tg,attention_correction,"{""target"": ""lopit_unified"", ""top"": 50}",share of the top 50 corrected pairs sharing a lopit_unified label,5,5,1.0,0.8800000000000001,0.88,0.8800000000000002,0.5808,0.7136727579125922,0.7075466204270863,0.7197988953980982,0.04800000000000001
Tg,blind_battery,"{""map_from"": ""chemistry""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9690057039149597,0.9520757473318536,0.9859356604980657,0.0393876069484055,0.9676437787556995,0.9496287230055378,0.9856588345058612,27.782
Tg,block_ablation,"{""k"": 5, ""target"": ""stage_enriched_derived""}",hidden accuracy of the evidence ranked first (transcription),5,5,1.0,0.8171548117154812,0.794022832891,0.8402867905399625,0.7195457262402869,0.3485767099315145,0.3007946536037464,0.3963587662592826,2.6640000000000006
Tg,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""lopit_unified""}",precision of calls on hidden genes,5,5,1.0,0.5515396978463516,0.45718418943066697,0.6458952062620362,0.008410256410256412,0.5480513470765052,0.45619562857486906,0.6399070655781413,13.346000000000004
Tg,condition_shift,"{""model"": ""boosted"", ""own_kind"": ""include""}",rank correlation of predicted and hidden values,5,5,0.8,0.11928870660806816,0.08456653696809098,0.15401087624804533,0.0,0.11928870660806816,0.08456653696809098,0.15401087624804533,13.346
Tg,conjunctions,"{""min_cluster_size"": 15}",share of first-half findings that replicate on the second half,5,5,1.0,0.5023809523809525,0.31067402845062864,0.6940878763112763,0.02654761904761905,0.4896497422085216,0.2962268926409373,0.6830725917761058,10.831999999999999
Tg,consensus_modules,"{""target"": ""stage_enriched_derived"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.8,0.516193725024843,0.45900967537551934,0.5733777746741665,0.4224143530217665,0.16108020984790208,0.0973192094075911,0.22484121028821308,11.352
Tg,feature_knn,"{""k"": 5, ""min_share"": 0.6, ""target"": ""stage_enriched_derived""}",correct calls per hidden gene,5,5,1.0,0.7857740585774058,0.7633832076112536,0.808164909543558,0.5310460251046025,0.5434741607305438,0.504821085586783,0.5821272358743046,1.5059999999999998
Tg,geneset_hunt,"{""exclude"": ""compartment"", ""min_cluster_size"": ""10, 25"", ""n_neighbors"": ""10, 30""}",F1 of the hidden members against the best cluster's other genes,5,5,0.6,0.07547412367430105,0.06528396047356647,0.08566428687503563,0.021228830428535427,0.055404718116035256,0.042880756312324145,0.06792867991974637,48.704
Tg,holdout_search,"{""min_cluster_size"": ""10, 25"", ""n_neighbors"": ""25, 100"", ""selection"": ""eom, leaf"", ""target"": ""lopit_unified""}",F1 of hidden genes in the cluster chosen for their label on known genes,5,5,1.0,0.1773254196040875,0.1316453882252175,0.22300545098295746,0.07787482475340742,0.10783422669081069,0.08756360171242403,0.12810485166919736,62.114
Tg,label_outliers,"{""k"": 15, ""target"": ""stage_enriched_derived""}",AUROC of surprise for the swapped labels,5,5,1.0,0.9044412242058891,0.8921993723841027,0.9166830760276755,0.49781776025968005,0.8098329287218519,0.7874741870422032,0.8321916704015005,2.04
