organism,strategy,settings,metric,runs,conclusive,pass_rate,observed,observed_low,observed_high,chance,skill,skill_low,skill_high,seconds
Pf,holdout_search,"{""min_cluster_size"": ""20, 50"", ""n_neighbors"": ""15, 50"", ""selection"": ""eom, leaf"", ""target"": ""pb_transferred_phenotype""}",F1 of hidden genes in the cluster chosen for their label on known genes,5,5,0.0,0.5339481497426453,0.526461340960489,0.5414349585248015,0.5341127827837676,-0.00035483552942450886,-0.001436505922342718,0.0007268348634937005,48.717999999999996
Pf,recoverability_atlas,"{""k"": 15, ""target"": ""pb_transferred_phenotype""}",hidden-gene AUROC of the categories the atlas ranks in its top half,5,5,1.0,0.7459090965321122,0.7010299577851883,0.7907882352790362,0.5016699598550783,0.49056793563434653,0.40555138923035416,0.5755844820383389,5.906000000000001
Pf,consensus_modules,"{""target"": ""pb_transferred_phenotype"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.4,0.25686272149915806,0.19743397268214402,0.3162914703161721,0.20682987287059668,0.06245526793112936,0.01836685459375193,0.1065436812685068,7.417999999999999
Pf,blind_battery,"{""map_from"": ""expr""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9542413381123058,0.8812575016217093,1.0272251746029022,0.06110895665628611,0.9506098937022285,0.8705608966284608,1.0306588907759962,17.5
Pf,block_ablation,"{""k"": 15, ""target"": ""pb_transferred_phenotype""}",hidden accuracy of the evidence ranked first (piggybac),5,5,1.0,0.5592105263157895,0.5284754275584819,0.5899456250730971,0.46444701280227596,0.17655881525709793,0.11428096538383567,0.2388366651303602,2.5699999999999994
Pf,feature_knn,"{""k"": 15, ""min_share"": 0.3, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.6404605263157894,0.6256210877217168,0.6552999649098621,0.43569078947368417,0.3628653610043942,0.3436097827529457,0.38212093925584273,0.242
Pf,map_neighbours,"{""k"": 15, ""n_neighbors"": 25, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.578497528512665,0.5505043339175545,0.6064907231077755,0.41834052549815715,0.27510903001232656,0.22330521744460557,0.32691284258004755,4.598
Pf,label_outliers,"{""k"": 15, ""target"": ""pb_transferred_phenotype""}",AUROC of surprise for the swapped labels,5,5,1.0,0.7562734135948983,0.7366640407037973,0.7758827864859993,0.5047834868025965,0.5078481176348494,0.4689160875102651,0.5467801477594337,0.5780000000000001
Pf,layer_propagation,"{""layer"": ""coexpression"", ""restart"": 0.5, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.43256578947368424,0.41005510769058434,0.45507647125678413,0.3181578947368421,0.16778462879354017,0.13566479758552558,0.19990446000155476,0.616
Pf,layer_vote,"{""k"": 15, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.6398026315789475,0.6248651493793778,0.6547401137785172,0.3793421052631579,0.41685869297154066,0.3473021822290309,0.4864152037140504,1.034
Pf,physical_partners,"{""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,0.0,0.32944412662090006,0.3057335315351654,0.3531547217066347,0.30624071047183177,0.018352468002953332,-0.15976221699142432,0.196467152997331,0.8899999999999999
Pf,structural_homology,"{""level"": 1}",correct calls per hidden gene,5,5,1.0,0.6934237290218708,0.6441893723827011,0.7426580856610404,0.25811667501853336,0.587120137332662,0.5263022470203661,0.6479380276449579,0.172
Pf,multiplex_modules,"{""agreement"": 0.5, ""resolution"": 1.0, ""target"": ""pb_transferred_phenotype""}",F1 of hidden genes in the community chosen for their label on known genes,5,5,1.0,0.34357650607432555,0.32395266831536296,0.36320034383328814,0.27814956753092485,0.09073854152070929,0.07953509800744417,0.1019419850339744,64.256
Pf,attention_correction,"{""target"": ""pb_transferred_phenotype"", ""top"": 200}",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,5,5,0.2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4904545454545454,0.28507891624512605,0.2433376796322821,0.32682015285797,0.018
Pf,unwritten_links,"{""min_layers"": 2}",AUROC of hidden pairs against random non-pairs,5,5,1.0,0.5536369008620136,0.5527147072009492,0.554559094523078,0.49959496923215274,0.1079946931532286,0.1051729009624932,0.110816485343964,0.10000000000000002
Pf,trait_regression,"{""model"": ""boosted"", ""own_kind"": ""leave out"", ""target"": ""piggybac_mis""}",rank correlation of predicted and hidden values,5,5,1.0,0.4608386798234214,0.43864947039993807,0.48302788924690476,0.0,0.4608386798234214,0.43864947039993807,0.48302788924690476,4.912
Pf,masked_imputation,"{""rank"": 20}",median per-column rank correlation on hidden entries,5,5,1.0,0.6998385945374209,0.6840328408689148,0.715644348205927,-0.00029898773635138873,0.6999243541465692,0.6841345659071392,0.7157141423859992,2.366
Pf,condition_shift,"{""model"": ""boosted"", ""own_kind"": ""leave out""}",rank correlation of predicted and hidden values,5,5,1.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,0.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,4.1259999999999994
