organism,strategy,parameter,value,runs,skill,skill_low,skill_high,pass_rate
Pf,attention_correction,target,is_exported,15,0.10689476954296737,-0.040016179448407796,0.25380571853434253,0.0
Pf,attention_correction,target,pb_transferred_phenotype,15,0.2850789162451261,0.2678433203429486,0.3023145121473036,0.2
Pf,attention_correction,target,stage_enriched_derived,15,,,,0.0
Pf,attention_correction,top,1000,15,0.26122063628989034,0.22048756040097714,0.3019537121788035,0.06666666666666667
Pf,attention_correction,top,200,15,0.2612206362898904,0.2204875604009772,0.30195371217880357,0.06666666666666667
Pf,attention_correction,top,50,15,0.06551925610235947,-0.16360288854182403,0.29464140074654294,0.06666666666666667
Pf,blind_battery,map_from,antisense,5,0.9566430031707576,0.9365958522693788,0.9766901540721363,1.0
Pf,blind_battery,map_from,chromprox,5,0.9425171632161339,0.9241254597657784,0.9609088666664893,1.0
Pf,blind_battery,map_from,codon,5,0.9413810797169436,0.8606170830180251,1.0221450764158622,1.0
Pf,blind_battery,map_from,complex,5,0.874078390223972,0.660671799965332,1.087484980482612,0.8
Pf,blind_battery,map_from,engaged,5,0.9551272657812238,0.9280121667025371,0.9822423648599105,1.0
Pf,blind_battery,map_from,ev,5,0.5719401523127979,0.23565660053727044,0.9082237040883254,1.0
Pf,blind_battery,map_from,exon,5,0.8054117812165693,0.7432696272154579,0.8675539352176808,1.0
Pf,blind_battery,map_from,export,5,0.8993661398809929,0.8236066399903472,0.9751256397716386,1.0
Pf,blind_battery,map_from,expr,5,0.9506098937022285,0.8705608966284608,1.0306588907759962,1.0
Pf,blind_battery,map_from,febrile,5,0.9665623327072824,0.9445797278489192,0.9885449375656457,1.0
Pf,blind_battery,map_from,fertility,5,0.8232590948719981,0.626636689128418,1.0198815006155784,1.0
Pf,blind_battery,map_from,gametocyte,5,0.9204511668251824,0.8919904399373048,0.94891189371306,1.0
Pf,blind_battery,map_from,has,5,0.9398533545971276,0.8991066922468018,0.9806000169474534,1.0
Pf,blind_battery,map_from,idc,5,0.8625433211564719,0.8120085040846629,0.913078138228281,1.0
Pf,blind_battery,map_from,is,5,0.9305337821439146,0.8811719192293798,0.9798956450584494,1.0
Pf,blind_battery,map_from,isoelectric,5,0.9769523809523809,0.9257033440814664,1.0282014178232954,1.0
Pf,blind_battery,map_from,latency,5,0.8733403179449057,0.7891054685092691,0.9575751673805424,1.0
Pf,blind_battery,map_from,length,5,0.9300568693536089,0.8776777383139157,0.982436000393302,1.0
Pf,blind_battery,map_from,m6a,5,0.9688085661866594,0.9219549945906702,1.0156621377826487,1.0
Pf,blind_battery,map_from,mean,5,0.9749045206011224,0.950257111488602,0.9995519297136428,1.0
Pf,blind_battery,map_from,melting,5,0.9297738871455923,0.8778917668300759,0.9816560074611087,1.0
Pf,blind_battery,map_from,molecular,5,0.9511320804519767,0.9044265638337997,0.9978375970701537,1.0
Pf,blind_battery,map_from,n,5,0.9564573615938052,0.9325722150445441,0.9803425081430663,1.0
Pf,blind_battery,map_from,novel,5,0.9188027032425289,0.8716049914984542,0.9660004149866036,1.0
Pf,blind_battery,map_from,ortholog,5,0.920815616878872,0.8662005260042145,0.9754307077535296,1.0
Pf,blind_battery,map_from,paralog,5,0.9198373287892878,0.8185769809981817,1.0210976765803939,1.0
Pf,blind_battery,map_from,pb,5,0.9516790045336692,0.9369023241984208,0.9664556848689175,1.0
Pf,blind_battery,map_from,piggybac,5,0.8502954898427817,0.771485593840324,0.9291053858452394,1.0
Pf,blind_battery,map_from,plddt,5,0.9224927223350001,0.8863573715260229,0.9586280731439774,1.0
Pf,blind_battery,map_from,polysomal,5,0.9752692140455844,0.9507714273966428,0.9997670006945261,1.0
Pf,blind_battery,map_from,protein,5,0.9652441863903898,0.9489726807154978,0.9815156920652818,1.0
Pf,blind_battery,map_from,riboseq,5,0.952039914624837,0.9125495073766046,0.9915303218730693,1.0
Pf,blind_battery,map_from,sir2,5,0.8331432249953314,0.699788914723035,0.9664975352676279,1.0
Pf,blind_battery,map_from,sir2a,5,0.8470438738221141,0.6783647676045114,1.0157229800397167,1.0
Pf,blind_battery,map_from,sir2b,5,0.8668041595761418,0.7683529891262328,0.9652553300260507,1.0
Pf,blind_battery,map_from,snp,5,0.9539008715731845,0.904498204616344,1.0033035385300249,1.0
Pf,blind_battery,map_from,stage,5,0.8621022195148786,0.7079916643513007,1.0162127746784566,1.0
Pf,blind_battery,map_from,steady,5,0.9565791760067844,0.9216440277934889,0.99151432422008,1.0
Pf,blind_battery,map_from,transcript,5,0.9335970330099543,0.9062680093843135,0.9609260566355952,1.0
Pf,block_ablation,k,15,15,0.1091116578730043,0.05988735193883754,0.15833596380717105,0.5333333333333333
Pf,block_ablation,k,5,15,0.13674545920495768,0.10006391119016148,0.17342700721975388,0.5333333333333333
Pf,block_ablation,k,50,15,0.1448960290229528,0.0838566869323166,0.20593537111358898,0.6
Pf,block_ablation,target,is_exported,15,0.06139666747312903,0.024212554120914075,0.098580780825344,0.0
Pf,block_ablation,target,pb_transferred_phenotype,15,0.1686493061752779,0.14830849776419647,0.18899011458635934,1.0
Pf,block_ablation,target,stage_enriched_derived,15,0.1607071724525079,0.1008564491307437,0.2205578957742721,0.6666666666666666
Pf,cluster_guilt,min_cluster_size,10,60,0.5373753917566912,0.4009325373066446,0.6738182462067379,0.3333333333333333
Pf,cluster_guilt,min_cluster_size,25,60,0.542621508697123,0.4287663130181273,0.6564767043761187,0.36666666666666664
Pf,cluster_guilt,min_cluster_size,60,60,0.45068089364380964,0.3534152956291954,0.5479464916584239,0.45
Pf,cluster_guilt,min_lift,1.5,90,0.5354802062900177,0.45366396514747354,0.6172964474325618,0.45555555555555555
Pf,cluster_guilt,min_lift,3.0,90,0.464828526529118,0.35578297038998447,0.5738740826682515,0.3111111111111111
Pf,cluster_guilt,selection,eom,90,0.4066485553075392,0.32124877102752736,0.492048339587551,0.26666666666666666
Pf,cluster_guilt,selection,leaf,90,0.5437907995049738,0.46178331447944315,0.6257982845305043,0.5
Pf,cluster_guilt,target,is_exported,60,0.3551471905787787,0.30330107018474484,0.40699331097281255,0.8333333333333334
Pf,cluster_guilt,target,pb_transferred_phenotype,60,0.7716052092306356,0.6802851114840678,0.8629253069772034,0.31666666666666665
Pf,cluster_guilt,target,stage_enriched_derived,60,0.6527777777777778,0.4427896897029687,0.8627658658525869,0.0
