organism,strategy,settings,metric,runs,conclusive,pass_rate,observed,observed_low,observed_high,chance,skill,skill_low,skill_high,seconds
Pf,attention_correction,"{""target"": ""is_exported"", ""top"": 1000}",share of the top 115 corrected pairs sharing a is_exported label,5,5,0.0,0.9826086956521738,0.9826086956521737,0.9826086956521739,0.9770434782608696,0.2373623563346546,0.1518591705532159,0.3228655421160933,0.018
Pf,attention_correction,"{""target"": ""is_exported"", ""top"": 200}",share of the top 115 corrected pairs sharing a is_exported label,5,5,0.0,0.9826086956521738,0.9826086956521737,0.9826086956521739,0.9770434782608696,0.2373623563346546,0.1518591705532159,0.3228655421160933,0.018
Pf,attention_correction,"{""target"": ""is_exported"", ""top"": 50}",share of the top 50 corrected pairs sharing a is_exported label,5,5,0.0,0.9800000000000001,0.98,0.9800000000000002,0.9815999999999999,-0.15404040404040714,-0.5643019226554858,0.25622111457467156,0.018
Pf,attention_correction,"{""target"": ""pb_transferred_phenotype"", ""top"": 1000}",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,5,5,0.2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4904545454545454,0.28507891624512605,0.2433376796322821,0.32682015285797,0.018
Pf,attention_correction,"{""target"": ""pb_transferred_phenotype"", ""top"": 200}",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,5,5,0.2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4904545454545454,0.28507891624512605,0.2433376796322821,0.32682015285797,0.018
Pf,attention_correction,"{""target"": ""pb_transferred_phenotype"", ""top"": 50}",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,5,5,0.2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4904545454545454,0.28507891624512605,0.2433376796322821,0.32682015285797,0.033999999999999996
Pf,attention_correction,"{""target"": ""stage_enriched_derived"", ""top"": 1000}",same-label share of the top pairs,5,0,0.0,,,,,,,,0.018
Pf,attention_correction,"{""target"": ""stage_enriched_derived"", ""top"": 200}",same-label share of the top pairs,5,0,0.0,,,,,,,,0.0
Pf,attention_correction,"{""target"": ""stage_enriched_derived"", ""top"": 50}",same-label share of the top pairs,5,0,0.0,,,,,,,,0.018
Pf,blind_battery,"{""map_from"": ""antisense""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9589594676346037,0.9399446470114732,0.9779742882577342,0.05225952813067151,0.9566430031707576,0.9365958522693788,0.9766901540721363,16.626
Pf,blind_battery,"{""map_from"": ""chromprox""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9444317690778672,0.9264751152563707,0.9623884228993637,0.03345436868032149,0.9425171632161339,0.9241254597657784,0.9609088666664893,26.282000000000004
Pf,blind_battery,"{""map_from"": ""codon""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9446563467492262,0.8682700754572209,1.0210426180412313,0.05821660712868143,0.9413810797169436,0.8606170830180251,1.0221450764158622,17.092000000000002
Pf,blind_battery,"{""map_from"": ""complex""}",share of first-half findings that replicate on the second half,5,4,0.8,0.8795454545454545,0.6772415216075272,1.0818493874833819,0.06090909090909091,0.874078390223972,0.660671799965332,1.087484980482612,33.492000000000004
Pf,blind_battery,"{""map_from"": ""engaged""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9573026557556311,0.930947779765114,0.9836575317461482,0.05086941713199903,0.9551272657812238,0.9280121667025371,0.9822423648599105,21.406
Pf,blind_battery,"{""map_from"": ""ev""}",share of first-half findings that replicate on the second half,5,5,1.0,0.5937448758138413,0.2668793911984982,0.9206103604291844,0.06198818422956354,0.5719401523127979,0.23565660053727044,0.9082237040883254,33.348
Pf,blind_battery,"{""map_from"": ""exon""}",share of first-half findings that replicate on the second half,5,5,1.0,0.8158902885732153,0.7600781670150818,0.8717024101313489,0.05087334345870932,0.8054117812165693,0.7432696272154579,0.8675539352176808,16.136
Pf,blind_battery,"{""map_from"": ""export""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9042351654361498,0.8320256959414292,0.9764446349308704,0.048808859721082856,0.8993661398809929,0.8236066399903472,0.9751256397716386,14.844
Pf,blind_battery,"{""map_from"": ""expr""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9542413381123058,0.8812575016217093,1.0272251746029022,0.06110895665628611,0.9506098937022285,0.8705608966284608,1.0306588907759962,17.5
Pf,blind_battery,"{""map_from"": ""febrile""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9679868811908177,0.9468061552217002,0.9891676071599351,0.044053606114841756,0.9665623327072824,0.9445797278489192,0.9885449375656457,15.85
Pf,blind_battery,"{""map_from"": ""fertility""}",share of first-half findings that replicate on the second half,5,5,1.0,0.8297672064777327,0.6362155090213916,1.023318903934074,0.047409131803868645,0.8232590948719981,0.626636689128418,1.0198815006155784,26.368000000000002
Pf,blind_battery,"{""map_from"": ""gametocyte""}",share of first-half findings that replicate on the second half,5,5,1.0,0.925404083980443,0.8998011457577225,0.9510070222031636,0.06040811044003451,0.9204511668251824,0.8919904399373048,0.94891189371306,27.130000000000003
Pf,blind_battery,"{""map_from"": ""has""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9425649340447327,0.9035164886776017,0.9816133794118638,0.045392174607064975,0.9398533545971276,0.8991066922468018,0.9806000169474534,17.842
Pf,blind_battery,"{""map_from"": ""idc""}",share of first-half findings that replicate on the second half,5,5,1.0,0.8704053816789447,0.8241068279074749,0.9167039354504144,0.05512357387794333,0.8625433211564719,0.8120085040846629,0.913078138228281,18.978
Pf,blind_battery,"{""map_from"": ""is""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9349624060150376,0.8903973876769418,0.9795274243531333,0.05676900584795321,0.9305337821439146,0.8811719192293798,0.9798956450584494,16.896
Pf,blind_battery,"{""map_from"": ""isoelectric""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9784391534391534,0.9303877040822544,1.0264906027960525,0.06169797882062032,0.9769523809523809,0.9257033440814664,1.0282014178232954,16.137999999999998
Pf,blind_battery,"{""map_from"": ""latency""}",share of first-half findings that replicate on the second half,5,5,1.0,0.878412429530442,0.797098397971093,0.9597264610897909,0.03891188728455809,0.8733403179449057,0.7891054685092691,0.9575751673805424,14.091999999999999
Pf,blind_battery,"{""map_from"": ""length""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9331354032887613,0.8819277114826731,0.9843430950948495,0.048827113394273626,0.9300568693536089,0.8776777383139157,0.982436000393302,15.744
Pf,blind_battery,"{""map_from"": ""m6a""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9704720279720279,0.9266315061501245,1.0143125497939314,0.04667641266779198,0.9688085661866594,0.9219549945906702,1.0156621377826487,15.801999999999998
Pf,blind_battery,"{""map_from"": ""mean""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9760838537020516,0.9523107821550075,0.9998569252490958,0.05175022301516502,0.9749045206011224,0.950257111488602,0.9995519297136428,16.014000000000003
Pf,blind_battery,"{""map_from"": ""melting""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9339708467786803,0.8865896645520437,0.9813520290053168,0.04951564111123475,0.9297738871455923,0.8778917668300759,0.9816560074611087,25.166
Pf,blind_battery,"{""map_from"": ""molecular""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9529030402553182,0.9071218068583962,0.9986842736522403,0.04468643713991484,0.9511320804519767,0.9044265638337997,0.9978375970701537,14.646
Pf,blind_battery,"{""map_from"": ""n""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9582098715372578,0.9351199385774189,0.9812998044970966,0.04139407755821672,0.9564573615938052,0.9325722150445441,0.9803425081430663,12.274
Pf,blind_battery,"{""map_from"": ""novel""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9236555409164104,0.8792904202129881,0.9680206616198328,0.058718957692870735,0.9188027032425289,0.8716049914984542,0.9660004149866036,28.612000000000002
Pf,blind_battery,"{""map_from"": ""ortholog""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9248342711742327,0.8709943573878244,0.978674184960641,0.06178975272566824,0.920815616878872,0.8662005260042145,0.9754307077535296,13.944000000000003
Pf,blind_battery,"{""map_from"": ""paralog""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9233317214700193,0.8253785359025053,1.0212849070375332,0.04648730021378397,0.9198373287892878,0.8185769809981817,1.0210976765803939,14.315999999999999
Pf,blind_battery,"{""map_from"": ""pb""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9539343116701607,0.940447560412731,0.9674210629275904,0.044621663172606574,0.9516790045336692,0.9369023241984208,0.9664556848689175,25.910000000000004
Pf,blind_battery,"{""map_from"": ""piggybac""}",share of first-half findings that replicate on the second half,5,5,1.0,0.8580511994271394,0.7818987126521777,0.934203686202101,0.05438271870151569,0.8502954898427817,0.771485593840324,0.9291053858452394,15.184000000000001
Pf,blind_battery,"{""map_from"": ""plddt""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9263079119462099,0.8893843324090611,0.9632314914833586,0.055038109054066496,0.9224927223350001,0.8863573715260229,0.9586280731439774,12.044
Pf,blind_battery,"{""map_from"": ""polysomal""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9762631357713325,0.9529890848306635,0.9995371867120015,0.04019008841487308,0.9752692140455844,0.9507714273966428,0.9997670006945261,15.709999999999999
Pf,blind_battery,"{""map_from"": ""protein""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9666064647587292,0.9515930729250296,0.9816198565924289,0.03649884227100121,0.9652441863903898,0.9489726807154978,0.9815156920652818,27.312000000000005
Pf,blind_battery,"{""map_from"": ""riboseq""}",share of first-half findings that replicate on the second half,5,5,1.0,0.9540218336099004,0.9159743608148748,0.9920693064049261,0.04364959244333413,0.952039914624837,0.9125495073766046,0.9915303218730693,22.644
Pf,blind_battery,"{""map_from"": ""sir2""}",share of first-half findings that replicate on the second half,5,5,1.0,0.8418937485033592,0.7158375665422138,0.9679499304645046,0.04848275393350564,0.8331432249953314,0.699788914723035,0.9664975352676279,16.046
