target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,60,42,8140,30,9,0.515970515970516,1,attention_depth,0.3215114868715035,0.38312428734321546,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,50,0.25,25,42,8140,34,20,0.4631449631449631,1,attention_depth,0.31323624677717093,0.3658170914542729,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,15,0.25,60,42,8140,34,5,0.1984029484029484,1,attention_depth,0.3117175453103964,0.39863107460643393,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,50,0.0,60,42,8140,30,7,0.11056511056511056,1,attention_depth,0.3072932114006591,0.3899986411197173,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,50,0.25,60,42,8140,34,6,0.22923832923832924,1,attention_depth,0.3058012891903854,0.3889134601208904,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,50,0.0,60,42,8140,34,14,0.32444717444717447,1,attention_depth,0.304637466234565,0.3569355774811375,incidental,3,0
attention_depth,expression_summary+published_screens,median,rank,50,0.25,60,42,8140,16,4,0.17567567567567569,1,attention_depth,0.30073250640243143,0.38441098317094774,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.0,25,42,8140,20,2,0.0,1,attention_depth,0.2965238672604835,0.37853886120241753,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.0,60,42,8140,20,2,0.0,1,attention_depth,0.2965238672604835,0.37853886120241753,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,60,42,8140,20,2,0.0,1,attention_depth,0.29642798422010186,0.3784184863260547,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,15,0.25,25,42,8140,20,2,0.0,1,attention_depth,0.29642798422010186,0.3784184863260547,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,60,42,8140,20,2,0.0,1,attention_depth,0.2962466853076477,0.3781316348195329,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.0,25,42,8140,20,2,0.0,1,attention_depth,0.2962466853076477,0.3781316348195329,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,60,42,8140,20,2,0.0,1,attention_depth,0.29615077595793216,0.378011249071421,incidental,3,0
attention_depth,fitness_screens+published_screens,median,rank,50,0.25,25,42,8140,20,2,0.0,1,attention_depth,0.29615077595793216,0.378011249071421,incidental,3,0
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,42,8140,24,3,0.03992628992628992,1,attention_depth,0.29610540839348687,0.3782439446366782,incidental,3,0
