target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
cellcycle_phase,expression_summary+fitness_screens,median,rank,50,0.25,60,42,8140,12,3,0.038943488943488945,1,cellcycle_phase,0.3963186024972706,0.46236559139784944,C,5,0
cellcycle_phase,expression_summary+fitness_screens,median,rank,50,0.25,40,42,8140,12,2,0.014864864864864866,1,cellcycle_phase,0.396300789147904,0.4630454140694569,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,42,8140,24,4,0.026904176904176905,1,cellcycle_phase,0.3962642060004452,0.4706943192064924,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,30,0.25,60,42,8140,24,3,0.08783783783783784,1,cellcycle_phase,0.39612939407824355,0.4721435316336166,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,60,42,8140,38,3,0.08796068796068796,1,cellcycle_phase,0.3959186754626823,0.4699248120300752,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,42,8140,24,3,0.03992628992628992,1,cellcycle_phase,0.39574435126529434,0.4702702702702703,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,60,42,8140,24,2,0.08022113022113023,1,cellcycle_phase,0.3957123244225868,0.471253534401508,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,40,42,8140,24,2,0.08746928746928746,1,cellcycle_phase,0.3956221813814983,0.47092469018112487,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,40,42,8140,24,3,0.011425061425061426,1,cellcycle_phase,0.3955347194846326,0.46278026905829595,C,5,0
cellcycle_phase,expression_summary+fitness_screens,median,rank,30,0.25,40,42,8140,12,2,0.004545454545454545,1,cellcycle_phase,0.3952291343525955,0.46153846153846156,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,40,42,8140,38,4,0.08746928746928746,1,cellcycle_phase,0.39522724130161213,0.4741873804971319,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,42,8140,24,5,0.004914004914004914,1,cellcycle_phase,0.3952206926596474,0.4657777777777778,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,42,8140,24,5,0.0014742014742014742,1,cellcycle_phase,0.39508563951087217,0.4657777777777778,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,42,8140,24,3,0.0,1,cellcycle_phase,0.39508563951087217,0.4657777777777778,C,5,0
