target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.0,25,42,8140,35,30,0.11425061425061425,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1932307431795749,0.5,PM - peripheral 1,24,1
compartment,expression_raw+fitness_screens,median,rank,50,0.25,25,42,8140,26,25,0.6611793611793612,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.19288237092469823,0.3130434782608696,cytosol,16,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,25,42,8140,30,29,0.6594594594594595,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18414047654669788,0.31386861313868614,dense granules,15,0
compartment,expression_raw+protein_features+interactions,median,rank,50,0.25,25,42,8140,35,26,0.14262899262899262,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18047220504142192,0.35643564356435636,PM - peripheral 1,24,0
compartment,published_screens+protein_features+interactions,median,rank,50,0.0,25,42,8140,29,57,0.1678132678132678,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17957627588796854,0.3064516129032258,PM - peripheral 1,22,0
compartment,expression_summary+protein_features,median,rank,50,0.0,25,42,8140,17,32,0.09852579852579853,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17895222324906596,0.44776119402985076,PM - peripheral 1,24,0
compartment,expression_raw+published_screens+protein_features,median,rank,50,0.0,25,42,8140,43,20,0.09901719901719902,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17713190582633703,0.2765957446808511,PM - peripheral 1,24,0
compartment,expression_summary+published_screens+protein_features,median,rank,50,0.0,25,42,8140,29,19,0.09029484029484029,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17627707543203647,0.3770491803278689,PM - peripheral 1,24,0
compartment,fitness_screens+protein_features+interactions,median,rank,50,0.0,25,42,8140,25,34,0.1382063882063882,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1735180873505856,0.28358208955223885,PM - peripheral 1,24,0
compartment,expression_raw+published_screens,median,rank,15,0.0,25,42,8140,30,43,0.26523341523341526,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17257898737410662,0.2708698190309398,nucleus - chromatin,22,0
