label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
incidental,1,1814,1789,0.22903597490718217,0.9862183020948181,0.3717402597402597,expression_summary,median,rank,15,0.0,25,attention_depth
substantive,1,464,462,0.059147356292408144,0.9956896551724138,0.11166163141993958,expression_summary,median,rank,15,0.0,25,attention_depth
focal,1,286,285,0.03648700550505697,0.9965034965034965,0.07039644312708411,expression_summary,median,rank,15,0.0,25,attention_depth
incidental,1,1816,1789,0.22903597490718217,0.9851321585903083,0.3716630310584813,expression_summary,median,rank,15,0.0,60,attention_depth
substantive,1,464,462,0.059147356292408144,0.9956896551724138,0.11166163141993958,expression_summary,median,rank,15,0.0,60,attention_depth
focal,1,286,285,0.03648700550505697,0.9965034965034965,0.07039644312708411,expression_summary,median,rank,15,0.0,60,attention_depth
incidental,0,1816,1804,0.22502182861419484,0.9933920704845814,0.3669276924641513,expression_summary,median,rank,15,0.25,25,attention_depth
substantive,0,464,464,0.05787701135087938,1.0,0.10942105883740126,expression_summary,median,rank,15,0.25,25,attention_depth
focal,0,286,285,0.03554945740301858,0.9965034965034965,0.06864988558352401,expression_summary,median,rank,15,0.25,25,attention_depth
incidental,0,1816,1804,0.22502182861419484,0.9933920704845814,0.3669276924641513,expression_summary,median,rank,15,0.25,60,attention_depth
substantive,0,464,464,0.05787701135087938,1.0,0.10942105883740126,expression_summary,median,rank,15,0.25,60,attention_depth
focal,0,286,285,0.03554945740301858,0.9965034965034965,0.06864988558352401,expression_summary,median,rank,15,0.25,60,attention_depth
incidental,2,1815,1771,0.229820918764599,0.9757575757575757,0.37201974582501834,expression_summary,median,rank,50,0.0,25,attention_depth
substantive,2,464,460,0.05969374513366208,0.9913793103448276,0.11260709914320685,expression_summary,median,rank,50,0.0,25,attention_depth
focal,2,286,285,0.03698416818063846,0.9965034965034965,0.07132132132132132,expression_summary,median,rank,50,0.0,25,attention_depth
incidental,0,1816,1804,0.22502182861419484,0.9933920704845814,0.3669276924641513,expression_summary,median,rank,50,0.0,60,attention_depth
substantive,0,464,464,0.05787701135087938,1.0,0.10942105883740126,expression_summary,median,rank,50,0.0,60,attention_depth
focal,0,286,285,0.03554945740301858,0.9965034965034965,0.06864988558352401,expression_summary,median,rank,50,0.0,60,attention_depth
incidental,0,1816,1804,0.22502182861419484,0.9933920704845814,0.3669276924641513,expression_summary,median,rank,50,0.25,25,attention_depth
substantive,0,464,464,0.05787701135087938,1.0,0.10942105883740126,expression_summary,median,rank,50,0.25,25,attention_depth
focal,0,286,285,0.03554945740301858,0.9965034965034965,0.06864988558352401,expression_summary,median,rank,50,0.25,25,attention_depth
incidental,0,1816,1804,0.22502182861419484,0.9933920704845814,0.3669276924641513,expression_summary,median,rank,50,0.25,60,attention_depth
substantive,0,464,464,0.05787701135087938,1.0,0.10942105883740126,expression_summary,median,rank,50,0.25,60,attention_depth
focal,0,286,285,0.03554945740301858,0.9965034965034965,0.06864988558352401,expression_summary,median,rank,50,0.25,60,attention_depth
incidental,1,1804,1672,0.22539768131571852,0.926829268292683,0.3626111472565604,expression_raw,median,rank,15,0.0,25,attention_depth
substantive,1,464,445,0.059989215421946615,0.959051724137931,0.11291550367926922,expression_raw,median,rank,15,0.0,25,attention_depth
focal,1,285,278,0.037476408735508226,0.9754385964912281,0.0721796702583409,expression_raw,median,rank,15,0.0,25,attention_depth
incidental,0,1816,1803,0.2250655348895269,0.9928414096916299,0.36694820392795363,expression_raw,median,rank,15,0.0,60,attention_depth
substantive,0,464,464,0.05792035950567969,1.0,0.10949852507374631,expression_raw,median,rank,15,0.0,60,attention_depth
focal,0,286,285,0.03557608288603171,0.9965034965034965,0.06869952995058455,expression_raw,median,rank,15,0.0,60,attention_depth
incidental,0,1816,1803,0.2250655348895269,0.9928414096916299,0.36694820392795363,expression_raw,median,rank,15,0.25,25,attention_depth
substantive,0,464,464,0.05792035950567969,1.0,0.10949852507374631,expression_raw,median,rank,15,0.25,25,attention_depth
focal,0,286,285,0.03557608288603171,0.9965034965034965,0.06869952995058455,expression_raw,median,rank,15,0.25,25,attention_depth
incidental,0,1816,1803,0.2250655348895269,0.9928414096916299,0.36694820392795363,expression_raw,median,rank,15,0.25,60,attention_depth
substantive,0,464,464,0.05792035950567969,1.0,0.10949852507374631,expression_raw,median,rank,15,0.25,60,attention_depth
focal,0,286,285,0.03557608288603171,0.9965034965034965,0.06869952995058455,expression_raw,median,rank,15,0.25,60,attention_depth
incidental,0,1798,1751,0.22755035737491877,0.9738598442714127,0.36890340250711046,expression_raw,median,rank,50,0.0,25,attention_depth
substantive,0,463,453,0.058869395711500974,0.978401727861771,0.11105663152733512,expression_raw,median,rank,50,0.0,25,attention_depth
focal,0,286,281,0.03651721897335932,0.9825174825174825,0.07041724094724972,expression_raw,median,rank,50,0.0,25,attention_depth
incidental,0,1805,1751,0.22755035737491877,0.9700831024930748,0.3686315789473684,expression_raw,median,rank,50,0.0,60,attention_depth
substantive,0,463,453,0.058869395711500974,0.978401727861771,0.11105663152733512,expression_raw,median,rank,50,0.0,60,attention_depth
focal,0,286,281,0.03651721897335932,0.9825174825174825,0.07041724094724972,expression_raw,median,rank,50,0.0,60,attention_depth
incidental,0,1756,1712,0.22693531283138918,0.9749430523917996,0.3681720430107527,expression_raw,median,rank,50,0.25,25,attention_depth
substantive,0,458,450,0.059650053022269355,0.982532751091703,0.11247188202949263,expression_raw,median,rank,50,0.25,25,attention_depth
focal,0,281,277,0.036717921527041356,0.9857651245551602,0.07079872204472842,expression_raw,median,rank,50,0.25,25,attention_depth
incidental,0,1744,1692,0.22656668452062131,0.9701834862385321,0.36734693877551017,expression_raw,median,rank,50,0.25,60,attention_depth
substantive,0,447,438,0.05865024102838779,0.9798657718120806,0.11067593177511055,expression_raw,median,rank,50,0.25,60,attention_depth
focal,0,277,272,0.03642206748794858,0.9819494584837545,0.07023886378308587,expression_raw,median,rank,50,0.25,60,attention_depth
incidental,1,1816,1752,0.23466380926868471,0.9647577092511013,0.3775048480930834,fitness_screens,median,rank,15,0.0,25,attention_depth
substantive,1,464,458,0.061344762925261184,0.9870689655172413,0.1155107187894073,fitness_screens,median,rank,15,0.0,25,attention_depth
focal,1,286,279,0.03736940798285561,0.9755244755244755,0.07198142414860681,fitness_screens,median,rank,15,0.0,25,attention_depth
incidental,1,1816,1752,0.23466380926868471,0.9647577092511013,0.3775048480930834,fitness_screens,median,rank,15,0.0,60,attention_depth
substantive,1,464,458,0.061344762925261184,0.9870689655172413,0.1155107187894073,fitness_screens,median,rank,15,0.0,60,attention_depth
focal,1,286,279,0.03736940798285561,0.9755244755244755,0.07198142414860681,fitness_screens,median,rank,15,0.0,60,attention_depth
incidental,1,1816,1752,0.23463238248292487,0.9647577092511013,0.377464181837768,fitness_screens,median,rank,15,0.25,25,attention_depth
