label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
C,1,264,262,0.3042973286875726,0.9924242424242424,0.4657777777777778,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,cellcycle_phase
M,1,234,230,0.26713124274099886,0.9829059829059829,0.4200913242009132,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,cellcycle_phase
S,1,237,235,0.27293844367015097,0.9915611814345991,0.42805100182149364,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,cellcycle_phase
G1a,1,44,42,0.04878048780487805,0.9545454545454546,0.09281767955801105,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,cellcycle_phase
G1b,1,94,92,0.10685249709639953,0.9787234042553191,0.19267015706806284,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,cellcycle_phase
C,1,264,262,0.3042973286875726,0.9924242424242424,0.4657777777777778,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,cellcycle_phase
M,1,234,230,0.26713124274099886,0.9829059829059829,0.4200913242009132,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,cellcycle_phase
S,1,235,235,0.27293844367015097,1.0,0.4288321167883211,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,cellcycle_phase
G1a,1,44,42,0.04878048780487805,0.9545454545454546,0.09281767955801105,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,cellcycle_phase
G1b,1,94,92,0.10685249709639953,0.9787234042553191,0.19267015706806284,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,40,cellcycle_phase
C,2,264,262,0.3042973286875726,0.9924242424242424,0.4657777777777778,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,cellcycle_phase
M,2,234,230,0.26713124274099886,0.9829059829059829,0.4200913242009132,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,cellcycle_phase
S,2,237,235,0.27293844367015097,0.9915611814345991,0.42805100182149364,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,cellcycle_phase
G1a,2,44,42,0.04878048780487805,0.9545454545454546,0.09281767955801105,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,cellcycle_phase
G1b,2,94,92,0.10685249709639953,0.9787234042553191,0.19267015706806284,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,cellcycle_phase
C,0,263,261,0.305978898007034,0.9923954372623575,0.46774193548387094,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,cellcycle_phase
M,0,233,229,0.268464243845252,0.9828326180257511,0.421731123388582,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,cellcycle_phase
S,0,231,229,0.268464243845252,0.9913419913419913,0.4225092250922509,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,cellcycle_phase
G1a,0,43,42,0.0492379835873388,0.9767441860465116,0.09374999999999999,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,cellcycle_phase
G1b,0,94,92,0.10785463071512309,0.9787234042553191,0.19429778247096094,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,25,cellcycle_phase
C,2,263,261,0.30851063829787234,0.9923954372623575,0.4706943192064924,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,cellcycle_phase
M,2,233,229,0.2706855791962175,0.9828326180257511,0.4244670991658943,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,cellcycle_phase
S,2,225,225,0.26595744680851063,1.0,0.42016806722689076,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,cellcycle_phase
G1a,2,43,42,0.04964539007092199,0.9767441860465116,0.09448818897637797,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,cellcycle_phase
G1b,2,90,89,0.10520094562647754,0.9888888888888889,0.1901709401709402,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,40,cellcycle_phase
C,2,261,261,0.30742049469964666,1.0,0.4702702702702703,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,cellcycle_phase
M,2,231,229,0.2697290930506478,0.9913419913419913,0.424074074074074,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,cellcycle_phase
S,2,226,226,0.2661955241460542,1.0,0.42046511627906974,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,cellcycle_phase
G1a,2,43,42,0.04946996466431095,0.9767441860465116,0.09417040358744394,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,cellcycle_phase
G1b,2,92,91,0.1071849234393404,0.9891304347826086,0.19341126461211475,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,cellcycle_phase
C,6,200,103,0.4186991869918699,0.515,0.4618834080717489,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,cellcycle_phase
M,6,162,74,0.3008130081300813,0.4567901234567901,0.36274509803921573,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,cellcycle_phase
S,8,165,43,0.3467741935483871,0.2606060606060606,0.2975778546712803,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,cellcycle_phase
G1a,8,37,9,0.07258064516129033,0.24324324324324326,0.11180124223602486,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,cellcycle_phase
G1b,8,78,33,0.2661290322580645,0.4230769230769231,0.3267326732673267,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,cellcycle_phase
C,3,185,103,0.412,0.5567567567567567,0.47356321839080456,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,40,cellcycle_phase
S,9,139,27,0.5294117647058824,0.19424460431654678,0.28421052631578947,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,40,cellcycle_phase
M,3,154,77,0.308,0.5,0.38118811881188114,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,40,cellcycle_phase
