label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
nucleus - chromatin,1,768,765,0.09793880425041608,0.99609375,0.1783424641566616,expression_summary,median,rank,15,0.0,25,compartment
dense granules,1,193,193,0.024708744078863143,1.0,0.04822588705647177,expression_summary,median,rank,15,0.0,25,compartment
ER,1,248,248,0.031750096018435536,1.0,0.061546097530711,expression_summary,median,rank,15,0.0,25,compartment
Golgi,1,153,153,0.019587760850083215,1.0,0.03842290306378704,expression_summary,median,rank,15,0.0,25,compartment
cytosol,1,599,599,0.07668672385097938,1.0,0.14244946492271104,expression_summary,median,rank,15,0.0,25,compartment
micronemes,1,56,56,0.007169376520291896,1.0,0.014236684886233636,expression_summary,median,rank,15,0.0,25,compartment
apicoplast,1,166,162,0.0207399820765587,0.9759036144578314,0.04061677322301617,expression_summary,median,rank,15,0.0,25,compartment
nucleus - non-chromatin,1,461,459,0.058763282550249644,0.9956616052060737,0.11097678916827852,expression_summary,median,rank,15,0.0,25,compartment
PM - peripheral 2,1,44,44,0.005633081551657918,1.0,0.011203055378739656,expression_summary,median,rank,15,0.0,25,compartment
apical 1,3,59,2,0.018518518518518517,0.03389830508474576,0.02395209580838323,expression_summary,median,rank,15,0.0,25,compartment
IMC,1,96,96,0.012290359749071823,1.0,0.024282281522701406,expression_summary,median,rank,15,0.0,25,compartment
rhoptries 1,1,71,71,0.009089745231084368,1.0,0.01801573204770363,expression_summary,median,rank,15,0.0,25,compartment
PM - integral,1,135,134,0.017155293816412752,0.9925925925925926,0.03372766171658696,expression_summary,median,rank,15,0.0,25,compartment
mitochondrion - soluble,1,274,273,0.03495071053642299,0.9963503649635036,0.06753246753246753,expression_summary,median,rank,15,0.0,25,compartment
apical 2,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,25,compartment
nucleolus,1,32,32,0.004096786583023941,1.0,0.008160142802499043,expression_summary,median,rank,15,0.0,25,compartment
mitochondrion - membranes,1,193,193,0.024708744078863143,1.0,0.04822588705647177,expression_summary,median,rank,15,0.0,25,compartment
endomembrane vesicles,1,34,34,0.004352835744462937,1.0,0.008667941363926068,expression_summary,median,rank,15,0.0,25,compartment
rhoptries 2,1,52,52,0.006657278197413904,1.0,0.01322650387892662,expression_summary,median,rank,15,0.0,25,compartment
40S ribosome,1,28,28,0.003584688260145948,1.0,0.007143768337798188,expression_summary,median,rank,15,0.0,25,compartment
19S proteasome,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,25,compartment
ER 2,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,25,compartment
PM - peripheral 1,1,49,49,0.006273204455255409,1.0,0.012468193384223919,expression_summary,median,rank,15,0.0,25,compartment
60S ribosome,1,40,40,0.0051209832287799255,1.0,0.01018978474079735,expression_summary,median,rank,15,0.0,25,compartment
nucleus - chromatin,1,769,765,0.09793880425041608,0.9947984395318595,0.17832167832167833,expression_summary,median,rank,15,0.0,60,compartment
dense granules,1,193,193,0.024708744078863143,1.0,0.04822588705647177,expression_summary,median,rank,15,0.0,60,compartment
ER,1,248,248,0.031750096018435536,1.0,0.061546097530711,expression_summary,median,rank,15,0.0,60,compartment
Golgi,1,153,153,0.019587760850083215,1.0,0.03842290306378704,expression_summary,median,rank,15,0.0,60,compartment
cytosol,1,599,599,0.07668672385097938,1.0,0.14244946492271104,expression_summary,median,rank,15,0.0,60,compartment
micronemes,1,56,56,0.007169376520291896,1.0,0.014236684886233636,expression_summary,median,rank,15,0.0,60,compartment
apicoplast,1,167,162,0.0207399820765587,0.9700598802395209,0.04061168212584608,expression_summary,median,rank,15,0.0,60,compartment
nucleus - non-chromatin,1,461,459,0.058763282550249644,0.9956616052060737,0.11097678916827852,expression_summary,median,rank,15,0.0,60,compartment
PM - peripheral 2,1,44,44,0.005633081551657918,1.0,0.011203055378739656,expression_summary,median,rank,15,0.0,60,compartment
apical 1,2,59,2,0.009708737864077669,0.03389830508474576,0.015094339622641506,expression_summary,median,rank,15,0.0,60,compartment
IMC,1,96,96,0.012290359749071823,1.0,0.024282281522701406,expression_summary,median,rank,15,0.0,60,compartment
rhoptries 1,1,71,71,0.009089745231084368,1.0,0.01801573204770363,expression_summary,median,rank,15,0.0,60,compartment
PM - integral,1,135,134,0.017155293816412752,0.9925925925925926,0.03372766171658696,expression_summary,median,rank,15,0.0,60,compartment
mitochondrion - soluble,1,274,273,0.03495071053642299,0.9963503649635036,0.06753246753246753,expression_summary,median,rank,15,0.0,60,compartment
apical 2,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,60,compartment
nucleolus,1,32,32,0.004096786583023941,1.0,0.008160142802499043,expression_summary,median,rank,15,0.0,60,compartment
mitochondrion - membranes,1,193,193,0.024708744078863143,1.0,0.04822588705647177,expression_summary,median,rank,15,0.0,60,compartment
endomembrane vesicles,1,34,34,0.004352835744462937,1.0,0.008667941363926068,expression_summary,median,rank,15,0.0,60,compartment
rhoptries 2,1,52,52,0.006657278197413904,1.0,0.01322650387892662,expression_summary,median,rank,15,0.0,60,compartment
40S ribosome,1,28,28,0.003584688260145948,1.0,0.007143768337798188,expression_summary,median,rank,15,0.0,60,compartment
19S proteasome,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,60,compartment
ER 2,1,17,17,0.0021764178722314684,1.0,0.004343382728666326,expression_summary,median,rank,15,0.0,60,compartment
PM - peripheral 1,1,49,49,0.006273204455255409,1.0,0.012468193384223919,expression_summary,median,rank,15,0.0,60,compartment
60S ribosome,1,40,40,0.0051209832287799255,1.0,0.01018978474079735,expression_summary,median,rank,15,0.0,60,compartment
nucleus - chromatin,0,769,769,0.09592116751902208,1.0,0.1750512178465741,expression_summary,median,rank,15,0.25,25,compartment
dense granules,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,15,0.25,25,compartment
ER,0,248,248,0.03093426468753898,1.0,0.06001209921355112,expression_summary,median,rank,15,0.25,25,compartment
Golgi,0,153,153,0.01908444555319945,1.0,0.037454100367197055,expression_summary,median,rank,15,0.25,25,compartment
cytosol,0,599,599,0.07471622801546714,1.0,0.13904363974001857,expression_summary,median,rank,15,0.25,25,compartment
micronemes,0,56,56,0.006985156542347512,1.0,0.013873405177753003,expression_summary,median,rank,15,0.25,25,compartment
apicoplast,0,167,166,0.020705999750530123,0.9940119760479041,0.04056695992179862,expression_summary,median,rank,15,0.25,25,compartment
nucleus - non-chromatin,0,461,461,0.057502806536110763,1.0,0.10875206416607691,expression_summary,median,rank,15,0.25,25,compartment
PM - peripheral 2,0,44,44,0.005488337283273045,1.0,0.010916759707232354,expression_summary,median,rank,15,0.25,25,compartment
apical 1,0,59,59,0.007359361357116128,1.0,0.014611193660227836,expression_summary,median,rank,15,0.25,25,compartment
IMC,0,96,96,0.011974554072595733,1.0,0.02366572168125231,expression_summary,median,rank,15,0.25,25,compartment
rhoptries 1,0,71,71,0.008856180616190595,1.0,0.017556874381800196,expression_summary,median,rank,15,0.25,25,compartment
PM - integral,0,135,135,0.01683921666458775,1.0,0.0331207065750736,expression_summary,median,rank,15,0.25,25,compartment
mitochondrion - soluble,0,274,274,0.03417737308220033,1.0,0.06609576649378844,expression_summary,median,rank,15,0.25,25,compartment
apical 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,25,compartment
nucleolus,0,32,32,0.003991518024198578,1.0,0.00795129829792521,expression_summary,median,rank,15,0.25,25,compartment
mitochondrion - membranes,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,15,0.25,25,compartment
endomembrane vesicles,0,34,34,0.004240987900710989,1.0,0.008446155757048813,expression_summary,median,rank,15,0.25,25,compartment
rhoptries 2,0,52,52,0.006486216789322689,1.0,0.012888833808402528,expression_summary,median,rank,15,0.25,25,compartment
40S ribosome,0,28,28,0.003492578271173756,1.0,0.006960845245494097,expression_summary,median,rank,15,0.25,25,compartment
19S proteasome,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,25,compartment
ER 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,25,compartment
PM - peripheral 1,0,49,49,0.0061120119745540725,1.0,0.012149764443342424,expression_summary,median,rank,15,0.25,25,compartment
60S ribosome,0,40,40,0.0049893975302482225,1.0,0.009929254064788383,expression_summary,median,rank,15,0.25,25,compartment
nucleus - chromatin,0,769,769,0.09592116751902208,1.0,0.1750512178465741,expression_summary,median,rank,15,0.25,60,compartment
dense granules,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,15,0.25,60,compartment
ER,0,248,248,0.03093426468753898,1.0,0.06001209921355112,expression_summary,median,rank,15,0.25,60,compartment
Golgi,0,153,153,0.01908444555319945,1.0,0.037454100367197055,expression_summary,median,rank,15,0.25,60,compartment
cytosol,0,599,599,0.07471622801546714,1.0,0.13904363974001857,expression_summary,median,rank,15,0.25,60,compartment
micronemes,0,56,56,0.006985156542347512,1.0,0.013873405177753003,expression_summary,median,rank,15,0.25,60,compartment
apicoplast,0,167,166,0.020705999750530123,0.9940119760479041,0.04056695992179862,expression_summary,median,rank,15,0.25,60,compartment
nucleus - non-chromatin,0,461,461,0.057502806536110763,1.0,0.10875206416607691,expression_summary,median,rank,15,0.25,60,compartment
PM - peripheral 2,0,44,44,0.005488337283273045,1.0,0.010916759707232354,expression_summary,median,rank,15,0.25,60,compartment
apical 1,0,59,59,0.007359361357116128,1.0,0.014611193660227836,expression_summary,median,rank,15,0.25,60,compartment
IMC,0,96,96,0.011974554072595733,1.0,0.02366572168125231,expression_summary,median,rank,15,0.25,60,compartment
rhoptries 1,0,71,71,0.008856180616190595,1.0,0.017556874381800196,expression_summary,median,rank,15,0.25,60,compartment
PM - integral,0,135,135,0.01683921666458775,1.0,0.0331207065750736,expression_summary,median,rank,15,0.25,60,compartment
mitochondrion - soluble,0,274,274,0.03417737308220033,1.0,0.06609576649378844,expression_summary,median,rank,15,0.25,60,compartment
apical 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,60,compartment
nucleolus,0,32,32,0.003991518024198578,1.0,0.00795129829792521,expression_summary,median,rank,15,0.25,60,compartment
mitochondrion - membranes,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,15,0.25,60,compartment
endomembrane vesicles,0,34,34,0.004240987900710989,1.0,0.008446155757048813,expression_summary,median,rank,15,0.25,60,compartment
rhoptries 2,0,52,52,0.006486216789322689,1.0,0.012888833808402528,expression_summary,median,rank,15,0.25,60,compartment
40S ribosome,0,28,28,0.003492578271173756,1.0,0.006960845245494097,expression_summary,median,rank,15,0.25,60,compartment
19S proteasome,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,60,compartment
ER 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,15,0.25,60,compartment
PM - peripheral 1,0,49,49,0.0061120119745540725,1.0,0.012149764443342424,expression_summary,median,rank,15,0.25,60,compartment
60S ribosome,0,40,40,0.0049893975302482225,1.0,0.009929254064788383,expression_summary,median,rank,15,0.25,60,compartment
nucleus - chromatin,2,769,763,0.09901375551518297,0.9921976592977894,0.1800589970501475,expression_summary,median,rank,50,0.0,25,compartment
dense granules,2,193,191,0.024785881131585776,0.9896373056994818,0.048360551968603616,expression_summary,median,rank,50,0.0,25,compartment
ER,2,248,247,0.03205294575655333,0.9959677419354839,0.06210711591651998,expression_summary,median,rank,50,0.0,25,compartment
Golgi,2,153,152,0.019724889696340515,0.9934640522875817,0.03868176612800611,expression_summary,median,rank,50,0.0,25,compartment
cytosol,2,598,597,0.07747209966260057,0.9983277591973244,0.1437861271676301,expression_summary,median,rank,50,0.0,25,compartment
micronemes,2,56,56,0.007267064624967558,1.0,0.014429270806493174,expression_summary,median,rank,50,0.0,25,compartment
apicoplast,2,167,162,0.021022579807941862,0.9700598802395209,0.0411533087768322,expression_summary,median,rank,50,0.0,25,compartment
nucleus - non-chromatin,2,461,459,0.059563976122501944,0.9956616052060737,0.11240357536427086,expression_summary,median,rank,50,0.0,25,compartment
PM - peripheral 2,2,44,44,0.0057098364910459385,1.0,0.01135483870967742,expression_summary,median,rank,50,0.0,25,compartment
apical 1,1,59,2,0.00975609756097561,0.03389830508474576,0.015151515151515152,expression_summary,median,rank,50,0.0,25,compartment
IMC,2,96,96,0.012457825071372957,1.0,0.02460907459625737,expression_summary,median,rank,50,0.0,25,compartment
rhoptries 1,2,71,71,0.009213599792369583,1.0,0.018258968754018258,expression_summary,median,rank,50,0.0,25,compartment
PM - integral,2,135,134,0.017389047495458086,0.9925925925925926,0.03417931386302768,expression_summary,median,rank,50,0.0,25,compartment
mitochondrion - soluble,2,274,273,0.03542694004671684,0.9963503649635036,0.06842105263157895,expression_summary,median,rank,50,0.0,25,compartment
apical 2,2,17,17,0.002206073189722294,1.0,0.004402434287194095,expression_summary,median,rank,50,0.0,25,compartment
nucleolus,2,32,32,0.004152608357124318,1.0,0.008270871026104935,expression_summary,median,rank,50,0.0,25,compartment
mitochondrion - membranes,2,193,193,0.025045419153906047,1.0,0.04886694518293455,expression_summary,median,rank,50,0.0,25,compartment
endomembrane vesicles,4,34,1,0.01818181818181818,0.029411764705882353,0.022471910112359553,expression_summary,median,rank,50,0.0,25,compartment
rhoptries 2,2,52,52,0.006747988580327018,1.0,0.01340551688579531,expression_summary,median,rank,50,0.0,25,compartment
40S ribosome,2,28,28,0.003633532312483779,1.0,0.0072407551073183345,expression_summary,median,rank,50,0.0,25,compartment
19S proteasome,2,17,17,0.002206073189722294,1.0,0.004402434287194095,expression_summary,median,rank,50,0.0,25,compartment
ER 2,2,17,17,0.002206073189722294,1.0,0.004402434287194095,expression_summary,median,rank,50,0.0,25,compartment
PM - peripheral 1,2,49,49,0.006358681546846613,1.0,0.012637008381689232,expression_summary,median,rank,50,0.0,25,compartment
60S ribosome,2,40,40,0.005190760446405399,1.0,0.010327911179963853,expression_summary,median,rank,50,0.0,25,compartment
nucleus - chromatin,0,769,769,0.09592116751902208,1.0,0.1750512178465741,expression_summary,median,rank,50,0.0,60,compartment
dense granules,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,50,0.0,60,compartment
ER,0,248,248,0.03093426468753898,1.0,0.06001209921355112,expression_summary,median,rank,50,0.0,60,compartment
Golgi,0,153,153,0.01908444555319945,1.0,0.037454100367197055,expression_summary,median,rank,50,0.0,60,compartment
cytosol,0,599,599,0.07471622801546714,1.0,0.13904363974001857,expression_summary,median,rank,50,0.0,60,compartment
micronemes,0,56,56,0.006985156542347512,1.0,0.013873405177753003,expression_summary,median,rank,50,0.0,60,compartment
apicoplast,0,167,166,0.020705999750530123,0.9940119760479041,0.04056695992179862,expression_summary,median,rank,50,0.0,60,compartment
nucleus - non-chromatin,0,461,461,0.057502806536110763,1.0,0.10875206416607691,expression_summary,median,rank,50,0.0,60,compartment
PM - peripheral 2,0,44,44,0.005488337283273045,1.0,0.010916759707232354,expression_summary,median,rank,50,0.0,60,compartment
apical 1,0,59,59,0.007359361357116128,1.0,0.014611193660227836,expression_summary,median,rank,50,0.0,60,compartment
IMC,0,96,96,0.011974554072595733,1.0,0.02366572168125231,expression_summary,median,rank,50,0.0,60,compartment
rhoptries 1,0,71,71,0.008856180616190595,1.0,0.017556874381800196,expression_summary,median,rank,50,0.0,60,compartment
PM - integral,0,135,135,0.01683921666458775,1.0,0.0331207065750736,expression_summary,median,rank,50,0.0,60,compartment
mitochondrion - soluble,0,274,274,0.03417737308220033,1.0,0.06609576649378844,expression_summary,median,rank,50,0.0,60,compartment
apical 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,50,0.0,60,compartment
nucleolus,0,32,32,0.003991518024198578,1.0,0.00795129829792521,expression_summary,median,rank,50,0.0,60,compartment
mitochondrion - membranes,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,50,0.0,60,compartment
endomembrane vesicles,0,34,34,0.004240987900710989,1.0,0.008446155757048813,expression_summary,median,rank,50,0.0,60,compartment
rhoptries 2,0,52,52,0.006486216789322689,1.0,0.012888833808402528,expression_summary,median,rank,50,0.0,60,compartment
40S ribosome,0,28,28,0.003492578271173756,1.0,0.006960845245494097,expression_summary,median,rank,50,0.0,60,compartment
19S proteasome,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,50,0.0,60,compartment
ER 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,50,0.0,60,compartment
PM - peripheral 1,0,49,49,0.0061120119745540725,1.0,0.012149764443342424,expression_summary,median,rank,50,0.0,60,compartment
60S ribosome,0,40,40,0.0049893975302482225,1.0,0.009929254064788383,expression_summary,median,rank,50,0.0,60,compartment
nucleus - chromatin,0,769,769,0.09592116751902208,1.0,0.1750512178465741,expression_summary,median,rank,50,0.25,25,compartment
dense granules,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,50,0.25,25,compartment
ER,0,248,248,0.03093426468753898,1.0,0.06001209921355112,expression_summary,median,rank,50,0.25,25,compartment
Golgi,0,153,153,0.01908444555319945,1.0,0.037454100367197055,expression_summary,median,rank,50,0.25,25,compartment
cytosol,0,599,599,0.07471622801546714,1.0,0.13904363974001857,expression_summary,median,rank,50,0.25,25,compartment
micronemes,0,56,56,0.006985156542347512,1.0,0.013873405177753003,expression_summary,median,rank,50,0.25,25,compartment
apicoplast,0,167,166,0.020705999750530123,0.9940119760479041,0.04056695992179862,expression_summary,median,rank,50,0.25,25,compartment
nucleus - non-chromatin,0,461,461,0.057502806536110763,1.0,0.10875206416607691,expression_summary,median,rank,50,0.25,25,compartment
PM - peripheral 2,0,44,44,0.005488337283273045,1.0,0.010916759707232354,expression_summary,median,rank,50,0.25,25,compartment
apical 1,0,59,59,0.007359361357116128,1.0,0.014611193660227836,expression_summary,median,rank,50,0.25,25,compartment
IMC,0,96,96,0.011974554072595733,1.0,0.02366572168125231,expression_summary,median,rank,50,0.25,25,compartment
rhoptries 1,0,71,71,0.008856180616190595,1.0,0.017556874381800196,expression_summary,median,rank,50,0.25,25,compartment
PM - integral,0,135,135,0.01683921666458775,1.0,0.0331207065750736,expression_summary,median,rank,50,0.25,25,compartment
mitochondrion - soluble,0,274,274,0.03417737308220033,1.0,0.06609576649378844,expression_summary,median,rank,50,0.25,25,compartment
apical 2,0,17,17,0.0021204939503554946,1.0,0.004232013940751805,expression_summary,median,rank,50,0.25,25,compartment
nucleolus,0,32,32,0.003991518024198578,1.0,0.00795129829792521,expression_summary,median,rank,50,0.25,25,compartment
mitochondrion - membranes,0,193,193,0.024073843083447673,1.0,0.04701583434835566,expression_summary,median,rank,50,0.25,25,compartment
