label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
oocyst,1,1348,823,0.6087278106508875,0.6105341246290801,0.6096296296296296,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,1,229,229,0.16937869822485208,1.0,0.28969006957621757,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,1,300,300,0.22189349112426035,1.0,0.36319612590799033,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,1380,1376,0.7215521761929733,0.9971014492753624,0.8372376026772134,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,0,230,230,0.12060828526481385,1.0,0.2152550304164717,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,0,301,301,0.1578395385422129,1.0,0.2726449275362319,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
oocyst,0,1380,1376,0.7215521761929733,0.9971014492753624,0.8372376026772134,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,0,230,230,0.12060828526481385,1.0,0.2152550304164717,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,0,301,301,0.1578395385422129,1.0,0.2726449275362319,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
oocyst,0,1380,1376,0.7215521761929733,0.9971014492753624,0.8372376026772134,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,0,230,230,0.12060828526481385,1.0,0.2152550304164717,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,0,301,301,0.1578395385422129,1.0,0.2726449275362319,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
oocyst,0,1344,1069,0.668125,0.7953869047619048,0.7262228260869565,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,0,230,230,0.14375,1.0,0.2513661202185792,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,0,301,301,0.188125,1.0,0.3166754339821147,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
oocyst,0,1346,1069,0.668125,0.7942050520059435,0.7257298031228785,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,0,230,230,0.14375,1.0,0.2513661202185792,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,0,301,301,0.188125,1.0,0.3166754339821147,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
oocyst,0,1279,1016,0.6618892508143323,0.7943706020328382,0.7221037668798863,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,0,227,227,0.14788273615635178,1.0,0.2576617480136209,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,0,292,292,0.19022801302931597,1.0,0.3196496989600438,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
oocyst,0,1258,1001,0.6598549769281477,0.7957074721780604,0.7214414414414414,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,0,227,227,0.14963744232036916,1.0,0.26032110091743116,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,0,289,289,0.1905075807514832,1.0,0.32004429678848284,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
oocyst,1,1380,1327,0.7287204832509611,0.9615942028985507,0.8291159012808498,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,1,230,216,0.1186161449752883,0.9391304347826087,0.21062896148220378,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,1,301,278,0.1526633717737507,0.9235880398671097,0.2620169651272385,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
oocyst,1,1380,1327,0.7287204832509611,0.9615942028985507,0.8291159012808498,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,1,230,216,0.1186161449752883,0.9391304347826087,0.21062896148220378,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,1,301,278,0.1526633717737507,0.9235880398671097,0.2620169651272385,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
oocyst,1,1380,1327,0.7287204832509611,0.9615942028985507,0.8291159012808498,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,1,230,216,0.1186161449752883,0.9391304347826087,0.21062896148220378,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,1,301,278,0.1526633717737507,0.9235880398671097,0.2620169651272385,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
oocyst,1,1380,1327,0.7287204832509611,0.9615942028985507,0.8291159012808498,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,1,230,216,0.1186161449752883,0.9391304347826087,0.21062896148220378,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,1,301,278,0.1526633717737507,0.9235880398671097,0.2620169651272385,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
oocyst,1,1380,1326,0.7285714285714285,0.9608695652173913,0.82875,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,1,230,216,0.11868131868131868,0.9391304347826087,0.2107317073170732,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,1,301,278,0.15274725274725276,0.9235880398671097,0.2621404997642622,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
oocyst,1,1380,1326,0.7285714285714285,0.9608695652173913,0.82875,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,1,230,216,0.11868131868131868,0.9391304347826087,0.2107317073170732,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,1,301,278,0.15274725274725276,0.9235880398671097,0.2621404997642622,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
oocyst,1,1380,1326,0.7285714285714285,0.9608695652173913,0.82875,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,1,230,216,0.11868131868131868,0.9391304347826087,0.2107317073170732,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,1,301,278,0.15274725274725276,0.9235880398671097,0.2621404997642622,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
oocyst,1,1380,1326,0.7285714285714285,0.9608695652173913,0.82875,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,1,230,216,0.11868131868131868,0.9391304347826087,0.2107317073170732,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,1,301,278,0.15274725274725276,0.9235880398671097,0.2621404997642622,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
oocyst,1,1380,1324,0.7363737486095662,0.9594202898550724,0.8332284455632473,published_screens,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,1,230,213,0.11846496106785318,0.9260869565217391,0.21005917159763313,published_screens,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,1,301,261,0.14516129032258066,0.867109634551495,0.24868985231062413,published_screens,median,rank,15,0.0,25,stage_enriched_derived
oocyst,1,1380,1324,0.7363737486095662,0.9594202898550724,0.8332284455632473,published_screens,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,1,230,213,0.11846496106785318,0.9260869565217391,0.21005917159763313,published_screens,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,1,301,261,0.14516129032258066,0.867109634551495,0.24868985231062413,published_screens,median,rank,15,0.0,60,stage_enriched_derived
oocyst,1,1380,1323,0.7362270450751253,0.9586956521739131,0.8328611898016998,published_screens,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,1,230,213,0.11853088480801335,0.9260869565217391,0.2101628021706956,published_screens,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,1,301,261,0.14524207011686144,0.867109634551495,0.24880838894184937,published_screens,median,rank,15,0.25,25,stage_enriched_derived
oocyst,1,1380,1323,0.7362270450751253,0.9586956521739131,0.8328611898016998,published_screens,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,1,230,213,0.11853088480801335,0.9260869565217391,0.2101628021706956,published_screens,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,1,301,261,0.14524207011686144,0.867109634551495,0.24880838894184937,published_screens,median,rank,15,0.25,60,stage_enriched_derived
oocyst,1,1380,1322,0.7369007803790413,0.9579710144927536,0.8330182734719597,published_screens,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,1,230,212,0.11817168338907469,0.9217391304347826,0.20948616600790515,published_screens,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,1,301,260,0.14492753623188406,0.8637873754152824,0.24821002386634844,published_screens,median,rank,50,0.0,25,stage_enriched_derived
oocyst,1,1380,1322,0.7369007803790413,0.9579710144927536,0.8330182734719597,published_screens,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,1,230,212,0.11817168338907469,0.9217391304347826,0.20948616600790515,published_screens,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,1,301,260,0.14492753623188406,0.8637873754152824,0.24821002386634844,published_screens,median,rank,50,0.0,60,stage_enriched_derived
oocyst,1,1380,1322,0.7369007803790413,0.9579710144927536,0.8330182734719597,published_screens,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,1,230,212,0.11817168338907469,0.9217391304347826,0.20948616600790515,published_screens,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,1,301,260,0.14492753623188406,0.8637873754152824,0.24821002386634844,published_screens,median,rank,50,0.25,25,stage_enriched_derived
