gene_id,proposed,cluster,cluster_training_support,cluster_training_probability,evidence_status,nested_cv_precision,nested_cv_recall,nested_cv_f1
TGME49_248510,M,23,18,0.6,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_294820,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_242625,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_224870,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_210700,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_304630,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_292020,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_226810,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_268780,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_228690,C,24,10,0.5882352941176471,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_212880,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_264140,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_304720,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_205562,S,69,7,0.7,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_224260,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_204560,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_291180,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_212810,C,7,10,0.625,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_288190,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_240380,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_246190,S,14,5,0.7142857142857143,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_266435,M,67,33,0.75,inferred_from_held_out_structure,0.6468823230433138,0.21785383903792782,0.3227513059046476
TGME49_254370,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_229310,C,62,21,0.7241379310344828,inferred_from_held_out_structure,0.4847038019451812,0.15130624092888242,0.22416992302685784
TGME49_221280,S,14,5,0.7142857142857143,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
TGME49_235420,S,2,6,0.6,inferred_from_held_out_structure,0.6135897435897436,0.06719858156028369,0.11353047498949138
