fold,selected_structure,category,precision,recall,f1,support
0,e013__kmeans_k40,C,0.5517241379310345,0.3018867924528302,0.3902439024390244,53
0,e013__kmeans_k40,G1a,0.0,0.0,0.0,9
0,e013__kmeans_k40,G1b,0.0,0.0,0.0,19
0,e013__kmeans_k40,M,0.5263157894736842,0.2127659574468085,0.30303030303030304,47
0,e013__kmeans_k40,S,0.6,0.06382978723404255,0.11538461538461539,47
1,e011__kmeans_k80,C,0.5384615384615384,0.1320754716981132,0.21212121212121213,53
1,e011__kmeans_k80,G1a,0.0,0.0,0.0,9
1,e011__kmeans_k80,G1b,0.0,0.0,0.0,19
1,e011__kmeans_k80,M,0.7647058823529411,0.2765957446808511,0.40625,47
1,e011__kmeans_k80,S,1.0,0.02127659574468085,0.041666666666666664,47
2,e006__kmeans_k80,C,0.5,0.11320754716981132,0.18461538461538463,53
2,e006__kmeans_k80,G1a,0.0,0.0,0.0,9
2,e006__kmeans_k80,G1b,0.0,0.0,0.0,19
2,e006__kmeans_k80,M,0.7272727272727273,0.1702127659574468,0.27586206896551724,47
2,e006__kmeans_k80,S,0.6666666666666666,0.0425531914893617,0.08,47
3,e013__kmeans_k80,C,0.5,0.11320754716981132,0.18461538461538463,53
3,e013__kmeans_k80,G1a,0.0,0.0,0.0,9
3,e013__kmeans_k80,G1b,0.25,0.05555555555555555,0.09090909090909091,18
3,e013__kmeans_k80,M,0.6923076923076923,0.1956521739130435,0.3050847457627119,46
3,e013__kmeans_k80,S,0.4166666666666667,0.10416666666666667,0.16666666666666666,48
4,e014__kmeans_k40,C,0.3333333333333333,0.09615384615384616,0.14925373134328357,52
4,e014__kmeans_k40,G1a,0.0,0.0,0.0,8
4,e014__kmeans_k40,G1b,0.0,0.0,0.0,19
4,e014__kmeans_k40,M,0.5238095238095238,0.23404255319148937,0.3235294117647059,47
4,e014__kmeans_k40,S,0.38461538461538464,0.10416666666666667,0.16393442622950818,48
