structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs20_ms0_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,20.0,,eom,52,0.15221130221130222
e001__hdb_mcs20_ms0_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,20.0,,leaf,93,0.4312039312039312
e001__hdb_mcs20_ms10_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,20.0,10.0,eom,72,0.1828009828009828
e001__hdb_mcs20_ms10_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,20.0,10.0,leaf,108,0.3899262899262899
e001__hdb_mcs50_ms0_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,50.0,,eom,28,0.17285012285012286
e001__hdb_mcs50_ms0_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,50.0,,leaf,38,0.3687960687960688
e001__hdb_mcs50_ms10_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,50.0,10.0,eom,31,0.11363636363636363
e001__hdb_mcs50_ms10_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,50.0,10.0,leaf,50,0.3285012285012285
e001__hdb_mcs100_ms0_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,100.0,,eom,10,0.07027027027027027
e001__hdb_mcs100_ms0_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,100.0,,leaf,20,0.4189189189189189
e001__hdb_mcs100_ms10_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,100.0,10.0,eom,17,0.04078624078624079
e001__hdb_mcs100_ms10_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,100.0,10.0,leaf,29,0.26744471744471743
e001__hdb_mcs200_ms0_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,200.0,,eom,6,0.04213759213759214
e001__hdb_mcs200_ms0_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,200.0,,leaf,10,0.25061425061425063
e001__hdb_mcs200_ms10_eom,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,200.0,10.0,eom,11,0.03943488943488944
e001__hdb_mcs200_ms10_leaf,e001,all_independent,31,59,15,0.0,1.3701906204223633,hdbscan,200.0,10.0,leaf,16,0.15614250614250613
e001__kmeans_k20,e001,all_independent,31,59,15,0.0,1.3701906204223633,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,31,59,15,0.0,1.3701906204223633,kmeans,,,,40,0.0
