fold,selected_structure,category,precision,recall,f1,support
0,e009__kmeans_k80,C,0.5555555555555556,0.2830188679245283,0.375,53
0,e009__kmeans_k80,G1a,0.0,0.0,0.0,9
0,e009__kmeans_k80,G1b,0.5,0.05263157894736842,0.09523809523809523,19
0,e009__kmeans_k80,M,0.5416666666666666,0.2765957446808511,0.36619718309859156,47
0,e009__kmeans_k80,S,0.6,0.1276595744680851,0.21052631578947367,47
1,e009__kmeans_k80,C,0.65,0.24528301886792453,0.3561643835616438,53
1,e009__kmeans_k80,G1a,0.0,0.0,0.0,9
1,e009__kmeans_k80,G1b,0.3333333333333333,0.05263157894736842,0.09090909090909091,19
1,e009__kmeans_k80,M,0.8125,0.2765957446808511,0.4126984126984127,47
1,e009__kmeans_k80,S,0.6923076923076923,0.19148936170212766,0.3,47
2,e013__hdb_mcs20_ms10_eom,C,0.6071428571428571,0.32075471698113206,0.41975308641975306,53
2,e013__hdb_mcs20_ms10_eom,G1a,0.0,0.0,0.0,9
2,e013__hdb_mcs20_ms10_eom,G1b,0.3333333333333333,0.10526315789473684,0.16,19
2,e013__hdb_mcs20_ms10_eom,M,0.3,0.06382978723404255,0.10526315789473684,47
2,e013__hdb_mcs20_ms10_eom,S,0.0,0.0,0.0,47
3,e013__kmeans_k40,C,0.5625,0.33962264150943394,0.4235294117647059,53
3,e013__kmeans_k40,G1a,0.0,0.0,0.0,9
3,e013__kmeans_k40,G1b,0.0,0.0,0.0,18
3,e013__kmeans_k40,M,0.7368421052631579,0.30434782608695654,0.4307692307692308,46
3,e013__kmeans_k40,S,0.25,0.0625,0.1,48
4,e002__kmeans_k40,C,0.8888888888888888,0.15384615384615385,0.26229508196721313,52
4,e002__kmeans_k40,G1a,0.0,0.0,0.0,8
4,e002__kmeans_k40,G1b,0.0,0.0,0.0,19
4,e002__kmeans_k40,M,0.6,0.19148936170212766,0.2903225806451613,47
4,e002__kmeans_k40,S,0.3333333333333333,0.125,0.18181818181818182,48
