structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs20_ms0_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,20.0,,eom,8,0.009828009828009828
e001__hdb_mcs20_ms0_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,20.0,,leaf,68,0.5312039312039312
e001__hdb_mcs20_ms10_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,20.0,10.0,eom,34,0.1832923832923833
e001__hdb_mcs20_ms10_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,20.0,10.0,leaf,83,0.4872235872235872
e001__hdb_mcs50_ms0_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,50.0,,eom,4,0.0012285012285012285
e001__hdb_mcs50_ms0_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,50.0,,leaf,27,0.5293611793611793
e001__hdb_mcs50_ms10_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,50.0,10.0,eom,6,0.016216216216216217
e001__hdb_mcs50_ms10_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,50.0,10.0,leaf,38,0.46621621621621623
e001__hdb_mcs100_ms0_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,100.0,,eom,4,0.0017199017199017199
e001__hdb_mcs100_ms0_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,100.0,,leaf,14,0.4968058968058968
e001__hdb_mcs100_ms10_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,100.0,10.0,eom,5,0.004176904176904177
e001__hdb_mcs100_ms10_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,100.0,10.0,leaf,22,0.4101965601965602
e001__hdb_mcs200_ms0_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,200.0,,eom,4,0.002334152334152334
e001__hdb_mcs200_ms0_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,200.0,,leaf,6,0.2160933660933661
e001__hdb_mcs200_ms10_eom,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,200.0,10.0,eom,5,0.004176904176904177
e001__hdb_mcs200_ms10_leaf,e001,all_independent,52,191,15,0.0,5.533257007598877,hdbscan,200.0,10.0,leaf,12,0.36240786240786244
e001__kmeans_k20,e001,all_independent,52,191,15,0.0,5.533257007598877,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,52,191,15,0.0,5.533257007598877,kmeans,,,,40,0.0
e001__kmeans_k80,e001,all_independent,52,191,15,0.0,5.533257007598877,kmeans,,,,80,0.0
e002__hdb_mcs20_ms0_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,20.0,,eom,4,0.0
e002__hdb_mcs20_ms0_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,20.0,,leaf,52,0.6395577395577395
e002__hdb_mcs20_ms10_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,20.0,10.0,eom,4,0.0
e002__hdb_mcs20_ms10_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,20.0,10.0,leaf,63,0.5636363636363636
e002__hdb_mcs50_ms0_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,50.0,,eom,4,0.023095823095823097
e002__hdb_mcs50_ms0_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,50.0,,leaf,22,0.6125307125307126
e002__hdb_mcs50_ms10_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,50.0,10.0,eom,3,0.0
e002__hdb_mcs50_ms10_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,50.0,10.0,leaf,30,0.5496314496314496
e002__hdb_mcs100_ms0_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,100.0,,eom,4,0.0355036855036855
e002__hdb_mcs100_ms0_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,100.0,,leaf,8,0.5488943488943488
e002__hdb_mcs100_ms10_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,100.0,10.0,eom,3,0.0
e002__hdb_mcs100_ms10_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,100.0,10.0,leaf,19,0.4472972972972973
e002__hdb_mcs200_ms0_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,200.0,,eom,3,0.07997542997542997
e002__hdb_mcs200_ms0_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,200.0,,leaf,5,0.3874692874692875
e002__hdb_mcs200_ms10_eom,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,200.0,10.0,eom,3,0.0
e002__hdb_mcs200_ms10_leaf,e002,all_independent,52,191,15,0.2,11.800069808959961,hdbscan,200.0,10.0,leaf,11,0.4294840294840295
e002__kmeans_k20,e002,all_independent,52,191,15,0.2,11.800069808959961,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,52,191,15,0.2,11.800069808959961,kmeans,,,,40,0.0
e002__kmeans_k80,e002,all_independent,52,191,15,0.2,11.800069808959961,kmeans,,,,80,0.0
e003__hdb_mcs20_ms0_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,20.0,,eom,5,0.0
e003__hdb_mcs20_ms0_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,20.0,,leaf,59,0.5527027027027027
e003__hdb_mcs20_ms10_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,20.0,10.0,eom,7,0.004054054054054054
e003__hdb_mcs20_ms10_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,20.0,10.0,leaf,67,0.5300982800982801
e003__hdb_mcs50_ms0_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,50.0,,eom,4,0.0
e003__hdb_mcs50_ms0_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,50.0,,leaf,27,0.5293611793611793
e003__hdb_mcs50_ms10_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,50.0,10.0,eom,4,0.0
e003__hdb_mcs50_ms10_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,50.0,10.0,leaf,37,0.4615479115479115
e003__hdb_mcs100_ms0_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,100.0,,eom,4,0.0
e003__hdb_mcs100_ms0_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,100.0,,leaf,15,0.4832923832923833
e003__hdb_mcs100_ms10_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,100.0,10.0,eom,4,0.0
e003__hdb_mcs100_ms10_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,100.0,10.0,leaf,21,0.3515970515970516
e003__hdb_mcs200_ms0_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,200.0,,eom,4,0.0022113022113022115
e003__hdb_mcs200_ms0_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,200.0,,leaf,7,0.4124078624078624
e003__hdb_mcs200_ms10_eom,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,200.0,10.0,eom,4,0.0
e003__hdb_mcs200_ms10_leaf,e003,all_independent,52,191,30,0.0,18.38591432571411,hdbscan,200.0,10.0,leaf,11,0.2391891891891892
e003__kmeans_k20,e003,all_independent,52,191,30,0.0,18.38591432571411,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,52,191,30,0.0,18.38591432571411,kmeans,,,,40,0.0
e003__kmeans_k80,e003,all_independent,52,191,30,0.0,18.38591432571411,kmeans,,,,80,0.0
e004__hdb_mcs20_ms0_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,20.0,,eom,5,0.009336609336609337
e004__hdb_mcs20_ms0_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,20.0,,leaf,47,0.635995085995086
e004__hdb_mcs20_ms10_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,20.0,10.0,eom,3,0.00012285012285012285
e004__hdb_mcs20_ms10_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,20.0,10.0,leaf,59,0.6267813267813268
e004__hdb_mcs50_ms0_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,50.0,,eom,4,0.017444717444717445
e004__hdb_mcs50_ms0_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,50.0,,leaf,20,0.6753071253071253
e004__hdb_mcs50_ms10_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,50.0,10.0,eom,6,0.04656019656019656
e004__hdb_mcs50_ms10_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,50.0,10.0,leaf,29,0.563022113022113
e004__hdb_mcs100_ms0_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,100.0,,eom,4,0.02665847665847666
e004__hdb_mcs100_ms0_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,100.0,,leaf,8,0.506019656019656
e004__hdb_mcs100_ms10_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,100.0,10.0,eom,5,0.027764127764127764
e004__hdb_mcs100_ms10_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,100.0,10.0,leaf,20,0.5192874692874693
e004__hdb_mcs200_ms0_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,200.0,,eom,3,0.06056511056511057
e004__hdb_mcs200_ms0_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,200.0,,leaf,5,0.3821867321867322
e004__hdb_mcs200_ms10_eom,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,200.0,10.0,eom,4,0.017321867321867322
e004__hdb_mcs200_ms10_leaf,e004,all_independent,52,191,30,0.2,24.77974534034729,hdbscan,200.0,10.0,leaf,8,0.30405405405405406
e004__kmeans_k20,e004,all_independent,52,191,30,0.2,24.77974534034729,kmeans,,,,20,0.0
e004__kmeans_k40,e004,all_independent,52,191,30,0.2,24.77974534034729,kmeans,,,,40,0.0
e004__kmeans_k80,e004,all_independent,52,191,30,0.2,24.77974534034729,kmeans,,,,80,0.0
e005__hdb_mcs20_ms0_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,20.0,,eom,6,0.0025798525798525797
e005__hdb_mcs20_ms0_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,20.0,,leaf,53,0.5856265356265357
e005__hdb_mcs20_ms10_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,20.0,10.0,eom,7,0.007616707616707617
e005__hdb_mcs20_ms10_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,20.0,10.0,leaf,64,0.5664619164619165
e005__hdb_mcs50_ms0_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,50.0,,eom,5,0.00601965601965602
e005__hdb_mcs50_ms0_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,50.0,,leaf,25,0.5754299754299754
e005__hdb_mcs50_ms10_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,50.0,10.0,eom,5,0.005159705159705159
e005__hdb_mcs50_ms10_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,50.0,10.0,leaf,33,0.5151105651105651
e005__hdb_mcs100_ms0_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,100.0,,eom,4,0.0063882063882063885
e005__hdb_mcs100_ms0_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,100.0,,leaf,13,0.4680589680589681
e005__hdb_mcs100_ms10_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,100.0,10.0,eom,4,0.003316953316953317
e005__hdb_mcs100_ms10_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,100.0,10.0,leaf,21,0.421007371007371
e005__hdb_mcs200_ms0_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,200.0,,eom,3,0.0028255528255528256
e005__hdb_mcs200_ms0_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,200.0,,leaf,6,0.48955773955773957
e005__hdb_mcs200_ms10_eom,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,200.0,10.0,eom,5,0.01167076167076167
e005__hdb_mcs200_ms10_leaf,e005,all_independent,52,191,60,0.0,31.560648441314697,hdbscan,200.0,10.0,leaf,10,0.27751842751842754
e005__kmeans_k20,e005,all_independent,52,191,60,0.0,31.560648441314697,kmeans,,,,20,0.0
e005__kmeans_k40,e005,all_independent,52,191,60,0.0,31.560648441314697,kmeans,,,,40,0.0
e005__kmeans_k80,e005,all_independent,52,191,60,0.0,31.560648441314697,kmeans,,,,80,0.0
e006__hdb_mcs20_ms0_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,20.0,,eom,8,0.06646191646191646
e006__hdb_mcs20_ms0_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,20.0,,leaf,41,0.6900491400491401
e006__hdb_mcs20_ms10_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,20.0,10.0,eom,10,0.06425061425061425
e006__hdb_mcs20_ms10_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,20.0,10.0,leaf,55,0.6312039312039313
e006__hdb_mcs50_ms0_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,50.0,,eom,5,0.07211302211302212
e006__hdb_mcs50_ms0_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,50.0,,leaf,21,0.6873464373464373
e006__hdb_mcs50_ms10_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,50.0,10.0,eom,7,0.06044226044226044
e006__hdb_mcs50_ms10_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,50.0,10.0,leaf,28,0.5950859950859951
e006__hdb_mcs100_ms0_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,100.0,,eom,3,0.03095823095823096
e006__hdb_mcs100_ms0_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,100.0,,leaf,7,0.5185503685503685
e006__hdb_mcs100_ms10_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,100.0,10.0,eom,5,0.04828009828009828
e006__hdb_mcs100_ms10_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,100.0,10.0,leaf,17,0.5347665847665848
e006__hdb_mcs200_ms0_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,200.0,,eom,3,0.06867321867321867
e006__hdb_mcs200_ms0_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,200.0,,leaf,5,0.3984029484029484
e006__hdb_mcs200_ms10_eom,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,200.0,10.0,eom,4,0.07137592137592137
e006__hdb_mcs200_ms10_leaf,e006,all_independent,52,191,60,0.2,38.246337890625,hdbscan,200.0,10.0,leaf,8,0.3738329238329238
e006__kmeans_k20,e006,all_independent,52,191,60,0.2,38.246337890625,kmeans,,,,20,0.0
e006__kmeans_k40,e006,all_independent,52,191,60,0.2,38.246337890625,kmeans,,,,40,0.0
e006__kmeans_k80,e006,all_independent,52,191,60,0.2,38.246337890625,kmeans,,,,80,0.0
e007__hdb_mcs20_ms0_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,20.0,,eom,7,0.011056511056511056
e007__hdb_mcs20_ms0_leaf,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,20.0,,leaf,49,0.6504914004914005
e007__hdb_mcs20_ms10_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,20.0,10.0,eom,8,0.026167076167076166
e007__hdb_mcs20_ms10_leaf,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,20.0,10.0,leaf,61,0.5977886977886978
e007__hdb_mcs50_ms0_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,50.0,,eom,5,0.010319410319410319
e007__hdb_mcs50_ms0_leaf,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,50.0,,leaf,24,0.6245700245700245
e007__hdb_mcs50_ms10_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,50.0,10.0,eom,6,0.02469287469287469
e007__hdb_mcs50_ms10_leaf,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,50.0,10.0,leaf,30,0.514987714987715
e007__hdb_mcs100_ms0_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,100.0,,eom,3,0.003071253071253071
e007__hdb_mcs100_ms0_leaf,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,100.0,,leaf,12,0.5245700245700246
e007__hdb_mcs100_ms10_eom,e007,all_independent,52,191,120,0.0,45.293172121047974,hdbscan,100.0,10.0,eom,4,0.013144963144963145
