category,precision,recall,f1,f1_sd,support
dense granules,0.7039803546836795,0.30026990553306343,0.41755156432575785,0.05902663139316464,193
PM - peripheral 1,0.9,0.2822222222222222,0.4132600732600732,0.2224023073125617,49
nucleus - chromatin,0.5739748677248677,0.12091503267973855,0.1987157887642699,0.05257761083951529,769
rhoptries 2,0.1657142857142857,0.09636363636363636,0.12058823529411766,0.16908567472711541,52
60S ribosome,0.02857142857142857,0.025,0.026666666666666665,0.05962847939999439,40
cytosol,0.06,0.005,0.009230769230769232,0.020640627484613445,599
20S proteasome,0.0,0.0,0.0,0.0,14
19S proteasome,0.0,0.0,0.0,0.0,17
ER,0.0,0.0,0.0,0.0,248
40S ribosome,0.0,0.0,0.0,0.0,28
PM - integral,0.0,0.0,0.0,0.0,135
IMC,0.0,0.0,0.0,0.0,96
Golgi,0.0,0.0,0.0,0.0,153
ER 2,0.0,0.0,0.0,0.0,17
apicoplast,0.0,0.0,0.0,0.0,167
apical 2,0.0,0.0,0.0,0.0,17
PM - peripheral 2,0.0,0.0,0.0,0.0,44
apical 1,0.0,0.0,0.0,0.0,59
micronemes,0.0,0.0,0.0,0.0,56
endomembrane vesicles,0.0,0.0,0.0,0.0,34
mitochondrion - soluble,0.0,0.0,0.0,0.0,274
mitochondrion - membranes,0.0,0.0,0.0,0.0,193
nucleolus,0.0,0.0,0.0,0.0,32
nucleus - non-chromatin,0.0,0.0,0.0,0.0,461
rhoptries 1,0.0,0.0,0.0,0.0,71
tubulin cytoskeleton,0.0,0.0,0.0,0.0,9
