structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs20_ms0_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,20.0,,eom,10,0.01253071253071253
e001__hdb_mcs20_ms0_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,20.0,,leaf,61,0.5477886977886978
e001__hdb_mcs20_ms10_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,20.0,10.0,eom,38,0.1699017199017199
e001__hdb_mcs20_ms10_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,20.0,10.0,leaf,77,0.4958230958230958
e001__hdb_mcs50_ms0_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,50.0,,eom,4,0.0035626535626535625
e001__hdb_mcs50_ms0_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,50.0,,leaf,30,0.5011056511056511
e001__hdb_mcs50_ms10_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,50.0,10.0,eom,18,0.12039312039312039
e001__hdb_mcs50_ms10_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,50.0,10.0,leaf,39,0.4275184275184275
e001__hdb_mcs100_ms0_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,100.0,,eom,4,0.0035626535626535625
e001__hdb_mcs100_ms0_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,100.0,,leaf,16,0.4941031941031941
e001__hdb_mcs100_ms10_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,100.0,10.0,eom,15,0.11916461916461916
e001__hdb_mcs100_ms10_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,100.0,10.0,leaf,23,0.3514742014742015
e001__hdb_mcs200_ms0_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,200.0,,eom,4,0.005528255528255528
e001__hdb_mcs200_ms0_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,200.0,,leaf,6,0.2807125307125307
e001__hdb_mcs200_ms10_eom,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,200.0,10.0,eom,4,0.0035626535626535625
e001__hdb_mcs200_ms10_leaf,e001,all_independent,49,187,15,0.0,6.04634690284729,hdbscan,200.0,10.0,leaf,13,0.2955773955773956
e001__kmeans_k20,e001,all_independent,49,187,15,0.0,6.04634690284729,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,49,187,15,0.0,6.04634690284729,kmeans,,,,40,0.0
e001__kmeans_k80,e001,all_independent,49,187,15,0.0,6.04634690284729,kmeans,,,,80,0.0
e002__hdb_mcs20_ms0_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,20.0,,eom,7,0.03206388206388206
e002__hdb_mcs20_ms0_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,20.0,,leaf,50,0.6386977886977887
e002__hdb_mcs20_ms10_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,20.0,10.0,eom,4,0.0017199017199017199
e002__hdb_mcs20_ms10_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,20.0,10.0,leaf,64,0.5825552825552825
e002__hdb_mcs50_ms0_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,50.0,,eom,4,0.019164619164619166
e002__hdb_mcs50_ms0_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,50.0,,leaf,25,0.6316953316953317
e002__hdb_mcs50_ms10_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,50.0,10.0,eom,2,0.0
e002__hdb_mcs50_ms10_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,50.0,10.0,leaf,32,0.49803439803439803
e002__hdb_mcs100_ms0_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,100.0,,eom,4,0.034766584766584764
e002__hdb_mcs100_ms0_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,100.0,,leaf,8,0.5109336609336609
e002__hdb_mcs100_ms10_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,100.0,10.0,eom,5,0.028992628992628992
e002__hdb_mcs100_ms10_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,100.0,10.0,leaf,18,0.45343980343980345
e002__hdb_mcs200_ms0_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,200.0,,eom,3,0.06339066339066339
e002__hdb_mcs200_ms0_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,200.0,,leaf,5,0.41326781326781326
e002__hdb_mcs200_ms10_eom,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,200.0,10.0,eom,2,0.0
e002__hdb_mcs200_ms10_leaf,e002,all_independent,49,187,15,0.2,20.092086791992188,hdbscan,200.0,10.0,leaf,11,0.46916461916461916
e002__kmeans_k20,e002,all_independent,49,187,15,0.2,20.092086791992188,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,49,187,15,0.2,20.092086791992188,kmeans,,,,40,0.0
e002__kmeans_k80,e002,all_independent,49,187,15,0.2,20.092086791992188,kmeans,,,,80,0.0
e003__hdb_mcs20_ms0_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,20.0,,eom,7,0.004791154791154792
e003__hdb_mcs20_ms0_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,20.0,,leaf,52,0.5406633906633906
e003__hdb_mcs20_ms10_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,20.0,10.0,eom,25,0.14557739557739557
e003__hdb_mcs20_ms10_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,20.0,10.0,leaf,70,0.5197788697788698
e003__hdb_mcs50_ms0_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,50.0,,eom,4,0.0
e003__hdb_mcs50_ms0_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,50.0,,leaf,27,0.5148648648648648
e003__hdb_mcs50_ms10_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,50.0,10.0,eom,4,0.0
e003__hdb_mcs50_ms10_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,50.0,10.0,leaf,37,0.48452088452088454
e003__hdb_mcs100_ms0_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,100.0,,eom,4,0.003071253071253071
e003__hdb_mcs100_ms0_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,100.0,,leaf,16,0.5251842751842751
e003__hdb_mcs100_ms10_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,100.0,10.0,eom,4,0.0
e003__hdb_mcs100_ms10_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,100.0,10.0,leaf,23,0.4402948402948403
e003__hdb_mcs200_ms0_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,200.0,,eom,4,0.003316953316953317
e003__hdb_mcs200_ms0_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,200.0,,leaf,7,0.47493857493857494
e003__hdb_mcs200_ms10_eom,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,200.0,10.0,eom,4,0.0
e003__hdb_mcs200_ms10_leaf,e003,all_independent,49,187,30,0.0,33.57527017593384,hdbscan,200.0,10.0,leaf,11,0.30982800982800984
e003__kmeans_k20,e003,all_independent,49,187,30,0.0,33.57527017593384,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,49,187,30,0.0,33.57527017593384,kmeans,,,,40,0.0
e003__kmeans_k80,e003,all_independent,49,187,30,0.0,33.57527017593384,kmeans,,,,80,0.0
e004__hdb_mcs20_ms0_eom,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,20.0,,eom,3,0.0009828009828009828
e004__hdb_mcs20_ms0_leaf,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,20.0,,leaf,45,0.6229729729729729
e004__hdb_mcs20_ms10_eom,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,20.0,10.0,eom,3,0.0002457002457002457
e004__hdb_mcs20_ms10_leaf,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,20.0,10.0,leaf,60,0.6256756756756757
e004__hdb_mcs50_ms0_eom,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,50.0,,eom,4,0.036117936117936116
e004__hdb_mcs50_ms0_leaf,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,50.0,,leaf,21,0.6264127764127764
e004__hdb_mcs50_ms10_eom,e004,all_independent,49,187,30,0.2,47.94250154495239,hdbscan,50.0,10.0,eom,2,0.00012285012285012285
