category,precision,recall,f1,f1_sd,support
dense granules,0.6871158958001062,0.38353576248313087,0.4724730367548958,0.10766930590909264,193
PM - peripheral 1,0.5866666666666667,0.22222222222222224,0.3199267399267399,0.23214249228717598,49
nucleus - chromatin,0.6660344827586206,0.10016127663186487,0.16938578947336663,0.06461074131357587,769
rhoptries 2,0.21333333333333332,0.07818181818181819,0.11320512820512821,0.12649143126225781,52
60S ribosome,0.09444444444444444,0.075,0.0803921568627451,0.11272378315141028,40
cytosol,0.05,0.0016666666666666666,0.0032258064516129032,0.007213122508063837,599
20S proteasome,0.0,0.0,0.0,0.0,14
19S proteasome,0.0,0.0,0.0,0.0,17
ER,0.0,0.0,0.0,0.0,248
40S ribosome,0.0,0.0,0.0,0.0,28
PM - integral,0.0,0.0,0.0,0.0,135
IMC,0.0,0.0,0.0,0.0,96
Golgi,0.0,0.0,0.0,0.0,153
ER 2,0.0,0.0,0.0,0.0,17
apicoplast,0.0,0.0,0.0,0.0,167
apical 2,0.0,0.0,0.0,0.0,17
PM - peripheral 2,0.0,0.0,0.0,0.0,44
apical 1,0.0,0.0,0.0,0.0,59
micronemes,0.0,0.0,0.0,0.0,56
endomembrane vesicles,0.0,0.0,0.0,0.0,34
mitochondrion - soluble,0.0,0.0,0.0,0.0,274
mitochondrion - membranes,0.0,0.0,0.0,0.0,193
nucleolus,0.0,0.0,0.0,0.0,32
nucleus - non-chromatin,0.0,0.0,0.0,0.0,461
rhoptries 1,0.0,0.0,0.0,0.0,71
tubulin cytoskeleton,0.0,0.0,0.0,0.0,9
