structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs20_ms0_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,20.0,,eom,7,0.004914004914004914
e001__hdb_mcs20_ms0_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,20.0,,leaf,59,0.5458230958230958
e001__hdb_mcs20_ms10_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,20.0,10.0,eom,11,0.016461916461916463
e001__hdb_mcs20_ms10_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,20.0,10.0,leaf,74,0.492997542997543
e001__hdb_mcs50_ms0_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,50.0,,eom,4,0.0
e001__hdb_mcs50_ms0_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,50.0,,leaf,28,0.5410319410319411
e001__hdb_mcs50_ms10_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,50.0,10.0,eom,6,0.0035626535626535625
e001__hdb_mcs50_ms10_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,50.0,10.0,leaf,40,0.47395577395577393
e001__hdb_mcs100_ms0_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,100.0,,eom,4,0.0034398034398034397
e001__hdb_mcs100_ms0_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,100.0,,leaf,13,0.4713759213759214
e001__hdb_mcs100_ms10_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,100.0,10.0,eom,6,0.0035626535626535625
e001__hdb_mcs100_ms10_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,100.0,10.0,leaf,23,0.40552825552825555
e001__hdb_mcs200_ms0_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,200.0,,eom,4,0.0036855036855036856
e001__hdb_mcs200_ms0_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,200.0,,leaf,6,0.2807125307125307
e001__hdb_mcs200_ms10_eom,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,200.0,10.0,eom,5,0.0018427518427518428
e001__hdb_mcs200_ms10_leaf,e001,all_independent,50,188,15,0.0,5.79081654548645,hdbscan,200.0,10.0,leaf,12,0.39373464373464373
e001__kmeans_k20,e001,all_independent,50,188,15,0.0,5.79081654548645,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,50,188,15,0.0,5.79081654548645,kmeans,,,,40,0.0
e001__kmeans_k80,e001,all_independent,50,188,15,0.0,5.79081654548645,kmeans,,,,80,0.0
e002__hdb_mcs20_ms0_eom,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,20.0,,eom,5,0.0063882063882063885
e002__hdb_mcs20_ms0_leaf,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,20.0,,leaf,46,0.6535626535626535
e002__hdb_mcs20_ms10_eom,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,20.0,10.0,eom,8,0.018304668304668304
e002__hdb_mcs20_ms10_leaf,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,20.0,10.0,leaf,60,0.5848894348894349
e002__hdb_mcs50_ms0_eom,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,50.0,,eom,4,0.013636363636363636
e002__hdb_mcs50_ms0_leaf,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,50.0,,leaf,24,0.6592137592137592
e002__hdb_mcs50_ms10_eom,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,50.0,10.0,eom,5,0.018427518427518427
e002__hdb_mcs50_ms10_leaf,e002,all_independent,50,188,15,0.2,19.276228427886963,hdbscan,50.0,10.0,leaf,28,0.5432432432432432
