fold,selected_structure,category,precision,recall,f1,support
0,e007__kmeans_k40,C,0.5517241379310345,0.3018867924528302,0.3902439024390244,53
0,e007__kmeans_k40,G1a,0.0,0.0,0.0,9
0,e007__kmeans_k40,G1b,0.0,0.0,0.0,19
0,e007__kmeans_k40,M,0.5263157894736842,0.2127659574468085,0.30303030303030304,47
0,e007__kmeans_k40,S,0.6,0.06382978723404255,0.11538461538461539,47
1,e006__kmeans_k40,C,0.5,0.09433962264150944,0.15873015873015872,53
1,e006__kmeans_k40,G1a,0.0,0.0,0.0,9
1,e006__kmeans_k40,G1b,0.0,0.0,0.0,19
1,e006__kmeans_k40,M,0.8125,0.2765957446808511,0.4126984126984127,47
1,e006__kmeans_k40,S,0.21428571428571427,0.06382978723404255,0.09836065573770492,47
2,e007__kmeans_k40,C,0.43478260869565216,0.18867924528301888,0.2631578947368421,53
2,e007__kmeans_k40,G1a,0.0,0.0,0.0,9
2,e007__kmeans_k40,G1b,0.0,0.0,0.0,19
2,e007__kmeans_k40,M,0.6,0.19148936170212766,0.2903225806451613,47
2,e007__kmeans_k40,S,0.6,0.06382978723404255,0.11538461538461539,47
3,e001__kmeans_k40,C,0.4,0.11320754716981132,0.17647058823529413,53
3,e001__kmeans_k40,G1a,0.0,0.0,0.0,9
3,e001__kmeans_k40,G1b,0.0,0.0,0.0,18
3,e001__kmeans_k40,M,1.0,0.21739130434782608,0.35714285714285715,46
3,e001__kmeans_k40,S,0.16666666666666666,0.041666666666666664,0.06666666666666667,48
4,e008__kmeans_k40,C,0.3333333333333333,0.09615384615384616,0.14925373134328357,52
4,e008__kmeans_k40,G1a,0.0,0.0,0.0,8
4,e008__kmeans_k40,G1b,0.0,0.0,0.0,19
4,e008__kmeans_k40,M,0.5238095238095238,0.23404255319148937,0.3235294117647059,47
4,e008__kmeans_k40,S,0.38461538461538464,0.10416666666666667,0.16393442622950818,48
