structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs30_ms0_eom,e001,all_independent,31,59,25,0.0,1.6799349784851074,hdbscan,30.0,,eom,34,0.1466830466830467
e001__hdb_mcs75_ms10_eom,e001,all_independent,31,59,25,0.0,1.6799349784851074,hdbscan,75.0,10.0,eom,25,0.1339066339066339
e001__kmeans_k20,e001,all_independent,31,59,25,0.0,1.6799349784851074,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,31,59,25,0.0,1.6799349784851074,kmeans,,,,40,0.0
e002__hdb_mcs30_ms0_eom,e002,all_independent,31,59,25,0.2,6.0273401737213135,hdbscan,30.0,,eom,12,0.03771498771498771
e002__hdb_mcs75_ms10_eom,e002,all_independent,31,59,25,0.2,6.0273401737213135,hdbscan,75.0,10.0,eom,8,0.009213759213759214
e002__kmeans_k20,e002,all_independent,31,59,25,0.2,6.0273401737213135,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,31,59,25,0.2,6.0273401737213135,kmeans,,,,40,0.0
e003__hdb_mcs30_ms0_eom,e003,all_independent,31,59,60,0.0,11.169021129608154,hdbscan,30.0,,eom,37,0.26179361179361177
e003__hdb_mcs75_ms10_eom,e003,all_independent,31,59,60,0.0,11.169021129608154,hdbscan,75.0,10.0,eom,9,0.043243243243243246
e003__kmeans_k20,e003,all_independent,31,59,60,0.0,11.169021129608154,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,31,59,60,0.0,11.169021129608154,kmeans,,,,40,0.0
e004__hdb_mcs30_ms0_eom,e004,all_independent,31,59,60,0.2,16.23848032951355,hdbscan,30.0,,eom,12,0.0597051597051597
e004__hdb_mcs75_ms10_eom,e004,all_independent,31,59,60,0.2,16.23848032951355,hdbscan,75.0,10.0,eom,7,0.028132678132678134
e004__kmeans_k20,e004,all_independent,31,59,60,0.2,16.23848032951355,kmeans,,,,20,0.0
e004__kmeans_k40,e004,all_independent,31,59,60,0.2,16.23848032951355,kmeans,,,,40,0.0
e005__hdb_mcs30_ms0_eom,e005,measured_only,19,24,25,0.0,21.914791584014893,hdbscan,30.0,,eom,10,0.002702702702702703
e005__hdb_mcs75_ms10_eom,e005,measured_only,19,24,25,0.0,21.914791584014893,hdbscan,75.0,10.0,eom,8,0.008845208845208846
e005__kmeans_k20,e005,measured_only,19,24,25,0.0,21.914791584014893,kmeans,,,,20,0.0
e005__kmeans_k40,e005,measured_only,19,24,25,0.0,21.914791584014893,kmeans,,,,40,0.0
