fold,selected_structure,category,precision,recall,f1,support
0,e007__hdb_mcs30_ms0_eom,C,0.55,0.20754716981132076,0.3013698630136986,53
0,e007__hdb_mcs30_ms0_eom,G1a,0.0,0.0,0.0,9
0,e007__hdb_mcs30_ms0_eom,G1b,0.2,0.05263157894736842,0.08333333333333333,19
0,e007__hdb_mcs30_ms0_eom,M,0.5625,0.19148936170212766,0.2857142857142857,47
0,e007__hdb_mcs30_ms0_eom,S,0.0,0.0,0.0,47
1,e002__kmeans_k40,C,0.5555555555555556,0.09433962264150944,0.16129032258064516,53
1,e002__kmeans_k40,G1a,0.0,0.0,0.0,9
1,e002__kmeans_k40,G1b,0.0,0.0,0.0,19
1,e002__kmeans_k40,M,0.7647058823529411,0.2765957446808511,0.40625,47
1,e002__kmeans_k40,S,0.45454545454545453,0.10638297872340426,0.1724137931034483,47
2,e008__kmeans_k40,C,0.6296296296296297,0.32075471698113206,0.425,53
2,e008__kmeans_k40,G1a,0.0,0.0,0.0,9
2,e008__kmeans_k40,G1b,0.2,0.05263157894736842,0.08333333333333333,19
2,e008__kmeans_k40,M,0.5625,0.19148936170212766,0.2857142857142857,47
2,e008__kmeans_k40,S,0.25,0.0425531914893617,0.07272727272727272,47
3,e007__kmeans_k40,C,0.5625,0.33962264150943394,0.4235294117647059,53
3,e007__kmeans_k40,G1a,0.0,0.0,0.0,9
3,e007__kmeans_k40,G1b,0.0,0.0,0.0,18
3,e007__kmeans_k40,M,0.7368421052631579,0.30434782608695654,0.4307692307692308,46
3,e007__kmeans_k40,S,0.25,0.0625,0.1,48
4,e008__kmeans_k40,C,0.65,0.25,0.3611111111111111,52
4,e008__kmeans_k40,G1a,0.0,0.0,0.0,8
4,e008__kmeans_k40,G1b,0.0,0.0,0.0,19
4,e008__kmeans_k40,M,0.47368421052631576,0.19148936170212766,0.2727272727272727,47
4,e008__kmeans_k40,S,0.3333333333333333,0.020833333333333332,0.0392156862745098,48
