structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs30_ms0_eom,e001,all_independent,52,191,25,0.0,5.80832314491272,hdbscan,30.0,,eom,4,0.0
e001__hdb_mcs75_ms10_eom,e001,all_independent,52,191,25,0.0,5.80832314491272,hdbscan,75.0,10.0,eom,4,0.0
e001__kmeans_k20,e001,all_independent,52,191,25,0.0,5.80832314491272,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,52,191,25,0.0,5.80832314491272,kmeans,,,,40,0.0
e002__hdb_mcs30_ms0_eom,e002,all_independent,52,191,25,0.2,14.6575608253479,hdbscan,30.0,,eom,4,0.012407862407862407
e002__hdb_mcs75_ms10_eom,e002,all_independent,52,191,25,0.2,14.6575608253479,hdbscan,75.0,10.0,eom,4,0.014742014742014743
e002__kmeans_k20,e002,all_independent,52,191,25,0.2,14.6575608253479,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,52,191,25,0.2,14.6575608253479,kmeans,,,,40,0.0
e003__hdb_mcs30_ms0_eom,e003,all_independent,52,191,60,0.0,24.063246726989746,hdbscan,30.0,,eom,5,0.005405405405405406
e003__hdb_mcs75_ms10_eom,e003,all_independent,52,191,60,0.0,24.063246726989746,hdbscan,75.0,10.0,eom,5,0.005159705159705159
e003__kmeans_k20,e003,all_independent,52,191,60,0.0,24.063246726989746,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,52,191,60,0.0,24.063246726989746,kmeans,,,,40,0.0
e004__hdb_mcs30_ms0_eom,e004,all_independent,52,191,60,0.2,33.84892296791077,hdbscan,30.0,,eom,6,0.06375921375921376
e004__hdb_mcs75_ms10_eom,e004,all_independent,52,191,60,0.2,33.84892296791077,hdbscan,75.0,10.0,eom,6,0.057862407862407865
e004__kmeans_k20,e004,all_independent,52,191,60,0.2,33.84892296791077,kmeans,,,,20,0.0
e004__kmeans_k40,e004,all_independent,52,191,60,0.2,33.84892296791077,kmeans,,,,40,0.0
e005__hdb_mcs30_ms0_eom,e005,measured_only,40,156,25,0.0,42.427409410476685,hdbscan,30.0,,eom,11,0.016216216216216217
e005__hdb_mcs75_ms10_eom,e005,measured_only,40,156,25,0.0,42.427409410476685,hdbscan,75.0,10.0,eom,6,0.024938574938574938
e005__kmeans_k20,e005,measured_only,40,156,25,0.0,42.427409410476685,kmeans,,,,20,0.0
e005__kmeans_k40,e005,measured_only,40,156,25,0.0,42.427409410476685,kmeans,,,,40,0.0
e006__hdb_mcs30_ms0_eom,e006,measured_only,40,156,25,0.2,51.05356979370117,hdbscan,30.0,,eom,10,0.17604422604422604
e006__hdb_mcs75_ms10_eom,e006,measured_only,40,156,25,0.2,51.05356979370117,hdbscan,75.0,10.0,eom,7,0.14803439803439802
e006__kmeans_k20,e006,measured_only,40,156,25,0.2,51.05356979370117,kmeans,,,,20,0.0
e006__kmeans_k40,e006,measured_only,40,156,25,0.2,51.05356979370117,kmeans,,,,40,0.0
e007__hdb_mcs30_ms0_eom,e007,measured_only,40,156,60,0.0,60.34584093093872,hdbscan,30.0,,eom,20,0.37555282555282554
e007__hdb_mcs75_ms10_eom,e007,measured_only,40,156,60,0.0,60.34584093093872,hdbscan,75.0,10.0,eom,5,0.023955773955773956
e007__kmeans_k20,e007,measured_only,40,156,60,0.0,60.34584093093872,kmeans,,,,20,0.0
e007__kmeans_k40,e007,measured_only,40,156,60,0.0,60.34584093093872,kmeans,,,,40,0.0
e008__hdb_mcs30_ms0_eom,e008,measured_only,40,156,60,0.2,69.70090913772583,hdbscan,30.0,,eom,4,0.052702702702702706
e008__hdb_mcs75_ms10_eom,e008,measured_only,40,156,60,0.2,69.70090913772583,hdbscan,75.0,10.0,eom,6,0.1409090909090909
e008__kmeans_k20,e008,measured_only,40,156,60,0.2,69.70090913772583,kmeans,,,,20,0.0
e008__kmeans_k40,e008,measured_only,40,156,60,0.2,69.70090913772583,kmeans,,,,40,0.0
e009__hdb_mcs30_ms0_eom,e009,broad_coverage,42,157,25,0.0,78.11097741127014,hdbscan,30.0,,eom,5,0.009705159705159705
e009__hdb_mcs75_ms10_eom,e009,broad_coverage,42,157,25,0.0,78.11097741127014,hdbscan,75.0,10.0,eom,5,0.005528255528255528
e009__kmeans_k20,e009,broad_coverage,42,157,25,0.0,78.11097741127014,kmeans,,,,20,0.0
e009__kmeans_k40,e009,broad_coverage,42,157,25,0.0,78.11097741127014,kmeans,,,,40,0.0
e010__hdb_mcs30_ms0_eom,e010,broad_coverage,42,157,25,0.2,86.35953378677368,hdbscan,30.0,,eom,2,0.0
e010__hdb_mcs75_ms10_eom,e010,broad_coverage,42,157,25,0.2,86.35953378677368,hdbscan,75.0,10.0,eom,2,0.0
e010__kmeans_k20,e010,broad_coverage,42,157,25,0.2,86.35953378677368,kmeans,,,,20,0.0
e010__kmeans_k40,e010,broad_coverage,42,157,25,0.2,86.35953378677368,kmeans,,,,40,0.0
e011__hdb_mcs30_ms0_eom,e011,broad_coverage,42,157,60,0.0,95.05139660835266,hdbscan,30.0,,eom,3,0.0
e011__hdb_mcs75_ms10_eom,e011,broad_coverage,42,157,60,0.0,95.05139660835266,hdbscan,75.0,10.0,eom,3,0.0
e011__kmeans_k20,e011,broad_coverage,42,157,60,0.0,95.05139660835266,kmeans,,,,20,0.0
e011__kmeans_k40,e011,broad_coverage,42,157,60,0.0,95.05139660835266,kmeans,,,,40,0.0
e012__hdb_mcs30_ms0_eom,e012,broad_coverage,42,157,60,0.2,103.75074863433838,hdbscan,30.0,,eom,3,0.004545454545454545
e012__hdb_mcs75_ms10_eom,e012,broad_coverage,42,157,60,0.2,103.75074863433838,hdbscan,75.0,10.0,eom,2,0.0
e012__kmeans_k20,e012,broad_coverage,42,157,60,0.2,103.75074863433838,kmeans,,,,20,0.0
e012__kmeans_k40,e012,broad_coverage,42,157,60,0.2,103.75074863433838,kmeans,,,,40,0.0
e013__hdb_mcs30_ms0_eom,e013,non_transcription,31,59,25,0.0,108.7731511592865,hdbscan,30.0,,eom,34,0.1466830466830467
e013__hdb_mcs75_ms10_eom,e013,non_transcription,31,59,25,0.0,108.7731511592865,hdbscan,75.0,10.0,eom,25,0.1339066339066339
e013__kmeans_k20,e013,non_transcription,31,59,25,0.0,108.7731511592865,kmeans,,,,20,0.0
e013__kmeans_k40,e013,non_transcription,31,59,25,0.0,108.7731511592865,kmeans,,,,40,0.0
e014__hdb_mcs30_ms0_eom,e014,non_transcription,31,59,25,0.2,113.64597201347351,hdbscan,30.0,,eom,12,0.03771498771498771
e014__hdb_mcs75_ms10_eom,e014,non_transcription,31,59,25,0.2,113.64597201347351,hdbscan,75.0,10.0,eom,8,0.009213759213759214
e014__kmeans_k20,e014,non_transcription,31,59,25,0.2,113.64597201347351,kmeans,,,,20,0.0
e014__kmeans_k40,e014,non_transcription,31,59,25,0.2,113.64597201347351,kmeans,,,,40,0.0
e015__hdb_mcs30_ms0_eom,e015,non_transcription,31,59,60,0.0,119.20346689224243,hdbscan,30.0,,eom,37,0.26179361179361177
e015__hdb_mcs75_ms10_eom,e015,non_transcription,31,59,60,0.0,119.20346689224243,hdbscan,75.0,10.0,eom,9,0.043243243243243246
e015__kmeans_k20,e015,non_transcription,31,59,60,0.0,119.20346689224243,kmeans,,,,20,0.0
e015__kmeans_k40,e015,non_transcription,31,59,60,0.0,119.20346689224243,kmeans,,,,40,0.0
e016__hdb_mcs30_ms0_eom,e016,non_transcription,31,59,60,0.2,124.32969999313354,hdbscan,30.0,,eom,12,0.0597051597051597
