category,precision,recall,f1,f1_sd,support
PM - peripheral 1,0.9714285714285713,0.3622222222222222,0.49912518853695326,0.20194063139729357,49
dense granules,0.6422184053763,0.3724696356275304,0.46897024746895327,0.061423859864375624,193
nucleus - chromatin,0.5818181818181818,0.1026653085476615,0.16184313788966884,0.09651662586714806,769
40S ribosome,0.0,0.0,0.0,0.0,28
20S proteasome,0.0,0.0,0.0,0.0,14
60S ribosome,0.0,0.0,0.0,0.0,40
ER 2,0.0,0.0,0.0,0.0,17
Golgi,0.0,0.0,0.0,0.0,153
ER,0.0,0.0,0.0,0.0,248
19S proteasome,0.0,0.0,0.0,0.0,17
PM - integral,0.0,0.0,0.0,0.0,135
IMC,0.0,0.0,0.0,0.0,96
apical 2,0.0,0.0,0.0,0.0,17
PM - peripheral 2,0.0,0.0,0.0,0.0,44
apicoplast,0.0,0.0,0.0,0.0,167
cytosol,0.0,0.0,0.0,0.0,599
endomembrane vesicles,0.0,0.0,0.0,0.0,34
apical 1,0.0,0.0,0.0,0.0,59
micronemes,0.0,0.0,0.0,0.0,56
mitochondrion - membranes,0.0,0.0,0.0,0.0,193
mitochondrion - soluble,0.0,0.0,0.0,0.0,274
nucleolus,0.0,0.0,0.0,0.0,32
nucleus - non-chromatin,0.0,0.0,0.0,0.0,461
rhoptries 1,0.0,0.0,0.0,0.0,71
rhoptries 2,0.0,0.0,0.0,0.0,52
tubulin cytoskeleton,0.0,0.0,0.0,0.0,9
