structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs30_ms0_eom,e001,all_independent,49,187,25,0.0,7.383018732070923,hdbscan,30.0,,eom,6,0.013759213759213759
e001__hdb_mcs75_ms10_eom,e001,all_independent,49,187,25,0.0,7.383018732070923,hdbscan,75.0,10.0,eom,4,0.00012285012285012285
e001__kmeans_k20,e001,all_independent,49,187,25,0.0,7.383018732070923,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,49,187,25,0.0,7.383018732070923,kmeans,,,,40,0.0
e002__hdb_mcs30_ms0_eom,e002,all_independent,49,187,25,0.2,17.426507234573364,hdbscan,30.0,,eom,2,0.003316953316953317
e002__hdb_mcs75_ms10_eom,e002,all_independent,49,187,25,0.2,17.426507234573364,hdbscan,75.0,10.0,eom,3,0.004422604422604423
e002__kmeans_k20,e002,all_independent,49,187,25,0.2,17.426507234573364,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,49,187,25,0.2,17.426507234573364,kmeans,,,,40,0.0
e003__hdb_mcs30_ms0_eom,e003,all_independent,49,187,60,0.0,28.132509469985962,hdbscan,30.0,,eom,16,0.2076167076167076
e003__hdb_mcs75_ms10_eom,e003,all_independent,49,187,60,0.0,28.132509469985962,hdbscan,75.0,10.0,eom,7,0.022113022113022112
e003__kmeans_k20,e003,all_independent,49,187,60,0.0,28.132509469985962,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,49,187,60,0.0,28.132509469985962,kmeans,,,,40,0.0
e004__hdb_mcs30_ms0_eom,e004,all_independent,49,187,60,0.2,39.12103986740112,hdbscan,30.0,,eom,5,0.057985257985257985
e004__hdb_mcs75_ms10_eom,e004,all_independent,49,187,60,0.2,39.12103986740112,hdbscan,75.0,10.0,eom,2,0.005773955773955774
e004__kmeans_k20,e004,all_independent,49,187,60,0.2,39.12103986740112,kmeans,,,,20,0.0
e004__kmeans_k40,e004,all_independent,49,187,60,0.2,39.12103986740112,kmeans,,,,40,0.0
e005__hdb_mcs30_ms0_eom,e005,measured_only,39,154,25,0.0,46.54607152938843,hdbscan,30.0,,eom,13,0.03194103194103194
e005__hdb_mcs75_ms10_eom,e005,measured_only,39,154,25,0.0,46.54607152938843,hdbscan,75.0,10.0,eom,6,0.02592137592137592
