category,precision,recall,f1,f1_sd,support
PM - peripheral 1,0.9714285714285713,0.3422222222222222,0.48007756948933417,0.18605351902296619,49
dense granules,0.6590812324929972,0.37786774628879893,0.4771008472083932,0.056848558894043576,193
nucleus - chromatin,0.6139593871946813,0.18983957219251338,0.28388620665006553,0.0553271902271076,769
40S ribosome,0.0,0.0,0.0,0.0,28
20S proteasome,0.0,0.0,0.0,0.0,14
60S ribosome,0.0,0.0,0.0,0.0,40
ER 2,0.0,0.0,0.0,0.0,17
Golgi,0.0,0.0,0.0,0.0,153
ER,0.0,0.0,0.0,0.0,248
19S proteasome,0.0,0.0,0.0,0.0,17
PM - integral,0.0,0.0,0.0,0.0,135
IMC,0.0,0.0,0.0,0.0,96
apical 2,0.0,0.0,0.0,0.0,17
PM - peripheral 2,0.0,0.0,0.0,0.0,44
apicoplast,0.0,0.0,0.0,0.0,167
cytosol,0.0,0.0,0.0,0.0,599
endomembrane vesicles,0.0,0.0,0.0,0.0,34
apical 1,0.0,0.0,0.0,0.0,59
micronemes,0.0,0.0,0.0,0.0,56
mitochondrion - membranes,0.0,0.0,0.0,0.0,193
mitochondrion - soluble,0.0,0.0,0.0,0.0,274
nucleolus,0.0,0.0,0.0,0.0,32
nucleus - non-chromatin,0.0,0.0,0.0,0.0,461
rhoptries 1,0.0,0.0,0.0,0.0,71
rhoptries 2,0.0,0.0,0.0,0.0,52
tubulin cytoskeleton,0.0,0.0,0.0,0.0,9
