gene_id,proposed,cluster,cluster_training_support,cluster_training_probability,evidence_status,nested_cv_precision,nested_cv_recall,nested_cv_f1
TGME49_225745,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_294820,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_286270,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_278205,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_295610,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_288190,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_295658,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_280390,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_221280,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_274010,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_267855,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_229260,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_216430,nucleus - chromatin,5,83,0.6102941176470589,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_310970,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
TGME49_215080,nucleus - chromatin,13,61,0.5754716981132075,inferred_from_held_out_structure,0.6139593871946813,0.18983957219251338,0.28388620665006553
