structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e001__hdb_mcs30_ms0_eom,e001,all_independent,50,188,25,0.0,5.827260971069336,hdbscan,30.0,,eom,4,0.0035626535626535625
e001__hdb_mcs75_ms10_eom,e001,all_independent,50,188,25,0.0,5.827260971069336,hdbscan,75.0,10.0,eom,7,0.013513513513513514
e001__kmeans_k20,e001,all_independent,50,188,25,0.0,5.827260971069336,kmeans,,,,20,0.0
e001__kmeans_k40,e001,all_independent,50,188,25,0.0,5.827260971069336,kmeans,,,,40,0.0
e002__hdb_mcs30_ms0_eom,e002,all_independent,50,188,25,0.2,14.933640718460083,hdbscan,30.0,,eom,4,0.012653562653562654
e002__hdb_mcs75_ms10_eom,e002,all_independent,50,188,25,0.2,14.933640718460083,hdbscan,75.0,10.0,eom,4,0.010196560196560197
e002__kmeans_k20,e002,all_independent,50,188,25,0.2,14.933640718460083,kmeans,,,,20,0.0
e002__kmeans_k40,e002,all_independent,50,188,25,0.2,14.933640718460083,kmeans,,,,40,0.0
e003__hdb_mcs30_ms0_eom,e003,all_independent,50,188,60,0.0,24.46861982345581,hdbscan,30.0,,eom,5,0.008353808353808353
e003__hdb_mcs75_ms10_eom,e003,all_independent,50,188,60,0.0,24.46861982345581,hdbscan,75.0,10.0,eom,5,0.006756756756756757
e003__kmeans_k20,e003,all_independent,50,188,60,0.0,24.46861982345581,kmeans,,,,20,0.0
e003__kmeans_k40,e003,all_independent,50,188,60,0.0,24.46861982345581,kmeans,,,,40,0.0
e004__hdb_mcs30_ms0_eom,e004,all_independent,50,188,60,0.2,33.85589647293091,hdbscan,30.0,,eom,7,0.08267813267813268
e004__hdb_mcs75_ms10_eom,e004,all_independent,50,188,60,0.2,33.85589647293091,hdbscan,75.0,10.0,eom,7,0.0714987714987715
e004__kmeans_k20,e004,all_independent,50,188,60,0.2,33.85589647293091,kmeans,,,,20,0.0
e004__kmeans_k40,e004,all_independent,50,188,60,0.2,33.85589647293091,kmeans,,,,40,0.0
e005__hdb_mcs30_ms0_eom,e005,measured_only,39,154,25,0.0,42.587214946746826,hdbscan,30.0,,eom,13,0.03194103194103194
e005__hdb_mcs75_ms10_eom,e005,measured_only,39,154,25,0.0,42.587214946746826,hdbscan,75.0,10.0,eom,6,0.02592137592137592
e005__kmeans_k20,e005,measured_only,39,154,25,0.0,42.587214946746826,kmeans,,,,20,0.0
e005__kmeans_k40,e005,measured_only,39,154,25,0.0,42.587214946746826,kmeans,,,,40,0.0
e006__hdb_mcs30_ms0_eom,e006,measured_only,39,154,25,0.2,51.15036964416504,hdbscan,30.0,,eom,8,0.08501228501228501
e006__hdb_mcs75_ms10_eom,e006,measured_only,39,154,25,0.2,51.15036964416504,hdbscan,75.0,10.0,eom,2,0.007616707616707617
e006__kmeans_k20,e006,measured_only,39,154,25,0.2,51.15036964416504,kmeans,,,,20,0.0
e006__kmeans_k40,e006,measured_only,39,154,25,0.2,51.15036964416504,kmeans,,,,40,0.0
e007__hdb_mcs30_ms0_eom,e007,measured_only,39,154,60,0.0,60.71329855918884,hdbscan,30.0,,eom,15,0.2753071253071253
e007__hdb_mcs75_ms10_eom,e007,measured_only,39,154,60,0.0,60.71329855918884,hdbscan,75.0,10.0,eom,6,0.01253071253071253
e007__kmeans_k20,e007,measured_only,39,154,60,0.0,60.71329855918884,kmeans,,,,20,0.0
e007__kmeans_k40,e007,measured_only,39,154,60,0.0,60.71329855918884,kmeans,,,,40,0.0
e008__hdb_mcs30_ms0_eom,e008,measured_only,39,154,60,0.2,69.73516488075256,hdbscan,30.0,,eom,16,0.43574938574938576
e008__hdb_mcs75_ms10_eom,e008,measured_only,39,154,60,0.2,69.73516488075256,hdbscan,75.0,10.0,eom,5,0.08083538083538083
e008__kmeans_k20,e008,measured_only,39,154,60,0.2,69.73516488075256,kmeans,,,,20,0.0
e008__kmeans_k40,e008,measured_only,39,154,60,0.2,69.73516488075256,kmeans,,,,40,0.0
e009__hdb_mcs30_ms0_eom,e009,broad_coverage,40,154,25,0.0,78.30867338180542,hdbscan,30.0,,eom,5,0.0085995085995086
e009__hdb_mcs75_ms10_eom,e009,broad_coverage,40,154,25,0.0,78.30867338180542,hdbscan,75.0,10.0,eom,5,0.006756756756756757
e009__kmeans_k20,e009,broad_coverage,40,154,25,0.0,78.30867338180542,kmeans,,,,20,0.0
e009__kmeans_k40,e009,broad_coverage,40,154,25,0.0,78.30867338180542,kmeans,,,,40,0.0
e010__hdb_mcs30_ms0_eom,e010,broad_coverage,40,154,25,0.2,86.61946058273315,hdbscan,30.0,,eom,2,0.0
e010__hdb_mcs75_ms10_eom,e010,broad_coverage,40,154,25,0.2,86.61946058273315,hdbscan,75.0,10.0,eom,2,0.0
e010__kmeans_k20,e010,broad_coverage,40,154,25,0.2,86.61946058273315,kmeans,,,,20,0.0
e010__kmeans_k40,e010,broad_coverage,40,154,25,0.2,86.61946058273315,kmeans,,,,40,0.0
e011__hdb_mcs30_ms0_eom,e011,broad_coverage,40,154,60,0.0,95.3598301410675,hdbscan,30.0,,eom,3,0.0
