task,method,features,evidence_coverage,genes,accuracy,supported_fraction
compartment,boosted,published,lower third,1291,0.47947327652982186,1.0
compartment,boosted,published,middle third,1261,0.5186360031720857,1.0
compartment,boosted,published,upper third,1275,0.5537254901960784,1.0
compartment,boosted,published_af3,lower third,1291,0.4817970565453137,1.0
compartment,boosted,published_af3,middle third,1261,0.5186360031720857,1.0
compartment,boosted,published_af3,upper third,1275,0.56,1.0
compartment,boosted,published_af3_esm,lower third,1291,0.5213013168086754,1.0
compartment,boosted,published_af3_esm,middle third,1261,0.578112609040444,1.0
compartment,boosted,published_af3_esm,upper third,1275,0.5882352941176471,1.0
compartment,linear,published,lower third,1291,0.41673121611154146,1.0
compartment,linear,published,middle third,1261,0.46788263283108644,1.0
compartment,linear,published,upper third,1275,0.4964705882352941,1.0
compartment,linear,published_af3,lower third,1291,0.41750580945003873,1.0
compartment,linear,published_af3,middle third,1261,0.4599524187153053,1.0
compartment,linear,published_af3,upper third,1275,0.5027450980392156,1.0
compartment,linear,published_af3_esm,lower third,1291,0.46398140975987606,1.0
compartment,linear,published_af3_esm,middle third,1261,0.5400475812846947,1.0
compartment,linear,published_af3_esm,upper third,1275,0.5411764705882353,1.0
compartment,multiview,published,lower third,1291,0.32532920216886135,1.0
compartment,multiview,published,middle third,1261,0.37272006344171293,1.0
compartment,multiview,published,upper third,1275,0.39372549019607844,1.0
compartment,neighbors,published,lower third,1291,0.3439194422927963,1.0
compartment,neighbors,published,middle third,1261,0.408406026962728,1.0
compartment,neighbors,published,upper third,1275,0.4196078431372549,1.0
compartment,pca,published,lower third,1291,0.31913245546088304,1.0
compartment,pca,published,middle third,1261,0.37272006344171293,1.0
compartment,pca,published,upper third,1275,0.38588235294117645,1.0
compartment,prior,published,lower third,1291,0.23547637490317583,1.0
compartment,prior,published,middle third,1261,0.23949246629659002,1.0
compartment,prior,published,upper third,1275,0.12784313725490196,1.0
compartment,umap,published,lower third,1291,0.26800929512006194,1.0
compartment,umap,published,middle third,1261,0.3394131641554322,1.0
compartment,umap,published,upper third,1275,0.33647058823529413,1.0
compartment,umap,published_3d,lower third,1291,0.2641363284275755,1.0
compartment,umap,published_3d,middle third,1261,0.31879460745440125,1.0
compartment,umap,published_3d,upper third,1275,0.3325490196078431,1.0
