task,method,features,bin_lower,count,mean_confidence,accuracy
compartment,boosted,published,0.1,49,0.18025096435037966,0.24489795918367346
compartment,boosted,published,0.2,353,0.2559809260851231,0.24079320113314448
compartment,boosted,published,0.3,645,0.3515823921102489,0.3550387596899225
compartment,boosted,published,0.4,689,0.44889231212444447,0.4107402031930334
compartment,boosted,published,0.5,621,0.5479153659654453,0.5265700483091788
compartment,boosted,published,0.6,509,0.6462946098386408,0.5854616895874263
compartment,boosted,published,0.7,463,0.749034166928347,0.7041036717062635
compartment,boosted,published,0.8,362,0.8474642386539278,0.8314917127071824
compartment,boosted,published,0.9,136,0.9305003405240104,0.8676470588235294
compartment,boosted,published_af3,0.1,44,0.18227458276878866,0.1590909090909091
compartment,boosted,published_af3,0.2,357,0.2547502778035848,0.22128851540616246
compartment,boosted,published_af3,0.3,640,0.34961533480032936,0.371875
compartment,boosted,published_af3,0.4,716,0.45013453896407746,0.44692737430167595
compartment,boosted,published_af3,0.5,605,0.5476837080927665,0.515702479338843
compartment,boosted,published_af3,0.6,512,0.647606538029381,0.57421875
compartment,boosted,published_af3,0.7,454,0.7486658411349262,0.7092511013215859
compartment,boosted,published_af3,0.8,354,0.8479674465726139,0.8220338983050848
compartment,boosted,published_af3,0.9,145,0.9303687596788328,0.8758620689655172
compartment,boosted,published_af3_esm,0.1,53,0.18144672612492826,0.09433962264150944
compartment,boosted,published_af3_esm,0.2,275,0.2615021066692095,0.26545454545454544
compartment,boosted,published_af3_esm,0.3,537,0.3522343037072774,0.35940409683426444
compartment,boosted,published_af3_esm,0.4,613,0.44923356596793196,0.4274061990212072
compartment,boosted,published_af3_esm,0.5,554,0.548042181067005,0.5306859205776173
compartment,boosted,published_af3_esm,0.6,496,0.6495326091146568,0.6028225806451613
compartment,boosted,published_af3_esm,0.7,484,0.7507592436313616,0.7086776859504132
compartment,boosted,published_af3_esm,0.8,465,0.8497085127916242,0.7827956989247312
compartment,boosted,published_af3_esm,0.9,350,0.9374486561916933,0.9114285714285715
compartment,linear,published,0.1,121,0.1787653324880518,0.1322314049586777
compartment,linear,published,0.2,757,0.25818628979149133,0.2813738441215324
compartment,linear,published,0.3,1024,0.34856422248999797,0.396484375
compartment,linear,published,0.4,759,0.4460546201294554,0.4756258234519104
compartment,linear,published,0.5,461,0.5456788298381867,0.5726681127982647
compartment,linear,published,0.6,275,0.6429512174347022,0.6690909090909091
compartment,linear,published,0.7,180,0.747174126475221,0.6555555555555556
compartment,linear,published,0.8,129,0.8406339262246122,0.7596899224806202
compartment,linear,published,0.9,121,0.9561275257603168,0.8347107438016529
compartment,linear,published_af3,0.1,107,0.17623266024388723,0.11214953271028037
compartment,linear,published_af3,0.2,771,0.25730054023367016,0.2788586251621271
compartment,linear,published_af3,0.3,1017,0.3493474142553716,0.3805309734513274
compartment,linear,published_af3,0.4,736,0.4454262940893724,0.48097826086956524
compartment,linear,published_af3,0.5,459,0.5457753841056051,0.5904139433551199
compartment,linear,published_af3,0.6,290,0.6459526505091409,0.6379310344827587
compartment,linear,published_af3,0.7,187,0.7485058920664562,0.7005347593582888
compartment,linear,published_af3,0.8,140,0.8443943277681634,0.75
compartment,linear,published_af3,0.9,120,0.9563149993743776,0.8333333333333334
compartment,linear,published_af3_esm,0.1,63,0.17527771577807774,0.19047619047619047
compartment,linear,published_af3_esm,0.2,541,0.2603251375018871,0.26247689463955637
compartment,linear,published_af3_esm,0.3,886,0.35145010314993197,0.40970654627539504
compartment,linear,published_af3_esm,0.4,756,0.44838090851279666,0.48677248677248675
compartment,linear,published_af3_esm,0.5,548,0.5494987648854815,0.5875912408759124
compartment,linear,published_af3_esm,0.6,396,0.6488315274215234,0.6641414141414141
compartment,linear,published_af3_esm,0.7,290,0.7467507398385019,0.7413793103448276
compartment,linear,published_af3_esm,0.8,186,0.8470829191099515,0.8118279569892473
compartment,linear,published_af3_esm,0.9,161,0.9528026204320396,0.8322981366459627
compartment,linear,shuffled_labels,0.0,685,0.09264714141081362,0.1386861313868613
compartment,linear,shuffled_labels,0.1,2925,0.1276836148425271,0.14222222222222222
compartment,linear,shuffled_labels,0.2,154,0.23232102338520497,0.06493506493506493
compartment,linear,shuffled_labels,0.3,38,0.34133521454284793,0.10526315789473684
compartment,linear,shuffled_labels,0.4,17,0.4375346612183873,0.0
compartment,linear,shuffled_labels,0.5,7,0.5360534091696904,0.0
compartment,linear,shuffled_labels,0.9,1,0.9968861272592244,0.0
compartment,multiview,published,0.0,87,0.09319595312864394,0.16091954022988506
compartment,multiview,published,0.1,3256,0.14832990886859013,0.3406019656019656
compartment,multiview,published,0.2,475,0.22928637377180167,0.5494736842105263
compartment,multiview,published,0.3,9,0.3545038020288808,0.8888888888888888
