organism,relation,pairs,median,p90,p99,max,share_at_or_above_threshold
Tg,different axis,57611,0.12296478943625037,0.4358203103064341,0.8011491153165303,0.9032728971782706,0.010154310808699727
Tg,same axis,15088,0.3538306244372502,0.7756212720533704,0.8848856507881259,0.9976244445693968,0.07621951219512195
Tg,same experiment,1771,0.8031673915715922,0.9629137817114688,0.9903824524187024,0.9987774818296916,0.5047995482778092
Tg,same family,38,0.07188558430503215,0.9774277939341187,0.9812319671208094,0.9812319671208094,0.13157894736842105
Tg,same quantity,616,0.4331360696808801,0.7490110296468866,0.9970374242650303,1.0,0.05844155844155844
Tg,same slot,323,0.7588116086944224,0.8746056775685378,0.905320718301679,0.9998156625379897,0.29102167182662536
Tg,undeclared,771,0.05267460664385625,0.2383440711835514,0.38591028911556063,0.6783532987831246,0.0
Pf,different axis,7495,0.0867426853054253,0.2691379699732203,0.5742230446959021,0.708690111982427,0.0
Pf,same axis,1139,0.16855655797717237,0.5408823552430448,0.7002058958653706,0.8386794423823309,0.001755926251097454
Pf,same experiment,435,0.4355686099367803,0.8362165619934155,0.9719424859315053,0.9998250983808222,0.12643678160919541
Pf,same family,6,0.36503015772077313,0.4349057956442385,0.45160583311539326,0.45346139283441045,0.0
Pf,same quantity,27,0.19407426336340336,0.805638230915023,0.9646438521371905,0.969790981548155,0.1111111111111111
Pf,same slot,34,0.16982332194137198,0.5056976879307626,0.647685317396541,0.6859308830669406,0.0
