transport,source,pointer,response,marker,mood,material,paint_ms,gpu_failed,frame_sha256
soft,mouse flashlight,broad flashlight,direct,none,neutral,flat,9.189,False,7a1dad4a24074df7d87f370945dc7ed9ed3ba47cd2f931fdb153c74263373383
soft,mouse flashlight,broad flashlight,direct,halo,gold,glossy 3D,12.841,False,34e81a0bab567722eefff0eee5fe89220859807c3e3d17a0db83acae1b37f742
soft,mouse flashlight,broad flashlight,direct,pulse,cool blue,metallic 3D,13.659,False,e9b2a801eead7ca2692524bde035dabf7c9c424bf3e1264fd3e778015d568eb7
soft,mouse flashlight,broad flashlight,smooth,none,violet,velvet 3D,13.714,False,1dbc8132c95431aa7707839fd2a8f04f9c7c515884649fc2c95c571ba58ea6b4
soft,mouse flashlight,broad flashlight,smooth,beacon,daylight,glass 3D,14.26,False,4baee8dea6f43714d35c0596708ab1e7482cdb76c77efaec218877c2aa1a141d
soft,mouse flashlight,broad flashlight,cinematic,none,neutral,flat,9.675,False,7a1dad4a24074df7d87f370945dc7ed9ed3ba47cd2f931fdb153c74263373383
soft,mouse flashlight,broad flashlight,cinematic,halo,gold,glossy 3D,13.072,False,34e81a0bab567722eefff0eee5fe89220859807c3e3d17a0db83acae1b37f742
soft,mouse flashlight,broad flashlight,cinematic,pulse,cool blue,metallic 3D,13.879,False,41f194e791249dc7873bf08b763865088b37e2e94fe4cd75f0ca95dd68201c78
soft,mouse flashlight,focused flashlight,direct,none,violet,velvet 3D,14.035,False,cbd2f8d3d2fc1cc9539ab466ba77fcb17e955e7e34cd11e31d2035fb7b9695f5
soft,mouse flashlight,focused flashlight,direct,beacon,daylight,glass 3D,14.369,False,711929321de1e8f11bc0511ef086b827d3e1f9d750c6055f673ae2b07533d9fd
soft,mouse flashlight,focused flashlight,smooth,none,neutral,flat,9.092,False,e9f12ba6cc63e1d9d525499d4bc658c3b90d63c9bf022d0ebabdeace94e291bc
soft,mouse flashlight,focused flashlight,smooth,halo,gold,glossy 3D,13.621,False,e9469be4a1f6099055a069847006e292c98d50f6650a10d384943188f8196b54
soft,mouse flashlight,focused flashlight,smooth,pulse,cool blue,metallic 3D,14.103,False,c32c4bf6d0a379627bc0140458396ae9844ab2c38fdfed5015665e5091545c85
soft,mouse flashlight,focused flashlight,cinematic,none,violet,velvet 3D,13.909,False,cbd2f8d3d2fc1cc9539ab466ba77fcb17e955e7e34cd11e31d2035fb7b9695f5
soft,mouse flashlight,focused flashlight,cinematic,beacon,daylight,glass 3D,14.007,False,711929321de1e8f11bc0511ef086b827d3e1f9d750c6055f673ae2b07533d9fd
soft,mouse flashlight,soft flashlight,direct,none,neutral,flat,8.823,False,2e0a64943b41f7f799ff4dfed1dbcc5880274b48670cd38455b596c83cdbb327
soft,mouse flashlight,soft flashlight,direct,halo,gold,glossy 3D,13.651,False,cef04e0def0f391fc5bf68a9f78b1d71eef59e5c289346e17bb494ab77e1c0db
soft,mouse flashlight,soft flashlight,direct,pulse,cool blue,metallic 3D,13.986,False,2fede0833b970a8edc542e61c61e43c4979e2391e152d8bd17bdb566b3f5be84
soft,mouse flashlight,soft flashlight,smooth,none,violet,velvet 3D,13.945,False,9a1b7c365987a91b5e949152b8ed273fa20d41b399066a663db96b204c1d3156
soft,mouse flashlight,soft flashlight,smooth,beacon,daylight,glass 3D,15.123,False,430573cf6dd728983ce2cc629d0d1fabf032dd8f78018b3dc243de52c95f0ff3
soft,mouse flashlight,soft flashlight,cinematic,none,neutral,flat,9.634,False,2e0a64943b41f7f799ff4dfed1dbcc5880274b48670cd38455b596c83cdbb327
soft,mouse flashlight,soft flashlight,cinematic,halo,gold,glossy 3D,13.63,False,cef04e0def0f391fc5bf68a9f78b1d71eef59e5c289346e17bb494ab77e1c0db
soft,mouse flashlight,soft flashlight,cinematic,pulse,cool blue,metallic 3D,15.906,False,bdb12b1ba0a3d6e881637c60e8df793e3356e6b537a8d0a411b8f5e881884d95
soft,mouse flashlight,parallel wash,direct,none,violet,velvet 3D,14.098,False,70299baff2502bfb74a970258ae0a94d59de38c875c30b7b8eb6d755f49de788
soft,mouse flashlight,parallel wash,direct,beacon,daylight,glass 3D,14.45,False,27de1242ad00292b325be860cd20f21501410849f5aa2f7458fb132e20651711
soft,mouse flashlight,parallel wash,smooth,none,neutral,flat,8.841,False,aafd0152bfefa3bdf58932dc693b0e511b2c1d3a8d65f9879e88113d885fe503
soft,mouse flashlight,parallel wash,smooth,halo,gold,glossy 3D,13.263,False,704c09d4044dafba5c39a3a943b4e4cc4ca7391dbf6ba90e9a52a1c8c25c1ea2
soft,mouse flashlight,parallel wash,smooth,pulse,cool blue,metallic 3D,13.671,False,1cf22b92f07e74c46e0bfe27fa04684e7d5190047a85fffb98424903cee7f9ae
soft,mouse flashlight,parallel wash,cinematic,none,violet,velvet 3D,13.941,False,70299baff2502bfb74a970258ae0a94d59de38c875c30b7b8eb6d755f49de788
soft,mouse flashlight,parallel wash,cinematic,beacon,daylight,glass 3D,13.279,False,27de1242ad00292b325be860cd20f21501410849f5aa2f7458fb132e20651711
ray traced,mouse flashlight,broad flashlight,direct,none,neutral,flat,17.243,False,0f6efcb4dcb03e64a276420e7dc1bf4884a4f034c9c6c347f17d3f00d34a52b1
ray traced,mouse flashlight,broad flashlight,direct,halo,gold,glossy 3D,15.295,False,996d57f7705205f694400d06ccbde83bce8c8da83afd0e855c00fb7330c3e304
ray traced,mouse flashlight,broad flashlight,direct,pulse,cool blue,metallic 3D,15.514,False,ede1f061b1b210536c359538839f0b1b648b97c8280080beda0751d48caea518
ray traced,mouse flashlight,broad flashlight,smooth,none,violet,velvet 3D,15.465,False,1d00a08535b9807999806404a50b07fa9ba696031229c26816d3c0e071a2b5f9
ray traced,mouse flashlight,broad flashlight,smooth,beacon,daylight,glass 3D,17.475,False,0d86d1cc62f2c1df93d3e9019365965fa6acde9cab3acbfbc10e0bf7a39c2c18
ray traced,mouse flashlight,broad flashlight,cinematic,none,neutral,flat,16.969,False,0f6efcb4dcb03e64a276420e7dc1bf4884a4f034c9c6c347f17d3f00d34a52b1
ray traced,mouse flashlight,broad flashlight,cinematic,halo,gold,glossy 3D,14.834,False,996d57f7705205f694400d06ccbde83bce8c8da83afd0e855c00fb7330c3e304
ray traced,mouse flashlight,broad flashlight,cinematic,pulse,cool blue,metallic 3D,15.164,False,b6f2001ecb424538351cc54bc569ef991c57e932efdb83fad9de6fc4620e7643
ray traced,mouse flashlight,focused flashlight,direct,none,violet,velvet 3D,15.527,False,947d3f78bb5139bd15949d604133fe830c23866b97f0c1e99a79c5661b59ebad
ray traced,mouse flashlight,focused flashlight,direct,beacon,daylight,glass 3D,15.755,False,68bee12433981b5f077c6259f3b4c0cad2c2906ccfa8b8a08e452b77e23e3345
ray traced,mouse flashlight,focused flashlight,smooth,none,neutral,flat,16.617,False,0bf626a93e13a47d76ef845f6deaf2cf2c5a9b0d13f3a827ab2abb3787d905a1
ray traced,mouse flashlight,focused flashlight,smooth,halo,gold,glossy 3D,14.92,False,de939dc7c1b5d44601189159b787a35972f9550f60126d86053e2b9ea8edbc54
ray traced,mouse flashlight,focused flashlight,smooth,pulse,cool blue,metallic 3D,15.963,False,d7af32a1d7fdd33fe423ea233c0bf8d70c1ac484fd23bed539fed54adc8e2118
ray traced,mouse flashlight,focused flashlight,cinematic,none,violet,velvet 3D,15.656,False,947d3f78bb5139bd15949d604133fe830c23866b97f0c1e99a79c5661b59ebad
ray traced,mouse flashlight,focused flashlight,cinematic,beacon,daylight,glass 3D,15.879,False,68bee12433981b5f077c6259f3b4c0cad2c2906ccfa8b8a08e452b77e23e3345
ray traced,mouse flashlight,soft flashlight,direct,none,neutral,flat,16.741,False,2d301948e2a93ae798150c1db8db55fcaab6815fb3b996088403ecbd4ac2088e
ray traced,mouse flashlight,soft flashlight,direct,halo,gold,glossy 3D,15.228,False,2b9c347d12d60783c33dda4eacf85c8224e000bf7d34989b66b2a0e0994536e3
ray traced,mouse flashlight,soft flashlight,direct,pulse,cool blue,metallic 3D,15.424,False,b602fa27fe0208ba8e2996b1636a528ecfab3a0316e874c28f6b1120174c9abf
ray traced,mouse flashlight,soft flashlight,smooth,none,violet,velvet 3D,15.339,False,031bf85d31be6ee7be7becba1a9c690d27c5253521be4c1caa6138ad54895b02
ray traced,mouse flashlight,soft flashlight,smooth,beacon,daylight,glass 3D,15.434,False,8c1dbba4edd88a656aa36d093142bcc1108dcec7442330c6681d54b8b6ec839d
ray traced,mouse flashlight,soft flashlight,cinematic,none,neutral,flat,17.027,False,2d301948e2a93ae798150c1db8db55fcaab6815fb3b996088403ecbd4ac2088e
ray traced,mouse flashlight,soft flashlight,cinematic,halo,gold,glossy 3D,15.193,False,2b9c347d12d60783c33dda4eacf85c8224e000bf7d34989b66b2a0e0994536e3
ray traced,mouse flashlight,soft flashlight,cinematic,pulse,cool blue,metallic 3D,15.511,False,bcafa5e79fc761b8d155e376236d00d1ec125e0751a5dbf68765348497e6e66c
ray traced,mouse flashlight,parallel wash,direct,none,violet,velvet 3D,15.777,False,549a230618f8b0072ccad143e2f64a88b5944626f902973242c2b8e38f397ddf
ray traced,mouse flashlight,parallel wash,direct,beacon,daylight,glass 3D,15.521,False,2aa431b4dc590202f4c0afe21d0982c97c0ff1b11ed12531e114b6511f01cbf4
ray traced,mouse flashlight,parallel wash,smooth,none,neutral,flat,16.635,False,5d7ea7da6bb373a5620c7e909baff6ede6aa933a1b406adbbf166e3e4485a82a
ray traced,mouse flashlight,parallel wash,smooth,halo,gold,glossy 3D,14.877,False,623fd0d522b8ca557dbf1bca693ad6800f960381d33ef93171ec4d472ac8e4c5
ray traced,mouse flashlight,parallel wash,smooth,pulse,cool blue,metallic 3D,15.545,False,c19e5750a9fb5cd357108b0757b63dfb08e1a4f6e807f53b9d5d51e047fcddb1
ray traced,mouse flashlight,parallel wash,cinematic,none,violet,velvet 3D,15.583,False,549a230618f8b0072ccad143e2f64a88b5944626f902973242c2b8e38f397ddf
ray traced,mouse flashlight,parallel wash,cinematic,beacon,daylight,glass 3D,15.808,False,2aa431b4dc590202f4c0afe21d0982c97c0ff1b11ed12531e114b6511f01cbf4
deep ray traced,mouse flashlight,broad flashlight,direct,none,neutral,flat,16.575,False,5b1086d0a09fbe0aaec01fdea484f518ec3a1d125de425d0c29116de4deb0b82
deep ray traced,mouse flashlight,broad flashlight,direct,halo,gold,glossy 3D,15.518,False,31a4a7b09ba651e3a3cac5bed6005caeb1e94a02b1efbc9bf31731934b897965
