dimension,value,frame,mean_abs_rgb_from_first,pixel_share_over_5,paint_ms,gpu_failed
transport,soft,transport__soft.png,0.0,0.0,15.564,False
transport,ray traced,transport__ray_traced.png,0.4953,0.036371,17.452,False
transport,deep ray traced,transport__deep_ray_traced.png,0.7793,0.050263,17.692,False
source,mouse flashlight,source__mouse_flashlight.png,0.0,0.0,15.262,False
source,selected gene,source__selected_gene.png,2.0597,0.098255,15.043,False
source,selected gene and its edges,source__selected_gene_and_its_edges.png,4.9196,0.120384,20.697,False
source,wandering light,source__wandering_light.png,2.0004,0.086051,19.116,False
source,bouncing light,source__bouncing_light.png,2.1184,0.090548,17.44,False
pointer,broad flashlight,pointer__broad_flashlight.png,0.0,0.0,15.559,False
pointer,focused flashlight,pointer__focused_flashlight.png,1.7008,0.084411,15.821,False
pointer,soft flashlight,pointer__soft_flashlight.png,0.493,0.053136,15.529,False
pointer,parallel wash,pointer__parallel_wash.png,0.9816,0.070099,15.422,False
response,direct,response__direct.png,0.0,0.0,13.491,False
response,smooth,response__smooth.png,1.3688,0.073901,13.753,False
response,cinematic,response__cinematic.png,2.0941,0.08964,13.683,False
marker,none,marker__none.png,0.0,0.0,15.516,False
marker,halo,marker__halo.png,0.0132,0.00022,18.618,False
marker,beacon,marker__beacon.png,0.0249,0.000199,16.01,False
marker,pulse,marker__pulse.png,0.059,0.00054,15.778,False
mood,neutral,mood__neutral.png,0.0,0.0,16.151,False
mood,cool blue,mood__cool_blue.png,0.8501,0.100605,15.437,False
mood,warm,mood__warm.png,1.3848,0.102669,15.567,False
mood,daylight,mood__daylight.png,0.3836,0.059249,15.94,False
mood,moonlight,mood__moonlight.png,1.8605,0.102858,15.711,False
mood,gold,mood__gold.png,1.441,0.103006,15.439,False
mood,rose,mood__rose.png,1.2945,0.10244,15.953,False
mood,violet,mood__violet.png,1.3485,0.102574,17.018,False
mood,laboratory green,mood__laboratory_green.png,1.3012,0.102582,16.526,False
material,flat,material__flat.png,0.0,0.0,17.161,False
material,velvet 3D,material__velvet_3D.png,5.2397,0.104756,15.316,False
material,glossy 3D,material__glossy_3D.png,2.8214,0.095416,15.86,False
material,glass 3D,material__glass_3D.png,3.2661,0.095342,16.327,False
material,metallic 3D,material__metallic_3D.png,4.0595,0.105548,15.799,False
