target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,38,3,0.488,0.4835386100778123,0.7329047340736411,unassigned,12,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,60,42,3000,24,5,0.2786666666666667,0.47531629957849675,0.7165510406342914,unassigned,13,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,24,3,0.49966666666666665,0.4617272277467485,0.7178329571106093,unassigned,12,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,24,4,0.22866666666666666,0.45963147286351996,0.6978146194423512,unassigned,14,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,24,5,0.20366666666666666,0.4552026667436762,0.7135278514588859,unassigned,15,1
compartment,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,24,4,0.413,0.4528339363553422,0.6981008513425017,unassigned,12,1
compartment,expression_summary+fitness_screens,median,rank,15,0.0,60,42,3000,12,4,0.365,0.4493818370489905,0.6796973518284994,unassigned,13,1
compartment,expression_summary+interactions,median,rank,50,0.25,60,42,3000,8,2,0.0,0.4443267153278401,0.7126899016979447,unassigned,18,1
compartment,expression_raw+interactions,median,rank,15,0.25,60,42,3000,22,2,0.0,0.44272012144494355,0.7107843137254903,unassigned,18,1
compartment,expression_raw+interactions,median,rank,50,0.25,25,42,3000,22,2,0.0,0.44264495265380377,0.710625974604589,unassigned,18,1
compartment,expression_raw+interactions,median,rank,50,0.25,60,42,3000,22,2,0.0,0.44264495265380377,0.710625974604589,unassigned,18,1
compartment,expression_summary+interactions,median,rank,50,0.25,25,42,3000,8,3,0.0003333333333333333,0.43819896290157895,0.6992323796231682,unassigned,18,1
compartment,expression_summary+interactions,median,rank,15,0.25,60,42,3000,8,3,0.0,0.43776504431442903,0.6987895716945997,unassigned,18,1
compartment,expression_summary+interactions,median,rank,15,0.25,25,42,3000,8,3,0.0,0.43776504431442903,0.6987895716945997,unassigned,18,1
compartment,fitness_screens+interactions,median,rank,50,0.25,60,42,3000,12,4,0.11466666666666667,0.43687075661524566,0.6749516708091688,unassigned,15,1
compartment,expression_summary+fitness_screens+interactions,median,rank,15,0.0,25,42,3000,16,4,0.008333333333333333,0.43557289702257324,0.6919130222330807,unassigned,17,1
compartment,expression_summary+fitness_screens+interactions,median,rank,15,0.25,60,42,3000,16,4,0.13333333333333333,0.43446733549800814,0.6897321428571428,unassigned,16,1
compartment,expression_raw+fitness_screens,median,rank,50,0.25,60,42,3000,26,2,0.3863333333333333,0.4326964487886234,0.6588921282798833,unassigned,12,1
compartment,expression_raw+fitness_screens,median,rank,15,0.25,60,42,3000,26,2,0.41733333333333333,0.43262196696744293,0.6579654510556622,unassigned,11,1
