label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
S,3,96,87,0.30742049469964666,0.90625,0.4591029023746703,expression_summary,median,rank,15,0.0,25,cellcycle_phase
C,3,88,74,0.26148409893992935,0.8409090909090909,0.3989218328840971,expression_summary,median,rank,15,0.0,25,cellcycle_phase
M,3,82,75,0.26501766784452296,0.9146341463414634,0.4109589041095891,expression_summary,median,rank,15,0.0,25,cellcycle_phase
G1b,3,32,29,0.10247349823321555,0.90625,0.18412698412698414,expression_summary,median,rank,15,0.0,25,cellcycle_phase
G1a,3,18,18,0.0636042402826855,1.0,0.11960132890365448,expression_summary,median,rank,15,0.0,25,cellcycle_phase
S,1,95,87,0.30851063829787234,0.9157894736842105,0.4615384615384615,expression_summary,median,rank,15,0.0,60,cellcycle_phase
C,1,88,74,0.2624113475177305,0.8409090909090909,0.4,expression_summary,median,rank,15,0.0,60,cellcycle_phase
M,1,80,74,0.2624113475177305,0.925,0.4088397790055248,expression_summary,median,rank,15,0.0,60,cellcycle_phase
G1b,1,32,29,0.10283687943262411,0.90625,0.1847133757961783,expression_summary,median,rank,15,0.0,60,cellcycle_phase
G1a,1,18,18,0.06382978723404255,1.0,0.12,expression_summary,median,rank,15,0.0,60,cellcycle_phase
S,0,96,95,0.30254777070063693,0.9895833333333334,0.4634146341463415,expression_summary,median,rank,15,0.25,25,cellcycle_phase
C,0,88,88,0.2802547770700637,1.0,0.43781094527363185,expression_summary,median,rank,15,0.25,25,cellcycle_phase
M,0,82,81,0.25796178343949044,0.9878048780487805,0.4090909090909091,expression_summary,median,rank,15,0.25,25,cellcycle_phase
G1b,0,32,32,0.10191082802547771,1.0,0.18497109826589597,expression_summary,median,rank,15,0.25,25,cellcycle_phase
G1a,0,18,18,0.05732484076433121,1.0,0.10843373493975904,expression_summary,median,rank,15,0.25,25,cellcycle_phase
S,0,83,81,0.30916030534351147,0.9759036144578314,0.4695652173913044,expression_summary,median,rank,15,0.25,60,cellcycle_phase
C,0,72,68,0.2595419847328244,0.9444444444444444,0.40718562874251496,expression_summary,median,rank,15,0.25,60,cellcycle_phase
M,0,69,69,0.2633587786259542,1.0,0.4169184290030212,expression_summary,median,rank,15,0.25,60,cellcycle_phase
G1b,0,28,28,0.10687022900763359,1.0,0.19310344827586207,expression_summary,median,rank,15,0.25,60,cellcycle_phase
G1a,0,16,16,0.061068702290076333,1.0,0.11510791366906473,expression_summary,median,rank,15,0.25,60,cellcycle_phase
S,0,96,95,0.30254777070063693,0.9895833333333334,0.4634146341463415,expression_summary,median,rank,50,0.0,25,cellcycle_phase
C,0,88,88,0.2802547770700637,1.0,0.43781094527363185,expression_summary,median,rank,50,0.0,25,cellcycle_phase
M,0,82,81,0.25796178343949044,0.9878048780487805,0.4090909090909091,expression_summary,median,rank,50,0.0,25,cellcycle_phase
G1b,0,32,32,0.10191082802547771,1.0,0.18497109826589597,expression_summary,median,rank,50,0.0,25,cellcycle_phase
G1a,0,18,18,0.05732484076433121,1.0,0.10843373493975904,expression_summary,median,rank,50,0.0,25,cellcycle_phase
S,0,93,91,0.3063973063973064,0.978494623655914,0.4666666666666667,expression_summary,median,rank,50,0.0,60,cellcycle_phase
C,0,88,82,0.2760942760942761,0.9318181818181818,0.425974025974026,expression_summary,median,rank,50,0.0,60,cellcycle_phase
M,0,79,77,0.25925925925925924,0.9746835443037974,0.4095744680851064,expression_summary,median,rank,50,0.0,60,cellcycle_phase
G1b,0,31,30,0.10101010101010101,0.967741935483871,0.18292682926829268,expression_summary,median,rank,50,0.0,60,cellcycle_phase
G1a,0,17,17,0.05723905723905724,1.0,0.10828025477707007,expression_summary,median,rank,50,0.0,60,cellcycle_phase
S,0,96,95,0.30254777070063693,0.9895833333333334,0.4634146341463415,expression_summary,median,rank,50,0.25,25,cellcycle_phase
C,0,88,88,0.2802547770700637,1.0,0.43781094527363185,expression_summary,median,rank,50,0.25,25,cellcycle_phase
M,0,82,81,0.25796178343949044,0.9878048780487805,0.4090909090909091,expression_summary,median,rank,50,0.25,25,cellcycle_phase
G1b,0,32,32,0.10191082802547771,1.0,0.18497109826589597,expression_summary,median,rank,50,0.25,25,cellcycle_phase
G1a,0,18,18,0.05732484076433121,1.0,0.10843373493975904,expression_summary,median,rank,50,0.25,25,cellcycle_phase
S,1,85,83,0.3018181818181818,0.9764705882352941,0.4611111111111111,expression_summary,median,rank,50,0.25,60,cellcycle_phase
C,1,80,74,0.2690909090909091,0.925,0.4169014084507043,expression_summary,median,rank,50,0.25,60,cellcycle_phase
M,1,74,74,0.2690909090909091,1.0,0.4240687679083095,expression_summary,median,rank,50,0.25,60,cellcycle_phase
G1b,1,31,30,0.10909090909090909,0.967741935483871,0.19607843137254902,expression_summary,median,rank,50,0.25,60,cellcycle_phase
S,0,96,94,0.3122923588039867,0.9791666666666666,0.473551637279597,expression_raw,median,rank,15,0.0,25,cellcycle_phase
C,0,88,82,0.2724252491694352,0.9318181818181818,0.4215938303341902,expression_raw,median,rank,15,0.0,25,cellcycle_phase
M,0,82,76,0.25249169435215946,0.926829268292683,0.3968668407310705,expression_raw,median,rank,15,0.0,25,cellcycle_phase
G1b,0,32,32,0.10631229235880399,1.0,0.1921921921921922,expression_raw,median,rank,15,0.0,25,cellcycle_phase
G1a,0,18,17,0.05647840531561462,0.9444444444444444,0.10658307210031348,expression_raw,median,rank,15,0.0,25,cellcycle_phase
S,0,96,94,0.3092105263157895,0.9791666666666666,0.47000000000000003,expression_raw,median,rank,15,0.0,60,cellcycle_phase
C,0,88,85,0.27960526315789475,0.9659090909090909,0.4336734693877551,expression_raw,median,rank,15,0.0,60,cellcycle_phase
M,0,82,76,0.25,0.926829268292683,0.3937823834196892,expression_raw,median,rank,15,0.0,60,cellcycle_phase
G1b,0,32,32,0.10526315789473684,1.0,0.1904761904761905,expression_raw,median,rank,15,0.0,60,cellcycle_phase
G1a,0,18,17,0.05592105263157895,0.9444444444444444,0.10559006211180125,expression_raw,median,rank,15,0.0,60,cellcycle_phase
S,1,95,93,0.3152542372881356,0.9789473684210527,0.476923076923077,expression_raw,median,rank,15,0.25,25,cellcycle_phase
C,1,83,78,0.26440677966101694,0.9397590361445783,0.4126984126984127,expression_raw,median,rank,15,0.25,25,cellcycle_phase
M,1,80,75,0.2542372881355932,0.9375,0.39999999999999997,expression_raw,median,rank,15,0.25,25,cellcycle_phase
G1b,1,32,32,0.10847457627118644,1.0,0.19571865443425074,expression_raw,median,rank,15,0.25,25,cellcycle_phase
