target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,25,42,3000,30,12,0.5376666666666666,1,attention_depth,0.33877435933287137,0.3953823953823954,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.0,60,42,3000,30,7,0.30666666666666664,1,attention_depth,0.3234925366072907,0.3928571428571429,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,50,0.0,60,42,3000,30,8,0.4266666666666667,1,attention_depth,0.32107318173766447,0.38039673278879815,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.25,25,42,3000,24,7,0.15933333333333333,1,attention_depth,0.3181097025907714,0.385896180215475,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.25,60,42,3000,24,4,0.2786666666666667,1,attention_depth,0.31194306747075395,0.3835920177383592,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.25,60,42,3000,16,6,0.18233333333333332,1,attention_depth,0.31156607001479736,0.38079470198675497,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,50,0.25,60,42,3000,24,4,0.33266666666666667,1,attention_depth,0.30943376159883756,0.37565827969572846,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,15,0.0,60,42,3000,20,5,0.035,1,attention_depth,0.30893124648216536,0.3737646001796945,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.0,60,42,3000,24,5,0.03233333333333333,1,attention_depth,0.3056445747274362,0.37652582159624415,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.0,25,42,3000,24,9,0.017666666666666667,1,attention_depth,0.30526958210302085,0.37546816479400746,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,50,0.0,60,42,3000,12,5,0.042333333333333334,1,attention_depth,0.30480233749685776,0.3723869713174527,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.0,25,42,3000,12,9,0.009666666666666667,1,attention_depth,0.30444774464024066,0.3718255869669381,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.25,60,42,3000,12,5,0.10533333333333333,1,attention_depth,0.3043637881882217,0.37132542547705005,incidental,3,0
attention_depth,published_screens+interactions,median,rank,15,0.0,60,42,3000,16,6,0.030666666666666665,1,attention_depth,0.30414179092520127,0.3701550387596899,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.0,60,42,3000,16,6,0.0,1,attention_depth,0.3039160434191274,0.37121212121212127,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.0,25,42,3000,16,6,0.0,1,attention_depth,0.3039160434191274,0.37121212121212127,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.25,25,42,3000,16,11,0.13333333333333333,1,attention_depth,0.30300125444944526,0.37422037422037413,incidental,3,0
attention_depth,expression_raw+protein_features,median,rank,15,0.25,25,42,3000,31,13,0.13666666666666666,1,attention_depth,0.3027700602317476,0.37106918238993714,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.0,60,42,3000,12,5,0.002,1,attention_depth,0.30157524829352805,0.3677839851024209,incidental,3,0
