target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_raw+fitness_screens,median,rank,50,0.25,25,42,3000,26,10,0.6273333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.22845871202130005,0.3481781376518218,cytosol,10,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.25,25,42,3000,30,12,0.5376666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.2159682792578762,0.3805825242718447,cytosol,11,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.0,60,42,3000,30,8,0.4266666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.21112889995493297,0.3485342019543974,cytosol,12,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.0,25,42,3000,39,15,0.3506666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.21077946162260414,0.30666666666666664,ER,12,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,50,0.0,25,42,3000,30,20,0.43833333333333335,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.2063149612278946,0.29729729729729737,cytosol,12,0
compartment,expression_raw+fitness_screens,median,rank,50,0.0,25,42,3000,26,19,0.41,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.19626524105644033,0.3168316831683168,cytosol,12,0
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.25,25,42,3000,35,9,0.13766666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.19625328713705123,0.31451612903225806,ER,15,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,15,0.0,25,42,3000,30,21,0.38066666666666665,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.19258572517439312,0.3140096618357488,cytosol,12,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.0,60,42,3000,35,8,0.08,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.19039567317975145,0.3053435114503817,ER,13,0
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,16,7,0.44133333333333336,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18972052069339707,0.2794759825327511,cytosol,11,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.0,25,42,3000,35,11,0.042666666666666665,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18940172902753907,0.3082706766917293,ER,17,0
compartment,expression_summary+fitness_screens+protein_features,median,rank,15,0.25,25,42,3000,25,10,0.3313333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18644018254785139,0.26959247648902823,cytosol,12,0
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.25,25,42,3000,34,19,0.49066666666666664,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18303364115991008,0.2962962962962963,dense granules,13,0
compartment,expression_summary+published_screens,median,rank,50,0.25,25,42,3000,16,15,0.454,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18297999438455034,0.27188081936685293,nucleus - chromatin,11,0
compartment,expression_raw+fitness_screens,median,rank,50,0.0,60,42,3000,26,8,0.45266666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1829194545868001,0.2787878787878788,cytosol,11,0
compartment,expression_raw+protein_features+interactions,median,rank,50,0.0,25,42,3000,35,20,0.147,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1826644066482562,0.2650602409638554,nucleus - chromatin,15,0
compartment,fitness_screens+published_screens+interactions,median,rank,50,0.25,25,42,3000,24,13,0.4093333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18236344546822666,0.28125,nucleus - chromatin,11,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,25,42,3000,39,10,0.303,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18173163979761714,0.26722338204592905,cytosol,12,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,25,42,3000,38,14,0.312,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18165045717867295,0.2553191489361702,dense granules,12,0
compartment,expression_summary+fitness_screens+protein_features,median,rank,15,0.25,60,42,3000,25,4,0.294,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18162246537837198,0.26933333333333337,cytosol,11,0
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.25,25,42,3000,25,8,0.2856666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18158691585343653,0.26565874730021594,cytosol,12,0
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.0,25,42,3000,35,15,0.059333333333333335,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1808275565972131,0.3043478260869565,ER,17,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.25,25,42,3000,35,10,0.19133333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18080456477760665,0.2757916241062308,cytosol,14,0
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.0,25,42,3000,34,21,0.324,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.18000513831942827,0.27027027027027023,dense granules,13,0
compartment,expression_summary+expression_raw+published_screens,median,rank,15,0.25,25,42,3000,34,14,0.36533333333333334,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17974356328920674,0.26385224274406327,cytosol,13,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,38,5,0.556,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17966040714937792,0.2578796561604585,nucleus - chromatin,11,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,25,42,3000,38,10,0.45166666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17919274686695155,0.28125,dense granules,11,0
compartment,expression_summary+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,25,3,0.356,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17905570316211386,0.29171817058096416,cytosol,11,0
compartment,expression_raw+fitness_screens,median,rank,15,0.0,25,42,3000,26,25,0.4063333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17460658878869073,0.27301587301587305,cytosol,13,0
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.0,60,42,3000,35,6,0.04066666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17419776233654302,0.3010752688172043,ER,17,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,25,42,3000,39,6,0.16466666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17371390349341964,0.26894343649946634,cytosol,14,0
compartment,expression_summary+published_screens,median,rank,50,0.25,60,42,3000,16,6,0.537,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17300589715084966,0.25363825363825365,nucleus - chromatin,11,0
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.25,25,42,3000,16,8,0.33466666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17287226287027824,0.2545454545454546,cytosol,12,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,60,42,3000,38,3,0.488,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17173277944365808,0.2393509127789047,cytosol,11,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,25,42,3000,38,15,0.24133333333333334,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17160073880456972,0.2616822429906542,dense granules,16,0
compartment,expression_summary+expression_raw+published_screens,median,rank,15,0.0,25,42,3000,34,16,0.16533333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17102383302965457,0.25119846596356665,cytosol,15,0
compartment,expression_raw+protein_features,median,rank,15,0.0,60,42,3000,31,6,0.0036666666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.17069451756802279,0.2906574394463668,ER,17,0
compartment,expression_summary+fitness_screens,median,rank,50,0.0,25,42,3000,12,15,0.397,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1704889640325818,0.2336328626444159,nucleus - chromatin,12,0
compartment,fitness_screens+protein_features+interactions,median,rank,15,0.0,25,42,3000,25,19,0.15533333333333332,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1694118894771746,0.25490196078431376,cytosol,15,0
