label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
incidental,3,647,585,0.2213393870601589,0.9041731066460588,0.35562310030395133,expression_summary,median,rank,15,0.0,25,attention_depth
substantive,4,166,18,0.20224719101123595,0.10843373493975904,0.1411764705882353,expression_summary,median,rank,15,0.0,25,attention_depth
focal,4,105,7,0.07865168539325842,0.06666666666666667,0.07216494845360824,expression_summary,median,rank,15,0.0,25,attention_depth
incidental,1,633,577,0.22347017815646786,0.9115323854660348,0.3589424572317263,expression_summary,median,rank,15,0.0,60,attention_depth
substantive,2,164,18,0.20224719101123595,0.10975609756097561,0.1422924901185771,expression_summary,median,rank,15,0.0,60,attention_depth
focal,2,105,7,0.07865168539325842,0.06666666666666667,0.07216494845360824,expression_summary,median,rank,15,0.0,60,attention_depth
incidental,0,647,644,0.21764109496451503,0.9953632148377125,0.3571824736550194,expression_summary,median,rank,15,0.25,25,attention_depth
substantive,0,166,166,0.05610003379520108,1.0,0.10623999999999999,expression_summary,median,rank,15,0.25,25,attention_depth
focal,0,105,105,0.03548496113551876,1.0,0.0685378590078329,expression_summary,median,rank,15,0.25,25,attention_depth
incidental,0,520,502,0.22440768886902102,0.9653846153846154,0.36416394631846205,expression_summary,median,rank,15,0.25,60,attention_depth
substantive,0,136,131,0.05856057219490389,0.9632352941176471,0.1104087652760219,expression_summary,median,rank,15,0.25,60,attention_depth
focal,0,80,79,0.03531515422440769,0.9875,0.06819162710401382,expression_summary,median,rank,15,0.25,60,attention_depth
incidental,0,647,644,0.21764109496451503,0.9953632148377125,0.3571824736550194,expression_summary,median,rank,50,0.0,25,attention_depth
substantive,0,166,166,0.05610003379520108,1.0,0.10623999999999999,expression_summary,median,rank,50,0.0,25,attention_depth
focal,0,105,105,0.03548496113551876,1.0,0.0685378590078329,expression_summary,median,rank,50,0.0,25,attention_depth
incidental,0,625,594,0.2263719512195122,0.9504,0.3656509695290859,expression_summary,median,rank,50,0.0,60,attention_depth
substantive,0,165,160,0.06097560975609756,0.9696969696969697,0.11473646468268195,expression_summary,median,rank,50,0.0,60,attention_depth
focal,0,104,102,0.038871951219512195,0.9807692307692307,0.0747800586510264,expression_summary,median,rank,50,0.0,60,attention_depth
incidental,0,647,644,0.21749408983451538,0.9953632148377125,0.3569844789356984,expression_summary,median,rank,50,0.25,25,attention_depth
substantive,0,166,166,0.05606214116852415,1.0,0.10617204988807162,expression_summary,median,rank,50,0.25,25,attention_depth
focal,0,105,105,0.03546099290780142,1.0,0.06849315068493152,expression_summary,median,rank,50,0.25,25,attention_depth
incidental,1,558,534,0.22752449936088623,0.956989247311828,0.36764199655765917,expression_summary,median,rank,50,0.25,60,attention_depth
substantive,1,145,140,0.05965061780997018,0.9655172413793104,0.11235955056179775,expression_summary,median,rank,50,0.25,60,attention_depth
focal,1,89,87,0.03706859821048147,0.9775280898876404,0.07142857142857142,expression_summary,median,rank,50,0.25,60,attention_depth
incidental,0,647,611,0.22010086455331412,0.9443585780525502,0.3569967864446392,expression_raw,median,rank,15,0.0,25,attention_depth
substantive,0,166,161,0.057997118155619594,0.9698795180722891,0.10944935418082935,expression_raw,median,rank,15,0.0,25,attention_depth
focal,0,105,102,0.03674351585014409,0.9714285714285714,0.07080874696286013,expression_raw,median,rank,15,0.0,25,attention_depth
incidental,0,647,622,0.22009907997169142,0.9613601236476044,0.35819176504462996,expression_raw,median,rank,15,0.0,60,attention_depth
substantive,0,166,161,0.05697098372257608,0.9698795180722891,0.10762032085561496,expression_raw,median,rank,15,0.0,60,attention_depth
focal,0,105,103,0.03644727530077849,0.9809523809523809,0.07028317980211533,expression_raw,median,rank,15,0.0,60,attention_depth
incidental,1,624,596,0.21887623944179213,0.9551282051282052,0.356139826710487,expression_raw,median,rank,15,0.25,25,attention_depth
substantive,1,161,157,0.05765699596033786,0.9751552795031055,0.108876560332871,expression_raw,median,rank,15,0.25,25,attention_depth
focal,1,103,101,0.037091443261109074,0.9805825242718447,0.07147912243453645,expression_raw,median,rank,15,0.25,25,attention_depth
incidental,0,605,585,0.2214231642694928,0.9669421487603306,0.36033261472128114,expression_raw,median,rank,15,0.25,60,attention_depth
substantive,0,159,154,0.0582891748675246,0.9685534591194969,0.1099607283113174,expression_raw,median,rank,15,0.25,60,attention_depth
focal,0,102,100,0.03785011355034065,0.9803921568627451,0.0728862973760933,expression_raw,median,rank,15,0.25,60,attention_depth
incidental,0,641,622,0.22009907997169142,0.9703588143525741,0.3588116527256994,expression_raw,median,rank,50,0.0,25,attention_depth
substantive,0,166,161,0.05697098372257608,0.9698795180722891,0.10762032085561496,expression_raw,median,rank,50,0.0,25,attention_depth
focal,0,105,103,0.03644727530077849,0.9809523809523809,0.07028317980211533,expression_raw,median,rank,50,0.0,25,attention_depth
incidental,0,647,622,0.22009907997169142,0.9613601236476044,0.35819176504462996,expression_raw,median,rank,50,0.0,60,attention_depth
substantive,0,166,161,0.05697098372257608,0.9698795180722891,0.10762032085561496,expression_raw,median,rank,50,0.0,60,attention_depth
focal,0,105,103,0.03644727530077849,0.9809523809523809,0.07028317980211533,expression_raw,median,rank,50,0.0,60,attention_depth
incidental,0,628,612,0.21888412017167383,0.9745222929936306,0.3574766355140187,expression_raw,median,rank,50,0.25,25,attention_depth
substantive,0,164,160,0.05722460658082976,0.975609756097561,0.10810810810810811,expression_raw,median,rank,50,0.25,25,attention_depth
focal,0,104,103,0.03683834048640915,0.9903846153846154,0.07103448275862068,expression_raw,median,rank,50,0.25,25,attention_depth
incidental,0,593,574,0.2195868400918133,0.9679595278246206,0.3579669473027751,expression_raw,median,rank,50,0.25,60,attention_depth
substantive,0,159,154,0.05891354246365723,0.9685534591194969,0.11107104219257122,expression_raw,median,rank,50,0.25,60,attention_depth
focal,0,101,99,0.03787299158377965,0.9801980198019802,0.07292817679558011,expression_raw,median,rank,50,0.25,60,attention_depth
incidental,0,647,621,0.2245119305856833,0.9598145285935085,0.36390272487547615,fitness_screens,median,rank,15,0.0,25,attention_depth
substantive,0,166,164,0.05929139551699204,0.9879518072289156,0.11186903137789903,fitness_screens,median,rank,15,0.0,25,attention_depth
focal,0,105,103,0.03723788864786696,0.9809523809523809,0.07175200278648555,fitness_screens,median,rank,15,0.0,25,attention_depth
incidental,0,647,621,0.2245119305856833,0.9598145285935085,0.36390272487547615,fitness_screens,median,rank,15,0.0,60,attention_depth
substantive,0,166,164,0.05929139551699204,0.9879518072289156,0.11186903137789903,fitness_screens,median,rank,15,0.0,60,attention_depth
focal,0,105,103,0.03723788864786696,0.9809523809523809,0.07175200278648555,fitness_screens,median,rank,15,0.0,60,attention_depth
incidental,0,647,621,0.2245119305856833,0.9598145285935085,0.36390272487547615,fitness_screens,median,rank,15,0.25,25,attention_depth
substantive,0,166,164,0.05929139551699204,0.9879518072289156,0.11186903137789903,fitness_screens,median,rank,15,0.25,25,attention_depth
focal,0,105,103,0.03723788864786696,0.9809523809523809,0.07175200278648555,fitness_screens,median,rank,15,0.25,25,attention_depth
incidental,0,647,621,0.2245119305856833,0.9598145285935085,0.36390272487547615,fitness_screens,median,rank,15,0.25,60,attention_depth
substantive,0,166,164,0.05929139551699204,0.9879518072289156,0.11186903137789903,fitness_screens,median,rank,15,0.25,60,attention_depth
focal,0,105,103,0.03723788864786696,0.9809523809523809,0.07175200278648555,fitness_screens,median,rank,15,0.25,60,attention_depth
incidental,0,647,619,0.2239507959479016,0.9567233384853169,0.3629434183523893,fitness_screens,median,rank,50,0.0,25,attention_depth
substantive,0,166,164,0.059334298118668596,0.9879518072289156,0.11194539249146758,fitness_screens,median,rank,50,0.0,25,attention_depth
focal,0,105,103,0.037264833574529664,0.9809523809523809,0.07180202161031718,fitness_screens,median,rank,50,0.0,25,attention_depth
incidental,0,647,619,0.2239507959479016,0.9567233384853169,0.3629434183523893,fitness_screens,median,rank,50,0.0,60,attention_depth
substantive,0,166,164,0.059334298118668596,0.9879518072289156,0.11194539249146758,fitness_screens,median,rank,50,0.0,60,attention_depth
focal,0,105,103,0.037264833574529664,0.9809523809523809,0.07180202161031718,fitness_screens,median,rank,50,0.0,60,attention_depth
incidental,0,647,619,0.2239507959479016,0.9567233384853169,0.3629434183523893,fitness_screens,median,rank,50,0.25,25,attention_depth
substantive,0,166,164,0.059334298118668596,0.9879518072289156,0.11194539249146758,fitness_screens,median,rank,50,0.25,25,attention_depth
focal,0,105,103,0.037264833574529664,0.9809523809523809,0.07180202161031718,fitness_screens,median,rank,50,0.25,25,attention_depth
incidental,0,647,619,0.2239507959479016,0.9567233384853169,0.3629434183523893,fitness_screens,median,rank,50,0.25,60,attention_depth
substantive,0,166,164,0.059334298118668596,0.9879518072289156,0.11194539249146758,fitness_screens,median,rank,50,0.25,60,attention_depth
focal,0,105,103,0.037264833574529664,0.9809523809523809,0.07180202161031718,fitness_screens,median,rank,50,0.25,60,attention_depth
incidental,0,647,630,0.22524132999642474,0.973724884080371,0.3658536585365854,published_screens,median,rank,15,0.0,25,attention_depth
substantive,0,166,164,0.05863425098319628,0.9879518072289156,0.11069861626729666,published_screens,median,rank,15,0.0,25,attention_depth
focal,0,105,100,0.03575259206292456,0.9523809523809523,0.06891798759476223,published_screens,median,rank,15,0.0,25,attention_depth
incidental,0,647,630,0.22524132999642474,0.973724884080371,0.3658536585365854,published_screens,median,rank,15,0.0,60,attention_depth
substantive,0,166,164,0.05863425098319628,0.9879518072289156,0.11069861626729666,published_screens,median,rank,15,0.0,60,attention_depth
focal,0,105,100,0.03575259206292456,0.9523809523809523,0.06891798759476223,published_screens,median,rank,15,0.0,60,attention_depth
incidental,0,647,630,0.22516082916368835,0.973724884080371,0.3657474600870827,published_screens,median,rank,15,0.25,25,attention_depth
substantive,0,166,165,0.05897069335239457,0.9939759036144579,0.11133603238866399,published_screens,median,rank,15,0.25,25,attention_depth
focal,0,105,100,0.035739814152966405,0.9523809523809523,0.06889424733034791,published_screens,median,rank,15,0.25,25,attention_depth
incidental,0,647,630,0.22516082916368835,0.973724884080371,0.3657474600870827,published_screens,median,rank,15,0.25,60,attention_depth
substantive,0,166,165,0.05897069335239457,0.9939759036144579,0.11133603238866399,published_screens,median,rank,15,0.25,60,attention_depth
focal,0,105,100,0.035739814152966405,0.9523809523809523,0.06889424733034791,published_screens,median,rank,15,0.25,60,attention_depth
incidental,0,647,628,0.22508960573476702,0.9706336939721792,0.3654349723596159,published_screens,median,rank,50,0.0,25,attention_depth
substantive,0,166,163,0.05842293906810036,0.9819277108433735,0.11028416779431664,published_screens,median,rank,50,0.0,25,attention_depth
focal,0,105,99,0.035483870967741936,0.9428571428571428,0.06839378238341969,published_screens,median,rank,50,0.0,25,attention_depth
incidental,0,647,628,0.22508960573476702,0.9706336939721792,0.3654349723596159,published_screens,median,rank,50,0.0,60,attention_depth
substantive,0,166,163,0.05842293906810036,0.9819277108433735,0.11028416779431664,published_screens,median,rank,50,0.0,60,attention_depth
focal,0,105,99,0.035483870967741936,0.9428571428571428,0.06839378238341969,published_screens,median,rank,50,0.0,60,attention_depth
incidental,0,647,628,0.22517031193976336,0.9706336939721792,0.36554132712456344,published_screens,median,rank,50,0.25,25,attention_depth
substantive,0,166,163,0.05844388669774113,0.9819277108433735,0.11032148900169206,published_screens,median,rank,50,0.25,25,attention_depth
focal,0,105,99,0.03549659376120473,0.9428571428571428,0.06841741534208708,published_screens,median,rank,50,0.25,25,attention_depth
