label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
Golgi,3,62,62,0.02345819144911086,1.0,0.04584103512014788,expression_summary,median,rank,15,0.0,25,compartment
cytosol,3,215,202,0.07642830117290957,0.9395348837209302,0.14135759272218335,expression_summary,median,rank,15,0.0,25,compartment
micronemes,4,20,1,0.011235955056179775,0.05,0.01834862385321101,expression_summary,median,rank,15,0.0,25,compartment
nucleus - chromatin,3,273,268,0.10139992432841469,0.9816849816849816,0.18381344307270236,expression_summary,median,rank,15,0.0,25,compartment
apicoplast,3,61,58,0.02194475974271661,0.9508196721311475,0.04289940828402367,expression_summary,median,rank,15,0.0,25,compartment
dense granules,4,68,8,0.0898876404494382,0.11764705882352941,0.1019108280254777,expression_summary,median,rank,15,0.0,25,compartment
nucleus - non-chromatin,3,172,169,0.06394248959515701,0.9825581395348837,0.12007104795737121,expression_summary,median,rank,15,0.0,25,compartment
rhoptries 1,4,27,2,0.02247191011235955,0.07407407407407407,0.034482758620689655,expression_summary,median,rank,15,0.0,25,compartment
ER,3,92,91,0.034430571320469165,0.9891304347826086,0.06654478976234003,expression_summary,median,rank,15,0.0,25,compartment
apical 1,3,21,21,0.007945516458569807,1.0,0.015765765765765764,expression_summary,median,rank,15,0.0,25,compartment
PM - integral,4,53,3,0.033707865168539325,0.05660377358490566,0.04225352112676056,expression_summary,median,rank,15,0.0,25,compartment
nucleolus,3,16,16,0.006053726825576996,1.0,0.012034599473486274,expression_summary,median,rank,15,0.0,25,compartment
PM - peripheral 2,3,16,16,0.006053726825576996,1.0,0.012034599473486274,expression_summary,median,rank,15,0.0,25,compartment
mitochondrion - soluble,3,101,99,0.03745743473325766,0.9801980198019802,0.07215743440233237,expression_summary,median,rank,15,0.0,25,compartment
mitochondrion - membranes,4,67,6,0.06741573033707865,0.08955223880597014,0.07692307692307693,expression_summary,median,rank,15,0.0,25,compartment
IMC,4,42,6,0.06741573033707865,0.14285714285714285,0.0916030534351145,expression_summary,median,rank,15,0.0,25,compartment
PM - peripheral 1,4,15,1,0.011235955056179775,0.06666666666666667,0.01923076923076923,expression_summary,median,rank,15,0.0,25,compartment
Golgi,1,62,62,0.024012393493415957,1.0,0.046898638426626324,expression_summary,median,rank,15,0.0,60,compartment
cytosol,1,214,201,0.07784663051897754,0.9392523364485982,0.14377682403433478,expression_summary,median,rank,15,0.0,60,compartment
micronemes,2,20,1,0.011235955056179775,0.05,0.01834862385321101,expression_summary,median,rank,15,0.0,60,compartment
nucleus - chromatin,1,273,268,0.10379550735863671,0.9816849816849816,0.18774080560420317,expression_summary,median,rank,15,0.0,60,compartment
apicoplast,1,59,56,0.021688613477924088,0.9491525423728814,0.04240817872018175,expression_summary,median,rank,15,0.0,60,compartment
dense granules,2,68,8,0.0898876404494382,0.11764705882352941,0.1019108280254777,expression_summary,median,rank,15,0.0,60,compartment
nucleus - non-chromatin,1,172,169,0.06545313710302092,0.9825581395348837,0.12273057371096587,expression_summary,median,rank,15,0.0,60,compartment
rhoptries 1,2,26,2,0.02247191011235955,0.07692307692307693,0.034782608695652174,expression_summary,median,rank,15,0.0,60,compartment
ER,1,92,91,0.03524399690162665,0.9891304347826086,0.06806282722513089,expression_summary,median,rank,15,0.0,60,compartment
apical 1,1,21,21,0.008133230054221533,1.0,0.016135228582404914,expression_summary,median,rank,15,0.0,60,compartment
PM - integral,2,53,3,0.033707865168539325,0.05660377358490566,0.04225352112676056,expression_summary,median,rank,15,0.0,60,compartment
nucleolus,1,16,16,0.006196746707978312,1.0,0.01231716705157814,expression_summary,median,rank,15,0.0,60,compartment
PM - peripheral 2,1,16,16,0.006196746707978312,1.0,0.01231716705157814,expression_summary,median,rank,15,0.0,60,compartment
mitochondrion - soluble,1,101,99,0.0383423702556158,0.9801980198019802,0.07379798732761833,expression_summary,median,rank,15,0.0,60,compartment
mitochondrion - membranes,2,67,6,0.06741573033707865,0.08955223880597014,0.07692307692307693,expression_summary,median,rank,15,0.0,60,compartment
IMC,2,42,6,0.06741573033707865,0.14285714285714285,0.0916030534351145,expression_summary,median,rank,15,0.0,60,compartment
PM - peripheral 1,2,15,1,0.011235955056179775,0.06666666666666667,0.01923076923076923,expression_summary,median,rank,15,0.0,60,compartment
Golgi,0,62,62,0.02095302467049679,1.0,0.04104601125455148,expression_summary,median,rank,15,0.25,25,compartment
cytosol,0,215,215,0.07265968232510983,1.0,0.13547574039067423,expression_summary,median,rank,15,0.25,25,compartment
micronemes,0,20,20,0.006759040216289287,1.0,0.013427324605572338,expression_summary,median,rank,15,0.25,25,compartment
nucleus - chromatin,0,273,273,0.09226089895234876,1.0,0.16893564356435642,expression_summary,median,rank,15,0.25,25,compartment
apicoplast,0,61,61,0.020615072659682324,1.0,0.04039735099337748,expression_summary,median,rank,15,0.25,25,compartment
dense granules,0,68,68,0.022980736735383575,1.0,0.044928972580112324,expression_summary,median,rank,15,0.25,25,compartment
nucleus - non-chromatin,0,172,172,0.05812774586008787,1.0,0.10986905142127115,expression_summary,median,rank,15,0.25,25,compartment
rhoptries 1,0,27,27,0.009124704291990537,1.0,0.018084393837910245,expression_summary,median,rank,15,0.25,25,compartment
ER,0,92,92,0.03109158499493072,1.0,0.060308095706325796,expression_summary,median,rank,15,0.25,25,compartment
apical 1,0,21,21,0.0070969922271037515,1.0,0.014093959731543624,expression_summary,median,rank,15,0.25,25,compartment
PM - integral,0,53,53,0.01791145657316661,1.0,0.0351925630810093,expression_summary,median,rank,15,0.25,25,compartment
nucleolus,0,16,16,0.005407232173031429,1.0,0.010756302521008402,expression_summary,median,rank,15,0.25,25,compartment
PM - peripheral 2,0,16,16,0.005407232173031429,1.0,0.010756302521008402,expression_summary,median,rank,15,0.25,25,compartment
mitochondrion - soluble,0,101,101,0.0341331530922609,1.0,0.06601307189542484,expression_summary,median,rank,15,0.25,25,compartment
mitochondrion - membranes,0,67,67,0.022642784724569112,1.0,0.044282881692002646,expression_summary,median,rank,15,0.25,25,compartment
IMC,0,42,42,0.014193984454207503,1.0,0.027990669776741084,expression_summary,median,rank,15,0.25,25,compartment
PM - peripheral 1,0,15,15,0.005069280162216965,1.0,0.010087424344317418,expression_summary,median,rank,15,0.25,25,compartment
Golgi,0,61,61,0.027268663388466695,1.0,0.05308964316797215,expression_summary,median,rank,15,0.25,60,compartment
cytosol,0,182,182,0.0813589628967367,1.0,0.15047540305911536,expression_summary,median,rank,15,0.25,60,compartment
micronemes,0,15,15,0.006705409029950827,1.0,0.013321492007104797,expression_summary,median,rank,15,0.25,60,compartment
nucleus - chromatin,0,257,257,0.11488600804649084,1.0,0.20609462710505214,expression_summary,median,rank,15,0.25,60,compartment
apicoplast,0,54,54,0.024139472507822977,1.0,0.04714098646879092,expression_summary,median,rank,15,0.25,60,compartment
dense granules,0,55,52,0.0232454179704962,0.9454545454545454,0.045375218150087264,expression_summary,median,rank,15,0.25,60,compartment
nucleus - non-chromatin,0,157,156,0.0697362539114886,0.9936305732484076,0.13032581453634087,expression_summary,median,rank,15,0.25,60,compartment
rhoptries 1,0,21,21,0.009387572641931158,1.0,0.018600531443755536,expression_summary,median,rank,15,0.25,60,compartment
ER,0,86,86,0.03844434510505141,1.0,0.0740421868273784,expression_summary,median,rank,15,0.25,60,compartment
apical 1,0,20,20,0.008940545373267769,1.0,0.017722640673460344,expression_summary,median,rank,15,0.25,60,compartment
PM - integral,0,48,48,0.021457308895842648,1.0,0.04201312910284464,expression_summary,median,rank,15,0.25,60,compartment
PM - peripheral 2,0,15,15,0.006705409029950827,1.0,0.013321492007104797,expression_summary,median,rank,15,0.25,60,compartment
mitochondrion - soluble,0,95,95,0.0424675905230219,1.0,0.08147512864493997,expression_summary,median,rank,15,0.25,60,compartment
mitochondrion - membranes,0,60,60,0.02682163611980331,1.0,0.0522420548541576,expression_summary,median,rank,15,0.25,60,compartment
IMC,0,31,31,0.013857845328565042,1.0,0.027336860670194005,expression_summary,median,rank,15,0.25,60,compartment
Golgi,0,62,62,0.02095302467049679,1.0,0.04104601125455148,expression_summary,median,rank,50,0.0,25,compartment
cytosol,0,215,215,0.07265968232510983,1.0,0.13547574039067423,expression_summary,median,rank,50,0.0,25,compartment
micronemes,0,20,20,0.006759040216289287,1.0,0.013427324605572338,expression_summary,median,rank,50,0.0,25,compartment
nucleus - chromatin,0,273,273,0.09226089895234876,1.0,0.16893564356435642,expression_summary,median,rank,50,0.0,25,compartment
apicoplast,0,61,61,0.020615072659682324,1.0,0.04039735099337748,expression_summary,median,rank,50,0.0,25,compartment
dense granules,0,68,68,0.022980736735383575,1.0,0.044928972580112324,expression_summary,median,rank,50,0.0,25,compartment
nucleus - non-chromatin,0,172,172,0.05812774586008787,1.0,0.10986905142127115,expression_summary,median,rank,50,0.0,25,compartment
rhoptries 1,0,27,27,0.009124704291990537,1.0,0.018084393837910245,expression_summary,median,rank,50,0.0,25,compartment
ER,0,92,92,0.03109158499493072,1.0,0.060308095706325796,expression_summary,median,rank,50,0.0,25,compartment
apical 1,0,21,21,0.0070969922271037515,1.0,0.014093959731543624,expression_summary,median,rank,50,0.0,25,compartment
PM - integral,0,53,53,0.01791145657316661,1.0,0.0351925630810093,expression_summary,median,rank,50,0.0,25,compartment
nucleolus,0,16,16,0.005407232173031429,1.0,0.010756302521008402,expression_summary,median,rank,50,0.0,25,compartment
PM - peripheral 2,0,16,16,0.005407232173031429,1.0,0.010756302521008402,expression_summary,median,rank,50,0.0,25,compartment
mitochondrion - soluble,0,101,101,0.0341331530922609,1.0,0.06601307189542484,expression_summary,median,rank,50,0.0,25,compartment
mitochondrion - membranes,0,67,67,0.022642784724569112,1.0,0.044282881692002646,expression_summary,median,rank,50,0.0,25,compartment
IMC,0,42,42,0.014193984454207503,1.0,0.027990669776741084,expression_summary,median,rank,50,0.0,25,compartment
PM - peripheral 1,0,15,15,0.005069280162216965,1.0,0.010087424344317418,expression_summary,median,rank,50,0.0,25,compartment
Golgi,0,62,62,0.023628048780487805,1.0,0.04616530156366344,expression_summary,median,rank,50,0.0,60,compartment
cytosol,0,213,213,0.08117378048780488,1.0,0.15015861825872404,expression_summary,median,rank,50,0.0,60,compartment
micronemes,0,20,20,0.007621951219512195,1.0,0.015128593040847202,expression_summary,median,rank,50,0.0,60,compartment
nucleus - chromatin,0,273,273,0.10403963414634146,1.0,0.18847083189506386,expression_summary,median,rank,50,0.0,60,compartment
apicoplast,0,58,58,0.022103658536585365,1.0,0.04325130499627143,expression_summary,median,rank,50,0.0,60,compartment
dense granules,0,67,64,0.024390243902439025,0.9552238805970149,0.047565960609438865,expression_summary,median,rank,50,0.0,60,compartment
nucleus - non-chromatin,0,172,171,0.06516768292682927,0.9941860465116279,0.12231759656652359,expression_summary,median,rank,50,0.0,60,compartment
rhoptries 1,0,26,26,0.009908536585365854,1.0,0.01962264150943396,expression_summary,median,rank,50,0.0,60,compartment
ER,0,92,92,0.0350609756097561,1.0,0.06774668630338733,expression_summary,median,rank,50,0.0,60,compartment
apical 1,0,20,20,0.007621951219512195,1.0,0.015128593040847202,expression_summary,median,rank,50,0.0,60,compartment
PM - integral,0,53,53,0.020198170731707318,1.0,0.03959656331714606,expression_summary,median,rank,50,0.0,60,compartment
nucleolus,0,16,16,0.006097560975609756,1.0,0.012121212121212121,expression_summary,median,rank,50,0.0,60,compartment
