label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
oocyst,0,554,377,0.6614035087719298,0.6805054151624549,0.6708185053380783,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,0,94,94,0.1649122807017544,1.0,0.28313253012048195,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,0,100,99,0.1736842105263158,0.99,0.2955223880597015,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,554,426,0.6882067851373183,0.7689530685920578,0.7263427109974425,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,0,100,99,0.15993537964458804,0.99,0.2753824756606398,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
oocyst,1,496,349,0.647495361781076,0.7036290322580645,0.6743961352657005,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,1,93,93,0.1725417439703154,1.0,0.29430379746835444,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,1,97,97,0.17996289424860853,1.0,0.30503144654088055,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
oocyst,0,426,302,0.6239669421487604,0.7089201877934272,0.6637362637362638,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,0,94,94,0.19421487603305784,1.0,0.32525951557093424,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,0,88,88,0.18181818181818182,1.0,0.3076923076923077,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
oocyst,0,542,425,0.6865912762520194,0.7841328413284133,0.732127476313523,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,0,100,100,0.16155088852988692,1.0,0.2781641168289291,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
oocyst,0,554,425,0.6865912762520194,0.7671480144404332,0.7246376811594203,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,0,100,100,0.16155088852988692,1.0,0.2781641168289291,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
oocyst,0,507,407,0.679465776293823,0.8027613412228797,0.735985533453888,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,0,93,93,0.15525876460767946,1.0,0.26878612716763,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,0,99,99,0.1652754590984975,1.0,0.2836676217765043,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
oocyst,0,406,289,0.6148936170212767,0.7118226600985221,0.6598173515981736,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,0,90,90,0.19148936170212766,1.0,0.32142857142857145,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,0,91,91,0.19361702127659575,1.0,0.3244206773618538,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,0,94,89,0.12552891396332863,0.9468085106382979,0.22166874221668745,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,0,100,89,0.12552891396332863,0.89,0.2200247218788628,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,0,94,89,0.12552891396332863,0.9468085106382979,0.22166874221668745,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,0,100,89,0.12552891396332863,0.89,0.2200247218788628,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,0,94,89,0.12552891396332863,0.9468085106382979,0.22166874221668745,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,0,100,89,0.12552891396332863,0.89,0.2200247218788628,fitness_screens,median,rank,15,0.25,25,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,0,94,89,0.12552891396332863,0.9468085106382979,0.22166874221668745,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,0,100,89,0.12552891396332863,0.89,0.2200247218788628,fitness_screens,median,rank,15,0.25,60,stage_enriched_derived
oocyst,0,554,530,0.748587570621469,0.9566787003610109,0.8399366085578447,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,0,94,89,0.12570621468926554,0.9468085106382979,0.22194513715710726,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,0,100,89,0.12570621468926554,0.89,0.22029702970297033,fitness_screens,median,rank,50,0.0,25,stage_enriched_derived
oocyst,0,554,530,0.748587570621469,0.9566787003610109,0.8399366085578447,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,0,94,89,0.12570621468926554,0.9468085106382979,0.22194513715710726,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,0,100,89,0.12570621468926554,0.89,0.22029702970297033,fitness_screens,median,rank,50,0.0,60,stage_enriched_derived
oocyst,0,554,530,0.748587570621469,0.9566787003610109,0.8399366085578447,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,0,94,89,0.12570621468926554,0.9468085106382979,0.22194513715710726,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,0,100,89,0.12570621468926554,0.89,0.22029702970297033,fitness_screens,median,rank,50,0.25,25,stage_enriched_derived
oocyst,0,554,530,0.748587570621469,0.9566787003610109,0.8399366085578447,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,0,94,89,0.12570621468926554,0.9468085106382979,0.22194513715710726,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,0,100,89,0.12570621468926554,0.89,0.22029702970297033,fitness_screens,median,rank,50,0.25,60,stage_enriched_derived
oocyst,0,554,527,0.753934191702432,0.9512635379061372,0.8411811652035116,published_screens,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,0,94,88,0.12589413447782546,0.9361702127659575,0.22194199243379573,published_screens,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,1,100,16,0.32653061224489793,0.16,0.21476510067114093,published_screens,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,554,527,0.753934191702432,0.9512635379061372,0.8411811652035116,published_screens,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,0,94,88,0.12589413447782546,0.9361702127659575,0.22194199243379573,published_screens,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,1,100,16,0.32653061224489793,0.16,0.21476510067114093,published_screens,median,rank,15,0.0,60,stage_enriched_derived
oocyst,0,554,527,0.7528571428571429,0.9512635379061372,0.8405103668261563,published_screens,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,0,94,89,0.12714285714285714,0.9468085106382979,0.22418136020151133,published_screens,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,1,100,16,0.3333333333333333,0.16,0.21621621621621623,published_screens,median,rank,15,0.25,25,stage_enriched_derived
oocyst,0,554,527,0.7528571428571429,0.9512635379061372,0.8405103668261563,published_screens,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,0,94,89,0.12714285714285714,0.9468085106382979,0.22418136020151133,published_screens,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,1,100,16,0.3333333333333333,0.16,0.21621621621621623,published_screens,median,rank,15,0.25,60,stage_enriched_derived
oocyst,0,554,527,0.753934191702432,0.9512635379061372,0.8411811652035116,published_screens,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,0,94,88,0.12589413447782546,0.9361702127659575,0.22194199243379573,published_screens,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,1,100,16,0.32653061224489793,0.16,0.21476510067114093,published_screens,median,rank,50,0.0,25,stage_enriched_derived
oocyst,0,554,527,0.753934191702432,0.9512635379061372,0.8411811652035116,published_screens,median,rank,50,0.0,60,stage_enriched_derived
