number,key,title,family,effect,hidden,metric,min_effect,n_hidden,note,null_high,null_kind,null_mean,null_sd,observed,p_value,seconds,verdict
1,holdout_search,Hold out a category and search for a map that finds it,Search the map space,-0.0005389135315885252,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",F1 of hidden genes in the cluster chosen for their label on known genes,0.05,301,,0.5299195937367753,20 searches whose map and clusters were chosen on shuffled labels,0.5294786644836574,0.00048746563056122706,0.5289397509520689,1.0,8.9,FAIL
2,geneset_hunt,Find the map where your gene list is one cluster,Search the map space,0.5176091878824503,30% of the 'pseudogene' genes of gene_type,F1 of the hidden members against the best cluster's other genes,0.05,47,,0.08158695387611052,"20 random sets of the same size, same walk",0.0662417437945684,0.010169366149625594,0.5838509316770186,0.047619047619047616,4.3,PASS
3,recoverability_atlas,Ask which categories the data can rediscover,Search the map space,0.225456114714083,30% of the pb_transferred_phenotype labels,hidden-gene AUROC of the categories the atlas ranks in its top half,0.05,482,,0.5409535680038696,20 atlases and recoveries from shuffled labels,0.49415118360952537,0.03550617224493269,0.7196072983236084,0.047619047619047616,3.4,PASS
4,consensus_modules,Keep only the modules that survive the whole walk,Search the map space,0.07302579020826247,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",F1 of hidden genes in the module chosen for their label on known genes,0.05,301,,0.2222829116294073,20 label-to-module choices made on shuffled labels,0.21675666098772348,0.015642295463579026,0.28978245119598595,0.047619047619047616,0.1,PASS
5,blind_battery,"Tune a map without labels, then read what it encodes",Search the map space,0.9693548387096774,"held-out features the map separates made on half the genes, checked on the other half",share of first-half findings that replicate on the second half,0.2,62,,0.08387096774193542,10 runs with the second half scrambled,0.030645161290322586,0.03181142406986455,1.0,0.09090909090909091,1.8,PASS
6,block_ablation,Find which kind of evidence carries a label,Search the map space,0.07151952461799654,25% of the pb_transferred_phenotype labels,hidden accuracy of the evidence ranked first (expr),0.02,608,,0.5180921052631579,the 31 kinds of evidence chosen at random,0.45150679117147713,0.056053334890309336,0.5230263157894737,0.1875,1.9,PASS
7,feature_knn,Call a gene by the genes that behave like it,Borrow from neighbours,0.21151315789473685,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,608,,0.43996710526315785,10 runs on shuffled labels,0.3986842105263158,0.02540785725964147,0.6101973684210527,0.09090909090909091,0.2,PASS
8,map_neighbours,Call a gene by its neighbours on the map,Borrow from neighbours,0.17192066805845513,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,479,,0.41367432150313155,20 runs on shuffled labels,0.3854906054279749,0.02150693158144717,0.55741127348643,0.047619047619047616,0.3,PASS
9,cluster_guilt,Name a cluster by the label it is enriched for,Borrow from neighbours,0.8809523809523809,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 42 calls made on 479 hidden genes",precision of calls on hidden genes,0.1,42,,0.0,20 runs on shuffled labels,0.0,0.0,0.8809523809523809,0.047619047619047616,0.1,PASS
10,label_outliers,Find genes whose label their neighbours contradict,Borrow from neighbours,0.2350423768194687,"121 labels (5%) swapped to a wrong class, in proportion to class size",AUROC of surprise for the swapped labels,0.1,121,,0.5730134190282822,20 random sets of the same size,0.5147592331779576,0.037489892076260654,0.7498016099974263,0.047619047619047616,0.1,PASS
11,layer_propagation,Diffuse a label across one measured network,Walk the networks,0.09819078947368426,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,608,,0.3493421052631579,10 runs on shuffled labels,0.3245065789473684,0.015093093220083764,0.42269736842105265,0.09090909090909091,0.2,PASS
12,layer_vote,"Let every network vote, weighted by what it has earned",Walk the networks,0.3108552631578948,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,608,,0.40361842105263157,5 runs on shuffled labels,0.29934210526315785,0.12226491802661711,0.6101973684210527,0.16666666666666666,0.4,PASS
13,physical_partners,Place a protein by the proteins it physically touches,Walk the networks,0.04999999999999999,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,18,,0.5555555555555556,20 runs on shuffled labels,0.2833333333333333,0.14582671942674097,0.3333333333333333,0.38095238095238093,0.1,FAIL
14,structural_homology,Annotate function through shared fold,Walk the networks,0.45347222222222217,"25% of the ec_number labels, whole orthogroups at a time",correct calls per hidden gene,0.05,144,,0.42812500000000003,20 runs on shuffled labels,0.30347222222222225,0.0753752188130231,0.7569444444444444,0.047619047619047616,0.1,PASS
15,multiplex_modules,Find the communities several networks agree on,Walk the networks,0.06253962895665066,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",F1 of hidden genes in the community chosen for their label on known genes,0.05,602,,0.31031928422874105,20 label-to-community choices made on shuffled labels,0.2949013462219706,0.03200080288657883,0.3574409751786213,0.047619047619047616,0.1,PASS
16,link_prediction,Predict the contacts an interactome missed,Walk the networks,0.02249999999999991,20% of the xlms edges (16),AUROC of hidden pairs against random non-pairs,0.05,16,,0.5515625,5 models trained with every gene's evidence read from a random other gene,0.48218750000000005,0.051980784460461914,0.5046875,0.5,0.1,FAIL
17,attention_correction,"Read the literature for biology, not fame",Walk the networks,0.13409090909090915,"the pb_transferred_phenotype labels, never used to build the literature layer",share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,0.05,22,,0.7272727272727273,20 random sets of co-mentioned pairs,0.5022727272727272,0.115417853869042,0.6363636363636364,0.19047619047619047,0.0,FAIL
18,unwritten_links,List what the data says and the literature has not written,Walk the networks,0.053949782248429556,"the literature's 558 co-mentioned pairs, never used to count measurement support",AUROC of hidden pairs against random non-pairs,0.02,558,,0.5018010752688172,10 runs with the measurement layers' gene identities permuted,0.4993010752688171,0.0014766198605816864,0.5532508575172467,0.09090909090909091,0.0,PASS
19,supervised_classifier,Train a classifier on the known genes and call the rest,Learn from examples,0.3039652224722992,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",correct calls per hidden gene,0.05,608,,0.3858311135083776,the analytic chance level,0.35392951436980613,0.01939306938514983,0.6578947368421053,1.1405244520012977e-55,0.0,PASS
20,positive_unlabeled,"Learn what makes your list special, from positives alone",Learn from examples,0.47832652421063904,30% of the 'pseudogene' genes of gene_type (158 genes),AUROC of hidden members against every other gene,0.1,47,,0.5756399810262648,10 random sets of the same size,0.5179858385549359,0.049010397639191385,0.9963123627655749,0.09090909090909091,3.7,PASS
21,trait_regression,"Predict a measurement, and find the genes that defy the prediction",Learn from examples,0.47845345866153344,20% of the measured piggybac_mis values,rank correlation of predicted and hidden values,0.1,1077,,0.05014871007988719,the chance distribution of a rank correlation,0.0,0.030485538042484616,0.47845345866153344,8.254608070007647e-56,1.5,PASS
22,masked_imputation,"Fill in what was never measured, and say where that is honest",Learn from examples,0.8195757751738965,10% of every column's measured entries,median per-column rank correlation on hidden entries,0.1,46276,,0.0025321158239299314,3 completions of the table with each column shuffled independently,0.0010885783801857143,0.001386212113074725,0.8206643535540822,0.25,28.0,PASS
23,condition_shift,"Find what matters more in one condition, and why",Learn from examples,0.6320772445254553,20% of the expr_gametocyte_v-specific shift,rank correlation of predicted and hidden values,0.1,1144,,0.04865671526631691,the chance distribution of a rank correlation,0.0,0.029578550313870463,0.6320772445254553,1.2858200828624364e-101,1.5,PASS
24,set_enrichment,Describe what your gene list has in common,Start from a gene list,0.46911297180984335,40% of the 'pseudogene' genes of gene_type (158 genes),AUROC of hidden members against every other gene,0.1,63,,0.5,10 random sets of the same size,0.49876429056580085,0.0037071283025975513,0.9678772623756442,0.09090909090909091,1.2,PASS
25,seed_expansion,Grow your gene list along the networks,Start from a gene list,0.5029516399274714,30% of the 'pseudogene' genes of gene_type (158 genes),AUROC of hidden members against every other gene,0.1,47,,0.5352655175315782,10 random sets of the same size,0.4895621504586595,0.03789107509537318,0.9925137903861309,0.09090909090909091,0.1,PASS
26,split_clusters,Find categories that split in two on another measurement,Contrast and combine layers,,half of the genes' clusters that share a pb_transferred_phenotype and split on stage_enriched_derived,share of findings that replicate,0.2,0,"only 0 findings on the first half, 3 needed",,the second half scrambled,,0.0,,1.0,0.0,INCONCLUSIVE
27,conjunctions,Find kinds of gene defined by two labels at once,Contrast and combine layers,,half of the genes' pb_transferred_phenotype x stage_enriched_derived combinations,share of findings that replicate,0.2,1,"only 1 findings on the first half, 3 needed",,the second half scrambled,,0.0,,1.0,0.0,INCONCLUSIVE
28,paralog_divergence,Find paralogs that changed jobs,Contrast and combine layers,-0.024401913875598147,"the pb_transferred_phenotype labels, withheld from the profiles",AUROC of profile divergence for paralogs with different pb_transferred_phenotype,0.05,71,,0.5461323763955342,20 random reassignments of divergence to pairs,0.4622009569377991,0.06395534290271132,0.43779904306220097,0.7142857142857143,0.1,FAIL
29,ortholog_transfer,Carry what one parasite shows to the other,Cross species and strata,0.325557195943386,25% of the genes measured in both species,rank correlation of transferred and hidden values,0.1,661,,0.04679703463590562,20 runs with the orthologs' values dealt to random genes,0.0013948933576739039,0.04179216619723197,0.3269520893010599,0.047619047619047616,0.0,PASS
30,stratum_focus,Test inference on the genes orthology cannot reach,Cross species and strata,,pb_transferred_phenotype labels,correct calls per hidden gene,0.05,0,too few labelled genes this strategy can speak about,,shuffled labels,,0.0,,1.0,0.0,INCONCLUSIVE
31,triangulation,Call a gene only when independent strategies agree,Combine strategies,0.26272183366089047,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 558 calls made on 608 hidden genes",precision of calls on hidden genes,0.1,558,,0.409073852976292,5 runs on shuffled labels,0.3860236860523712,0.026287529586660537,0.6487455197132617,0.16666666666666666,0.9,PASS
32,understudied_first,Put the understudied genes first,Combine strategies,0.27404719153894186,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 425 calls made on 458 hidden genes",precision of calls on hidden genes,0.1,425,,0.4210379757801526,5 runs on shuffled labels,0.3871292790492934,0.026773957831710805,0.6611764705882353,0.16666666666666666,0.9,PASS
