number,key,title,family,effect,hidden,metric,min_effect,n_hidden,note,null_high,null_kind,null_mean,null_sd,observed,p_value,seconds,verdict
1,holdout_search,Hold out a category and search for a map that finds it,Search the map space,0.07090702281241526,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the cluster chosen for their label on known genes,0.05,305,,0.14085741579977734,20 searches whose map and clusters were chosen on shuffled labels,0.07863200301074813,0.03484180917478085,0.1495390258231634,0.047619047619047616,23.5,PASS
2,geneset_hunt,Find the map where your gene list is one cluster,Search the map space,0.08003924186611931,30% of the 'PM - integral' genes of compartment,F1 of the hidden members against the best cluster's other genes,0.05,40,,0.05800933824189638,"20 random sets of the same size, same walk",0.04303768121080376,0.016445574440369,0.12307692307692307,0.047619047619047616,6.2,PASS
3,recoverability_atlas,Ask which categories the data can rediscover,Search the map space,0.31576954591972073,30% of the compartment labels,hidden-gene AUROC of the categories the atlas ranks in its top half,0.05,508,,0.548221456906836,20 atlases and recoveries from shuffled labels,0.5056578024727294,0.032362640078142935,0.8214273483924501,0.047619047619047616,5.1,PASS
4,consensus_modules,Keep only the modules that survive the whole walk,Search the map space,0.038571797360160864,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the module chosen for their label on known genes,0.05,305,,0.1909904227303112,20 label-to-module choices made on shuffled labels,0.15744222154390403,0.02534485773420856,0.1960140189040649,0.09523809523809523,0.1,FAIL
5,blind_battery,"Tune a map without labels, then read what it encodes",Search the map space,0.9148148148148149,"held-out features the map separates made on half the genes, checked on the other half",share of first-half findings that replicate on the second half,0.2,54,,0.3287037037037033,10 runs with the second half scrambled,0.06666666666666668,0.15848216959507164,0.9814814814814815,0.09090909090909091,0.8,PASS
6,block_ablation,Find which kind of evidence carries a label,Search the map space,0.11814631215262128,25% of the compartment labels,hidden accuracy of the evidence ranked first (transcription),0.02,951,,0.2601472134595163,the 14 kinds of evidence chosen at random,0.20992939762655854,0.051037428656103855,0.3280757097791798,0.13333333333333333,1.7,PASS
7,feature_knn,Call a gene by the genes that behave like it,Borrow from neighbours,0.25856992639327026,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.0628286014721346,10 runs on shuffled labels,0.05162986330178759,0.007138760913772315,0.31019978969505785,0.09090909090909091,0.4,PASS
8,map_neighbours,Call a gene by its neighbours on the map,Borrow from neighbours,0.1777886497064579,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,511,,0.074559686888454,20 runs on shuffled labels,0.05704500978473581,0.010883072132131098,0.23483365949119372,0.047619047619047616,0.3,PASS
9,cluster_guilt,Name a cluster by the label it is enriched for,Borrow from neighbours,0.08333333333333333,"25% of the compartment labels, whole orthogroups at a time; 192 calls made on 511 hidden genes",precision of calls on hidden genes,0.1,192,,0.0,20 runs on shuffled labels,0.0,0.0,0.08333333333333333,0.047619047619047616,0.2,FAIL
10,label_outliers,Find genes whose label their neighbours contradict,Borrow from neighbours,0.29800046602394203,"190 labels (5%) swapped to a wrong class, in proportion to class size",AUROC of surprise for the swapped labels,0.1,190,,0.5262511650598549,20 random sets of the same size,0.4970429324556549,0.01658321771603539,0.7950433984795969,0.047619047619047616,0.2,PASS
11,layer_propagation,Diffuse a label across one measured network,Walk the networks,0.09631966351209255,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.041114616193480544,10 runs on shuffled labels,0.030914826498422716,0.00589604448743478,0.12723449001051526,0.09090909090909091,0.4,PASS
12,layer_vote,"Let every network vote, weighted by what it has earned",Walk the networks,0.26182965299684546,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.15099894847528916,5 runs on shuffled labels,0.11882229232386961,0.02980103400028324,0.38065194532071506,0.16666666666666666,0.8,PASS
13,physical_partners,Place a protein by the proteins it physically touches,Walk the networks,0.4505,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,300,,0.0975,20 runs on shuffled labels,0.06949999999999999,0.016940254491070145,0.52,0.047619047619047616,0.1,PASS
14,structural_homology,Annotate function through shared fold,Walk the networks,0.515406976744186,"25% of the ec_number labels, whole orthogroups at a time",correct calls per hidden gene,0.05,172,,0.3014534883720931,20 runs on shuffled labels,0.25203488372093025,0.0439049735328404,0.7674418604651163,0.047619047619047616,0.1,PASS
15,multiplex_modules,Find the communities several networks agree on,Walk the networks,0.020385373351784586,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the community chosen for their label on known genes,0.05,948,,0.15915611447738826,20 label-to-community choices made on shuffled labels,0.14894118683134328,0.00888520033780377,0.16932656018312786,0.047619047619047616,0.2,FAIL
16,link_prediction,Predict the contacts an interactome missed,Walk the networks,0.29204746082126565,20% of the xlms edges (568),AUROC of hidden pairs against random non-pairs,0.05,568,,0.5247583564768895,5 models trained with every gene's evidence read from a random other gene,0.5162234675659592,0.009333251981921645,0.8082709283872248,0.16666666666666666,1.1,PASS
17,attention_correction,"Read the literature for biology, not fame",Walk the networks,0.36025,"the compartment labels, never used to build the literature layer",share of the top 200 corrected pairs sharing a compartment label,0.05,200,,0.446,20 random sets of co-mentioned pairs,0.38975,0.03713068138345969,0.75,0.047619047619047616,0.0,PASS
18,unwritten_links,List what the data says and the literature has not written,Walk the networks,0.05603396223076401,"the literature's 7,659 co-mentioned pairs, never used to count measurement support",AUROC of hidden pairs against random non-pairs,0.02,7659,,0.5004386412673338,10 runs with the measurement layers' gene identities permuted,0.49982371086834715,0.0004225455630776197,0.5558576730991112,0.09090909090909091,0.2,PASS
19,supervised_classifier,Train a classifier on the known genes and call the rest,Learn from examples,0.35672450605428346,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.09068230835060484,the analytic chance level,0.07650367480796684,0.008619230117105166,0.4332281808622503,0.0,10.3,PASS
20,positive_unlabeled,"Learn what makes your list special, from positives alone",Learn from examples,0.4405921299188008,30% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,40,,0.5530644909431605,10 random sets of the same size,0.48325234228607117,0.04968976896501615,0.923844472204872,0.09090909090909091,12.0,PASS
21,trait_regression,"Predict a measurement, and find the genes that defy the prediction",Learn from examples,0.7211012409128014,20% of the measured fit_invitro_hff values,rank correlation of predicted and hidden values,0.1,1465,,0.0429927637194963,the chance distribution of a rank correlation,0.0,0.026135418674465834,0.7211012409128014,7.142593260299792e-168,3.3,PASS
22,masked_imputation,"Fill in what was never measured, and say where that is honest",Learn from examples,0.88678692789967,10% of every column's measured entries,median per-column rank correlation on hidden entries,0.1,204230,,-0.002151597296982568,3 completions of the table with each column shuffled independently,-0.002606730783433786,0.00037702044015302475,0.8841801971162362,0.25,82.8,PASS
23,condition_shift,"Find what matters more in one condition, and why",Learn from examples,0.0793532570907866,20% of the fit_invivo_PE-specific shift,rank correlation of predicted and hidden values,0.1,1465,,0.0429927637194963,the chance distribution of a rank correlation,0.0,0.026135418674465834,0.0793532570907866,0.0011977653014730602,5.6,FAIL
24,set_enrichment,Describe what your gene list has in common,Start from a gene list,0.4067767830291253,40% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,54,,0.5,10 random sets of the same size,0.4999250468457214,0.00022485946283573585,0.9067018298748467,0.09090909090909091,3.4,PASS
25,seed_expansion,Grow your gene list along the networks,Start from a gene list,0.3177045596502186,30% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,40,,0.5408603997501561,10 random sets of the same size,0.5027201748906933,0.028234426001751894,0.8204247345409119,0.09090909090909091,0.1,PASS
26,split_clusters,Find categories that split in two on another measurement,Contrast and combine layers,,half of the genes' clusters that share a lopit_unified and split on dtm_class,share of findings that replicate,0.2,0,"only 0 findings on the first half, 3 needed",,the second half scrambled,,0.0,,1.0,0.0,INCONCLUSIVE
27,conjunctions,Find kinds of gene defined by two labels at once,Contrast and combine layers,0.75,"lopit_unified x dtm_class combinations made on half the genes, checked on the other half",share of first-half findings that replicate on the second half,0.2,4,,0.0,20 runs with the second half scrambled,0.0,0.0,0.75,0.047619047619047616,0.1,PASS
28,paralog_divergence,Find paralogs that changed jobs,Contrast and combine layers,0.04401080019636727,"the compartment labels, withheld from the profiles",AUROC of profile divergence for paralogs with different compartment,0.05,535,,0.5413642261028122,20 random reassignments of divergence to pairs,0.4941580756013745,0.029632812833668032,0.5381688757977418,0.14285714285714285,0.3,FAIL
29,ortholog_transfer,Carry what one parasite shows to the other,Cross species and strata,0.31262570362652103,25% of the genes measured in both species,rank correlation of transferred and hidden values,0.1,681,,0.0547766098543476,20 runs with the orthologs' values dealt to random genes,0.00037195470881355144,0.03784444935534294,0.3129976583353346,0.047619047619047616,0.0,PASS
30,stratum_focus,Test inference on the genes orthology cannot reach,Cross species and strata,0.20926829268292685,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,410,,0.06609756097560976,10 runs on shuffled labels,0.051707317073170736,0.010842005254094083,0.26097560975609757,0.09090909090909091,0.2,PASS
31,triangulation,Call a gene only when independent strategies agree,Combine strategies,0.35997189575921684,"25% of the compartment labels, whole orthogroups at a time; 600 calls made on 951 hidden genes",precision of calls on hidden genes,0.1,600,,0.17476797231398458,5 runs on shuffled labels,0.16502810424078318,0.007641879737543735,0.525,0.16666666666666666,28.2,PASS
32,understudied_first,Put the understudied genes first,Combine strategies,0.33848417754706706,"25% of the compartment labels, whole orthogroups at a time; 518 calls made on 820 hidden genes",precision of calls on hidden genes,0.1,518,,0.18565502798920705,5 runs on shuffled labels,0.17309883403594453,0.009004377941624477,0.5115830115830116,0.16666666666666666,36.2,PASS
