number,key,title,family,verdict,metric,observed,null_mean,null_sd,null_high,p_value,effect,min_effect,n_hidden,hidden,null_kind,note,seconds
1,holdout_search,Hold out a category and search for a map that finds it,Search the map space,FAIL,F1 of hidden genes in the cluster chosen for their label on known genes,0.5229993576748945,0.5228882506377834,0.00028458570349608757,0.5234682356917609,0.45544554455445546,0.00011110703711103564,0.05,552,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",100 permutations of the hidden genes' labels over the same chosen clusters,,39.5
2,geneset_hunt,Find the map where your gene list is one cluster,Search the map space,PASS,F1 of the hidden members against the best cluster's other genes,0.48704663212435234,0.029557377466035574,0.014502352409621543,0.050100143061516465,0.047619047619047616,0.45748925465831675,0.05,47,30% of the 'pseudogene' genes of gene_type,"20 random sets of the same size, same walk",,37.4
3,recoverability_atlas,Ask which categories the data can rediscover,Search the map space,PASS,hidden-gene AUROC of the categories the atlas ranks in its top half,0.7410854867092711,0.487926688636969,0.034670395962295035,0.5303057376157514,0.047619047619047616,0.2531587980723021,0.05,482,30% of the pb_transferred_phenotype labels,20 atlases and recoveries from shuffled labels,,3.9
4,consensus_modules,Keep only the modules that survive the whole walk,Search the map space,PASS,F1 of hidden genes in the module chosen for their label on known genes,0.21145778602979018,0.1368585214315706,0.02055518932318955,0.16967656626321742,0.009900990099009901,0.07459926459821958,0.05,301,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",100 permutations of the hidden genes' labels over the same chosen modules,,0.1
5,blind_battery,"Tune a map without labels, then read what it encodes",Search the map space,PASS,share of first-half findings that replicate on the second half,1.0,0.030645161290322586,0.03181142406986455,0.08387096774193542,0.09090909090909091,0.9693548387096774,0.2,62,"held-out features the map separates made on half the genes, checked on the other half",10 runs with the second half scrambled,,2.0
6,block_ablation,Find which kind of evidence carries a label,Search the map space,PASS,hidden accuracy of the evidence ranked first (expr),0.5230263157894737,0.44910206258890467,0.053300977843060295,0.5019736842105263,0.18421052631578946,0.073924253200569,0.02,608,25% of the pb_transferred_phenotype labels,the 37 kinds of evidence chosen at random,,2.5
7,feature_knn,Call a gene by the genes that behave like it,Borrow from neighbours,PASS,correct calls per hidden gene,0.5986842105263158,0.4027960526315789,0.02625867568676521,0.4421875,0.09090909090909091,0.1958881578947369,0.05,608,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",10 runs on shuffled labels,,1.5
8,map_neighbours,Call a gene by its neighbours on the map,Borrow from neighbours,PASS,correct calls per hidden gene,0.569937369519833,0.39217118997912326,0.017606914640304318,0.41774530271398747,0.047619047619047616,0.17776617954070972,0.05,479,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",20 runs on shuffled labels,,0.3
9,cluster_guilt,Name a cluster by the label it is enriched for,Borrow from neighbours,PASS,precision of calls on hidden genes,0.875,0.0,0.0,0.0,0.047619047619047616,0.875,0.1,40,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 40 calls made on 479 hidden genes",20 runs on shuffled labels,,0.1
10,label_outliers,Find genes whose label their neighbours contradict,Borrow from neighbours,PASS,AUROC of surprise for the swapped labels,0.7384772941748405,0.5132844447939603,0.037484352834663594,0.582542752151906,0.047619047619047616,0.22519284938088024,0.1,121,"121 labels (5%) swapped to a wrong class, in proportion to class size",20 random sets of the same size,,0.8
11,layer_propagation,Diffuse a label across one measured network,Walk the networks,PASS,correct calls per hidden gene,0.42269736842105265,0.3245065789473684,0.015093093220083764,0.3493421052631579,0.09090909090909091,0.09819078947368426,0.05,608,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",10 runs on shuffled labels,,0.4
12,layer_vote,"Let every network vote, weighted by what it has earned",Walk the networks,PASS,correct calls per hidden gene,0.5986842105263158,0.3398026315789474,0.09685587001718948,0.40394736842105267,0.16666666666666666,0.2588815789473684,0.05,608,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",5 runs on shuffled labels,,1.6
13,physical_partners,Place a protein by the proteins it physically touches,Walk the networks,FAIL,correct calls per hidden gene,0.3333333333333333,0.2833333333333333,0.14582671942674097,0.5555555555555556,0.38095238095238093,0.04999999999999999,0.05,18,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",20 runs on shuffled labels,,0.1
14,structural_homology,Annotate function through shared fold,Walk the networks,PASS,correct calls per hidden gene,0.7569444444444444,0.30347222222222225,0.0753752188130231,0.42812500000000003,0.047619047619047616,0.45347222222222217,0.05,144,"25% of the ec_number labels, whole orthogroups at a time",20 runs on shuffled labels,,0.1
15,multiplex_modules,Find the communities several networks agree on,Walk the networks,PASS,F1 of hidden genes in the community chosen for their label on known genes,0.3574409751786213,0.27248978223480763,0.015259698599104466,0.2983690339932174,0.009900990099009901,0.08495119294381365,0.05,602,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",100 permutations of the hidden genes' labels over the same chosen communities,,0.1
16,link_prediction,Predict the contacts an interactome missed,Walk the networks,PASS,AUROC of hidden pairs against degree-matched non-pairs,0.8512658227848101,0.5235759493670886,0.08847809252529099,0.6544303797468354,0.16666666666666666,0.3276898734177215,0.05,16,20% of the xlms edges (16),5 models trained with every gene's evidence read from a random other gene,,0.1
17,attention_correction,"Read the literature for biology, not fame",Walk the networks,FAIL,share of the top 22 corrected pairs sharing a pb_transferred_phenotype label,0.6363636363636364,0.5022727272727272,0.115417853869042,0.7272727272727273,0.19047619047619047,0.13409090909090915,0.05,22,"the pb_transferred_phenotype labels, never used to build the literature layer",20 random sets of co-mentioned pairs,,0.0
18,unwritten_links,List what the data says and the literature has not written,Walk the networks,PASS,AUROC of hidden pairs against random non-pairs,0.5532508575172467,0.4993010752688171,0.0014766198605816864,0.5018010752688172,0.09090909090909091,0.053949782248429556,0.02,558,"the literature's 558 co-mentioned pairs, never used to count measurement support",10 runs with the measurement layers' gene identities permuted,,0.0
19,supervised_classifier,Train a classifier on the known genes and call the rest,Learn from examples,PASS,correct calls per hidden gene,0.5756578947368421,0.3463442477493075,0.019296420013292563,0.37808685867117375,7.189309366331528e-33,0.22931364698753465,0.05,608,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time",the analytic chance level,,0.1
20,positive_unlabeled,"Learn what makes your list special, from positives alone",Learn from examples,PASS,AUROC of hidden members against every other gene,0.996297061366262,0.519991852004866,0.04605272027930658,0.5807242534829811,0.09090909090909091,0.476305209361396,0.1,47,30% of the 'pseudogene' genes of gene_type (158 genes),10 random sets of the same size,,13.5
21,trait_regression,"Predict a measurement, and find the genes that defy the prediction",Learn from examples,PASS,rank correlation of predicted and hidden values,0.4998895920062477,0.0,0.030485538042484616,0.05014871007988719,9.947537961012884e-61,0.4998895920062477,0.1,1077,20% of the measured piggybac_mis values,the chance distribution of a rank correlation,,854.6
22,masked_imputation,"Fill in what was never measured, and say where that is honest",Learn from examples,PASS,median per-column rank correlation on hidden entries,0.7195235752028717,-0.0025083346526443315,0.0014917534547141305,-0.0007533110905581397,0.25,0.722031909855516,0.1,51515,10% of every column's measured entries,3 completions of the table with each column shuffled independently,,76.0
23,condition_shift,"Find what matters more in one condition, and why",Learn from examples,PASS,rank correlation of predicted and hidden values,0.6313707867980614,0.0,0.029578550313870463,0.04865671526631691,2.1438760254992042e-101,0.6313707867980614,0.1,1144,20% of the expr_gametocyte_v-specific shift,the chance distribution of a rank correlation,,209.8
24,set_enrichment,Describe what your gene list has in common,Start from a gene list,PASS,AUROC of hidden members against every other gene,0.9678772623756442,0.49876429056580085,0.0037071283025975513,0.5,0.09090909090909091,0.46911297180984335,0.1,63,40% of the 'pseudogene' genes of gene_type (158 genes),10 random sets of the same size,,5.7
25,seed_expansion,Grow your gene list along the networks,Start from a gene list,PASS,AUROC of hidden members against every other gene,0.9917793232191083,0.49188260766447084,0.03919903892915718,0.54041692487778,0.09090909090909091,0.4998967155546375,0.1,47,30% of the 'pseudogene' genes of gene_type (158 genes),10 random sets of the same size,,0.1
26,split_clusters,Find categories that split in two on another measurement,Contrast and combine layers,INCONCLUSIVE,share of findings that replicate,,,0.0,,1.0,,0.2,0,half of the genes' clusters that share a pb_transferred_phenotype and split on stage_enriched_derived,the second half scrambled,"only 0 findings on the first half, 3 needed",0.0
27,conjunctions,Find kinds of gene defined by two labels at once,Contrast and combine layers,INCONCLUSIVE,share of findings that replicate,,,0.0,,1.0,,0.2,0,half of the genes' pb_transferred_phenotype x stage_enriched_derived combinations,the second half scrambled,"only 0 findings on the first half, 3 needed",0.0
28,paralog_divergence,Find paralogs that changed jobs,Contrast and combine layers,FAIL,AUROC of profile divergence for paralogs with different pb_transferred_phenotype,0.42902711323763953,0.46435406698564596,0.06512623006445224,0.5456539074960128,0.7142857142857143,-0.03532695374800643,0.05,71,"the pb_transferred_phenotype labels, withheld from the profiles",20 random reassignments of divergence to pairs,,0.2
29,ortholog_transfer,Carry what one parasite shows to the other,Cross species and strata,PASS,rank correlation of transferred and hidden values,0.3269520893010599,0.0013948933576739039,0.04179216619723197,0.04679703463590562,0.047619047619047616,0.325557195943386,0.1,661,25% of the genes measured in both species,20 runs with the orthologs' values dealt to random genes,,0.0
30,stratum_focus,Test inference on the genes orthology cannot reach,Cross species and strata,INCONCLUSIVE,correct calls per hidden gene,,,0.0,,1.0,,0.05,0,pb_transferred_phenotype labels,shuffled labels,too few labelled genes this strategy can speak about,0.0
31,triangulation,Call a gene only when independent strategies agree,Combine strategies,PASS,precision of calls on hidden genes,0.6302367941712204,0.40143955175045604,0.016773968686877524,0.41802227103345024,0.16666666666666666,0.22879724242076432,0.1,549,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 549 calls made on 608 hidden genes",5 runs on shuffled labels,,1.5
32,understudied_first,Put the understudied genes first,Combine strategies,PASS,precision of calls on hidden genes,0.645083932853717,0.4025428207290188,0.022466284841697395,0.429765590446705,0.16666666666666666,0.2425411121246982,0.1,417,"25% of the pb_transferred_phenotype labels, whole orthogroups at a time; 417 calls made on 458 hidden genes",5 runs on shuffled labels,,1.9
33,neighbour_space,Put every layer into one space and read a gene's neighbourhood,Combine strategies,PASS,AUROC of hidden coexpression edges against degree-matched non-pairs,0.6881683656955765,0.5034781151702606,0.004065030490331035,0.5093500625832386,0.09090909090909091,0.18469025052531585,0.05,3874,"the coexpression edges between held-out orthogroups (3,874), the coexpression layer itself removed from the features",10 configuration-model rewirings of the hidden edges,,1.9
34,network_training,Train on the networks and rank the edges they are missing,Combine strategies,PASS,AUROC of hidden coexpression edges against degree-matched non-pairs,0.6881683656955765,0.5034781151702606,0.004065030490331035,0.5093500625832386,0.09090909090909091,0.18469025052531585,0.05,3874,"the coexpression edges between held-out orthogroups (3,874), the coexpression layer itself removed from the features",10 configuration-model rewirings of the hidden edges,,1.8
