gene_id	antisense_expression_percentile
TGME49_200010	89.4
TGME49_200110	38.9
TGME49_200130	0.0
TGME49_200230	15.7
TGME49_200240	24.9
TGME49_200250	93.8
TGME49_200260	72.3
TGME49_200270	60.2
TGME49_200280	49.6
TGME49_200290	72.5
TGME49_200310	92.0
TGME49_200320	78.6
TGME49_200330	51.7
TGME49_200340	83.9
TGME49_200350	85.6
TGME49_200360	90.5
TGME49_200370	56.5
TGME49_200385	76.3
TGME49_200400	64.5
TGME49_200410	18.0
TGME49_200430	22.3
TGME49_200440	39.5
TGME49_200450	17.1
TGME49_200460	22.6
TGME49_200470	71.7
TGME49_200480	0.0
TGME49_200590	25.0
TGME49_200595	49.1
TGME49_200600	70.5
TGME49_200700	74.9
TGME49_201100	78.1
TGME49_201110	67.4
TGME49_201120	44.0
TGME49_201130	69.1
TGME49_201140	48.0
TGME49_201150	61.2
TGME49_201160	88.2
TGME49_201170	84.6
TGME49_201180	60.6
TGME49_201200	63.5
TGME49_201210	16.1
TGME49_201220	45.0
TGME49_201230	40.9
TGME49_201240	23.4
TGME49_201250	67.6
TGME49_201260	73.2
TGME49_201270	66.0
TGME49_201380	63.0
TGME49_201390	92.1
TGME49_201400	59.9
TGME49_201520	74.8
TGME49_201630	76.4
TGME49_201660	90.4
TGME49_201670	49.2
TGME49_201680	95.2
TGME49_201690	61.6
TGME49_201700	74.4
TGME49_201710	71.8
TGME49_201720	56.8
TGME49_201730	22.9
TGME49_201740	25.3
TGME49_201750	63.7
TGME49_201760	74.0
TGME49_201770	84.7
TGME49_201775	78.7
TGME49_201780	92.5
TGME49_201785	30.5
TGME49_201790	66.9
TGME49_201800	75.9
TGME49_201810	89.9
TGME49_201820	83.8
TGME49_201830	37.1
TGME49_201840	61.7
TGME49_201850	93.2
TGME49_201860	98.4
TGME49_201870	61.4
TGME49_201880	64.1
TGME49_201900	58.4
TGME49_202010	23.4
TGME49_202020	88.9
TGME49_202040	49.8
TGME49_202050	89.1
TGME49_202065	53.8
TGME49_202070	22.3
TGME49_202080	62.3
TGME49_202090	94.2
TGME49_202100	84.1
TGME49_202110	94.1
TGME49_202120	59.9
TGME49_202140	91.8
TGME49_202160	72.7
TGME49_202170	79.1
TGME49_202180	85.2
TGME49_202190	33.0
TGME49_202200	77.8
TGME49_202205	95.3
TGME49_202210	88.4
TGME49_202220	90.5
TGME49_202230	65.3
TGME49_202240	69.8
TGME49_202250	56.1
TGME49_202255	71.8
TGME49_202285	90.5
TGME49_202290	55.6
TGME49_202300	96.2
TGME49_202310	82.3
TGME49_202330	37.1
TGME49_202340	11.4
TGME49_202350	92.3
TGME49_202360	22.5
TGME49_202370	73.0
TGME49_202375	71.3
TGME49_202380	85.1
TGME49_202390	48.6
TGME49_202400	77.7
TGME49_202410	51.0
TGME49_202420	68.0
TGME49_202430	63.9
TGME49_202440	82.4
TGME49_202445	57.0
TGME49_202450	80.0
TGME49_202460	69.9
TGME49_202470	91.2
TGME49_202480	89.2
TGME49_202490	56.1
TGME49_202500	95.2
TGME49_202510	78.4
TGME49_202520	94.5
TGME49_202530	67.9
TGME49_202540	85.2
TGME49_202550	48.5
TGME49_202568	82.5
TGME49_202572	52.6
TGME49_202580	82.5
TGME49_202590	71.9
TGME49_202600	95.3
TGME49_202610	82.5
TGME49_202620	80.4
TGME49_202630	66.6
TGME49_202640	89.0
TGME49_202650	84.7
TGME49_202680	88.1
TGME49_202690	43.8
TGME49_202700	50.6
TGME49_202720	47.4
TGME49_202730	79.5
TGME49_202735	96.7
