gene_id	cdpk1_thiophospho_peptides
TGGT1_205130	1
TGGT1_234410	1
TGGT1_269885	1
TGGT1_286420	3
TGGT1_294800	6
TGGT1_309960	1
TGGT1_313590	1
TGGT1_316400	8
TGGT1_360830	1
TGGT1_363030	7
TGGT1_408820	1
TGGT1_410370	3
TGGT1_411760	1
TGME49_200250	1
TGME49_201780	1
TGME49_202480	1
TGME49_202840	2
TGME49_203310	10
TGME49_203990	1
TGME49_204020	1
TGME49_204050	1
TGME49_204400	1
TGME49_204530	1
TGME49_205250	3
TGME49_205320	2
TGME49_205340	1
TGME49_205380	2
TGME49_205470	6
TGME49_205510	1
TGME49_205558	2
TGME49_205700	3
TGME49_206470	1
TGME49_206590	1
TGME49_206630	1
TGME49_206670	1
TGME49_207240	1
TGME49_207440	1
TGME49_207840	1
TGME49_208030	4
TGME49_208450	1
TGME49_209030	11
TGME49_209100	1
TGME49_209290	1
TGME49_209600	2
TGME49_209910	2
TGME49_209950	1
TGME49_210690	1
TGME49_211030	1
TGME49_211420	1
TGME49_211680	9
TGME49_212090	1
TGME49_212210	1
TGME49_212290	1
TGME49_213350	1
TGME49_214080	8
TGME49_214110	1
TGME49_214260	1
TGME49_214290	2
TGME49_214350	1
TGME49_214940	2
TGME49_215220	1
TGME49_215460	2
TGME49_215980	2
TGME49_216000	1
TGME49_216170	1
TGME49_216580	1
TGME49_216650	1
TGME49_216860	1
TGME49_216880	2
TGME49_217800	1
TGME49_218260	2
TGME49_218580	1
TGME49_218780	1
TGME49_218960	1
TGME49_219270	2
TGME49_219320	4
TGME49_219540	1
TGME49_219630	1
TGME49_219690	1
TGME49_219860	1
TGME49_220270	1
TGME49_220450	1
TGME49_220510	1
TGME49_220950	3
TGME49_221210	1
TGME49_221470	5
TGME49_221620	5
TGME49_222310	1
TGME49_223050	2
TGME49_223590	1
TGME49_223880	1
TGME49_223920	2
TGME49_223940	1
TGME49_224720	1
TGME49_224900	1
TGME49_225050	1
TGME49_225080	2
TGME49_225850	1
TGME49_225930	1
TGME49_226030	1
TGME49_226090	1
TGME49_226410	2
TGME49_226660	1
TGME49_226860	1
TGME49_226960	5
TGME49_227280	4
TGME49_227290	1
TGME49_227360	1
TGME49_227610	1
TGME49_227620	4
TGME49_228190	1
TGME49_228230	1
TGME49_228400	1
TGME49_228470	1
TGME49_229360	2
TGME49_229460	1
TGME49_229480	4
TGME49_229630	1
TGME49_229640	1
TGME49_229670	1
TGME49_229790	1
TGME49_230160	2
TGME49_230380	1
TGME49_230410	4
TGME49_231140	1
TGME49_231630	5
TGME49_231640	6
TGME49_232030	1
TGME49_232060	1
TGME49_232080	1
TGME49_232150	1
TGME49_232300	2
TGME49_232350	11
TGME49_232410	1
TGME49_232710	2
TGME49_232830	1
TGME49_233460	9
TGME49_233480	2
TGME49_234230	1
TGME49_234270	1
TGME49_234280	1
TGME49_234900	1
TGME49_234970	1
TGME49_235160	3
TGME49_235420	1
TGME49_235470	7
TGME49_235930	1
TGME49_235970	1
TGME49_236040	7
TGME49_236110	1
TGME49_236270	1
TGME49_236540	1
TGME49_236570	1
TGME49_238250	1
TGME49_238390	1
TGME49_238995	1
TGME49_239100	3
TGME49_239260	4
TGME49_239500	1
TGME49_239760	2
TGME49_240220	1
TGME49_240600	1
TGME49_240890	4
TGME49_241000	1
TGME49_242625	1
TGME49_243540	1
TGME49_243570	1
TGME49_243730	3
TGME49_243960	1
TGME49_243990	1
TGME49_244250	1
TGME49_244280	1
TGME49_244560	11
TGME49_245460	3
TGME49_246080	1
TGME49_246460	1
TGME49_246580	1
TGME49_247350	1
TGME49_247440	1
TGME49_247460	1
TGME49_247510	1
TGME49_247520	1
TGME49_247550	3
TGME49_248160	1
TGME49_248340	4
TGME49_248480	1
TGME49_248810	1
TGME49_249030	1
TGME49_249900	1
TGME49_250040	1
TGME49_250710	1
TGME49_250770	5
TGME49_250820	1
TGME49_251680	2
TGME49_251810	2
TGME49_251840	2
TGME49_252200	1
TGME49_252340	1
TGME49_253040	1
TGME49_253060	1
TGME49_253430	1
TGME49_253750	1
TGME49_254220	1
TGME49_254480	1
TGME49_254870	2
TGME49_254940	1
TGME49_255190	1
TGME49_255260	2
TGME49_255340	1
TGME49_255420	1
TGME49_256060	1
TGME49_256760	5
TGME49_256990	1
TGME49_257680	1
TGME49_258470	1
TGME49_258660	1
TGME49_259240	2
TGME49_259550	1
TGME49_259630	1
TGME49_260260	1
TGME49_260440	1
TGME49_260540	1
TGME49_261250	2
TGME49_261440	1
TGME49_261480	2
TGME49_261570	1
TGME49_261740	1
TGME49_261950	3
TGME49_262390	1
TGME49_262620	2
TGME49_262670	4
TGME49_263040	2
TGME49_263050	2
TGME49_263090	8
TGME49_263300	3
TGME49_263530	1
TGME49_263700	3
TGME49_264080	1
TGME49_264610	1
TGME49_265450	1
TGME49_266060	2
TGME49_266960	1
TGME49_267400	2
TGME49_267730	1
TGME49_268370	1
TGME49_268850	3
TGME49_269290	1
TGME49_269442	1
TGME49_269660	1
TGME49_270250	8
TGME49_270510	6
TGME49_270770	1
TGME49_271050	3
TGME49_271100	1
TGME49_271430	1
TGME49_271970	1
TGME49_273090	2
TGME49_273460	1
TGME49_273520	1
TGME49_273560	1
TGME49_273760	16
TGME49_273870	1
TGME49_275440	1
TGME49_276930	1
TGME49_277080	1
TGME49_277270	3
TGME49_278280	1
TGME49_278975	1
TGME49_278990	1
TGME49_279390	1
TGME49_279420	1
TGME49_280600	1
TGME49_283550	1
TGME49_283850	1
TGME49_284560	1
TGME49_286450	1
TGME49_286580	1
TGME49_286590	1
TGME49_286630	1
TGME49_288360	3
TGME49_288380	12
TGME49_288500	1
TGME49_288650	5
TGME49_289100	1
TGME49_289300	1
TGME49_289330	1
TGME49_289530	2
TGME49_289650	1
TGME49_289690	5
TGME49_289830	1
TGME49_291180	1
TGME49_291900	1
TGME49_291930	1
TGME49_291950	1
TGME49_291960	1
TGME49_293180	1
TGME49_293690	1
TGME49_293860	1
TGME49_293870	4
TGME49_294670	1
TGME49_295110	2
TGME49_295125	2
TGME49_295350	1
TGME49_295360	2
TGME49_295710	1
TGME49_295850	2
TGME49_297060	1
TGME49_297745	1
TGME49_298020	1
TGME49_298610	1
TGME49_299050	2
TGME49_299210	1
TGME49_299780	1
TGME49_300000	1
TGME49_300140	2
TGME49_300200	3
TGME49_304480	1
TGME49_305050	3
TGME49_305140	1
TGME49_305160	3
TGME49_305180	1
TGME49_305340	1
TGME49_306660	1
TGME49_308020	4
TGME49_308090	14
TGME49_308840	1
TGME49_308920	2
TGME49_309120	4
TGME49_309190	1
TGME49_309560	1
TGME49_309590	7
TGME49_309730	2
TGME49_309810	1
TGME49_309820	1
TGME49_309910	1
TGME49_310060	1
TGME49_310420	1
TGME49_310640	2
TGME49_310670	2
TGME49_310750	1
TGME49_310780	1
TGME49_310900	1
TGME49_311230	2
TGME49_311240	3
TGME49_311470	1
TGME49_311625	1
TGME49_311720	16
TGME49_312700	1
TGME49_312830	1
TGME49_313080	1
TGME49_313390	2
TGME49_313640	1
TGME49_314400	4
TGME49_315250	1
TGME49_315270	2
TGME49_315810	1
TGME49_316310	1
TGME49_316340	5
TGME49_317720	3
TGME49_318230	2
TGME49_318430	1
TGME49_318710	1
TGME49_319560	1
TGME49_319610	1
TGME49_320020	1
TGME49_320050	3
TGME49_320600	1
TGME49_321410	2
TGME49_321500	1
TGME49_321530	1
TGME49_321620	1
TGME49_321630	1
TGME49_321680	1
TGME49_324600	3
