gene_id	n_crosslink_partners
TGME49_201680	6
TGME49_202040	1
TGME49_202120	1
TGME49_202370	4
TGME49_202380	1
TGME49_203010	1
TGME49_203170	1
TGME49_203300	1
TGME49_203310	11
TGME49_203380	1
TGME49_203540	1
TGME49_203630	1
TGME49_203880	1
TGME49_204020	1
TGME49_204350	1
TGME49_204400	1
TGME49_204530	1
TGME49_205220	1
TGME49_205340	3
TGME49_205380	1
TGME49_205440	2
TGME49_205470	4
TGME49_205558	1
TGME49_205650	1
TGME49_205710	2
TGME49_206360	1
TGME49_206620	2
TGME49_207100	1
TGME49_207390	1
TGME49_207440	2
TGME49_207640	1
TGME49_207770	2
TGME49_207840	3
TGME49_207920	1
TGME49_207930	1
TGME49_208370	1
TGME49_209000	1
TGME49_209030	13
TGME49_209270	1
TGME49_209420	1
TGME49_209600	1
TGME49_209690	1
TGME49_209830	2
TGME49_209910	1
TGME49_210408	1
TGME49_210690	4
TGME49_211270	1
TGME49_211390	1
TGME49_211695	1
TGME49_212075	1
TGME49_212170	1
TGME49_212290	2
TGME49_212880	3
TGME49_212950	1
TGME49_212970	1
TGME49_213030	1
TGME49_213350	2
TGME49_214080	1
TGME49_214130	1
TGME49_214170	1
TGME49_214210	3
TGME49_214260	1
TGME49_214590	1
TGME49_214600	1
TGME49_215220	1
TGME49_215260	1
TGME49_215460	2
TGME49_215690	1
TGME49_215980	1
TGME49_216050	1
TGME49_216080	1
TGME49_216160	1
TGME49_216190	1
TGME49_216210	1
TGME49_216450	3
TGME49_216670	2
TGME49_216880	1
TGME49_216900	1
TGME49_217820	2
TGME49_218000	1
TGME49_218400	1
TGME49_218410	1
TGME49_218570	1
TGME49_218920	2
TGME49_219140	1
TGME49_219310	1
TGME49_219370	1
TGME49_219540	2
TGME49_219660	1
TGME49_219690	2
TGME49_219720	1
TGME49_219760	2
TGME49_220240	1
TGME49_220400	3
TGME49_221210	1
TGME49_221320	1
TGME49_221330	1
TGME49_221370	1
TGME49_221470	1
TGME49_221480	1
TGME49_221950	1
TGME49_222000	1
TGME49_222140	1
TGME49_222860	1
TGME49_222935	1
TGME49_223050	2
TGME49_223080	1
TGME49_223390	1
TGME49_223450	1
TGME49_223480	1
TGME49_223590	2
TGME49_223710	1
TGME49_223920	1
TGME49_224260	1
TGME49_224610	1
TGME49_224870	3
TGME49_225028	1
TGME49_225080	4
TGME49_225745	1
TGME49_226410	2
TGME49_226450	1
TGME49_226720	1
TGME49_226830	1
TGME49_226960	3
TGME49_226970	3
TGME49_227150	1
TGME49_227280	6
TGME49_227360	2
TGME49_227600	2
TGME49_227620	14
TGME49_227840	1
TGME49_227960	4
TGME49_228000	1
TGME49_228190	2
TGME49_228210	5
TGME49_228290	2
TGME49_228300	1
TGME49_228395	1
TGME49_228470	1
TGME49_228750	1
TGME49_229000	2
TGME49_229210	1
TGME49_229250	1
TGME49_229480	1
TGME49_229670	1
TGME49_229950	5
TGME49_229990	1
TGME49_230700	1
TGME49_230710	1
TGME49_231080	1
TGME49_231140	5
TGME49_231200	1
TGME49_231440	1
TGME49_231480	1
TGME49_231600	1
TGME49_231970	1
TGME49_232080	1
TGME49_232190	1
TGME49_232230	3
TGME49_232300	2
TGME49_232350	4
TGME49_232660	1
TGME49_232710	2
TGME49_232720	1
TGME49_233090	1
TGME49_233230	1
TGME49_233300	1
TGME49_233350	1
TGME49_233480	4
TGME49_233810	1
TGME49_234250	1
TGME49_234450	2
TGME49_234505	1
TGME49_234930	1
TGME49_235020	2
TGME49_235360	2
TGME49_235398	1
TGME49_235430	1
TGME49_235450	1
TGME49_235470	1
TGME49_235540	1
TGME49_235560	1
TGME49_235620	1
TGME49_235680	1
TGME49_235970	1
TGME49_236040	2
TGME49_236580	1
TGME49_236650	1
TGME49_236920	1
TGME49_237090	1
TGME49_238010	2
TGME49_238070	1
TGME49_238165	1
TGME49_238180	2
TGME49_238250	4
TGME49_239100	2
TGME49_239260	1
TGME49_239400	1
TGME49_239500	1
TGME49_239700	1
TGME49_239740	1
TGME49_240650	2
TGME49_240660	2
TGME49_240870	2
TGME49_242010	1
TGME49_242055	1
TGME49_242290	2
TGME49_242330	1
TGME49_242340	1
TGME49_242640	2
TGME49_242860	1
TGME49_243265	1
TGME49_243570	1
TGME49_243710	1
TGME49_243800	2
TGME49_244110	1
TGME49_244130	1
TGME49_244320	2
TGME49_244390	1
TGME49_244470	1
TGME49_244560	2
TGME49_244680	1
TGME49_245440	1
TGME49_245460	1
TGME49_245620	1
TGME49_246500	1
TGME49_246510	1
TGME49_246560	1
TGME49_246730	1
TGME49_247470	1
TGME49_247510	1
TGME49_247580	1
TGME49_248340	3
TGME49_248370	1
TGME49_248390	1
TGME49_248470	1
TGME49_248480	1
TGME49_248600	1
TGME49_248950	1
TGME49_249270	1
TGME49_249480	1
TGME49_249590	1
TGME49_249840	1
TGME49_250710	1
TGME49_250760	1
TGME49_250790	1
TGME49_250810	2
TGME49_250830	2
TGME49_250850	1
TGME49_250880	1
TGME49_251500	3
TGME49_251680	1
TGME49_252220	2
TGME49_253520	1
TGME49_254120	1
TGME49_254520	2
TGME49_254720	3
TGME49_254770	1
TGME49_255240	1
TGME49_255450	1
TGME49_256760	1
TGME49_256990	1
TGME49_257090	1
TGME49_257350	1
TGME49_257390	1
TGME49_257490	1
TGME49_257680	1
TGME49_258150	3
TGME49_259240	1
TGME49_260010	1
TGME49_260450	1
TGME49_260580	1
TGME49_260640	1
TGME49_261010	3
TGME49_261210	3
TGME49_261240	1
TGME49_261570	6
TGME49_261950	1
TGME49_262040	3
TGME49_262460	1
TGME49_262670	1
TGME49_262690	3
TGME49_262825	1
TGME49_263050	2
TGME49_263060	1
TGME49_263090	11
TGME49_263870	1
TGME49_264875	1
TGME49_265205	1
TGME49_265310	2
TGME49_265330	1
TGME49_265820	1
TGME49_266060	3
TGME49_266130	1
TGME49_266390	1
TGME49_266990	1
TGME49_267050	2
TGME49_267060	2
TGME49_267080	3
TGME49_267420	1
TGME49_268000	1
TGME49_268010	2
TGME49_268170	1
TGME49_268178	1
TGME49_268240	1
TGME49_268650	1
TGME49_268780	2
TGME49_268850	1
TGME49_269190	1
TGME49_269250	2
TGME49_269840	2
TGME49_269930	1
TGME49_269950	1
TGME49_270250	5
TGME49_270380	2
TGME49_270510	1
TGME49_270530	2
TGME49_270740	1
TGME49_270930	1
TGME49_271050	1
TGME49_271440	1
TGME49_271460	1
TGME49_271810	1
TGME49_272010	2
TGME49_272300	1
TGME49_272770	1
TGME49_272910	2
TGME49_273090	2
TGME49_273370	1
TGME49_273460	1
TGME49_273520	3
TGME49_273760	6
TGME49_273870	1
TGME49_275440	4
TGME49_275740	1
TGME49_275750	1
TGME49_275810	2
TGME49_276180	1
TGME49_277270	2
TGME49_277490	1
TGME49_277500	4
TGME49_277550	1
TGME49_277990	1
TGME49_278050	1
TGME49_278270	1
TGME49_278470	1
TGME49_278600	1
TGME49_279390	1
TGME49_279400	2
TGME49_280600	1
TGME49_280690	1
TGME49_280710	1
TGME49_282030	2
TGME49_282200	1
TGME49_283780	4
TGME49_283850	2
TGME49_284560	2
TGME49_285200	1
TGME49_285445	1
TGME49_285480	1
TGME49_286420	19
TGME49_287210	2
TGME49_287500	3
TGME49_288290	1
TGME49_288360	3
TGME49_288380	4
TGME49_288640	1
TGME49_289120	1
TGME49_289210	1
TGME49_289600	1
TGME49_289690	2
TGME49_289750	4
TGME49_289830	2
TGME49_290005	1
TGME49_290290	2
TGME49_290950	2
TGME49_291040	1
TGME49_291160	1
TGME49_291640	2
TGME49_292080	2
TGME49_292130	3
TGME49_292220	2
TGME49_292935	1
TGME49_292950	1
TGME49_293480	1
TGME49_293580	3
TGME49_293690	1
TGME49_294360	1
TGME49_294620	3
TGME49_294640	1
TGME49_294670	1
TGME49_294730	1
TGME49_294740	1
TGME49_295410	1
TGME49_297060	1
TGME49_297210	1
TGME49_297500	3
TGME49_297640	1
TGME49_299020	1
TGME49_299210	1
TGME49_299250	1
TGME49_300000	4
TGME49_300100	2
TGME49_300140	5
TGME49_300190	2
TGME49_300200	1
TGME49_300260	2
TGME49_300280	1
TGME49_300310	1
TGME49_300370	1
TGME49_301380	1
TGME49_304630	1
TGME49_304770	1
TGME49_305160	1
TGME49_305180	1
TGME49_305290	2
TGME49_305520	5
TGME49_306195	1
TGME49_306220	1
TGME49_306290	1
TGME49_306910	1
TGME49_306960	1
TGME49_308020	1
TGME49_309120	5
TGME49_309210	1
TGME49_309400	1
TGME49_309760	1
TGME49_309820	1
TGME49_310030	1
TGME49_310118	1
TGME49_310490	3
TGME49_310620	1
TGME49_311020	1
TGME49_311470	1
TGME49_311500	1
TGME49_311700	1
TGME49_311720	4
TGME49_312090	1
TGME49_312130	1
TGME49_312580	1
TGME49_312600	1
TGME49_313210	1
TGME49_313390	7
TGME49_313410	1
TGME49_313560	1
TGME49_313670	1
TGME49_313900	1
TGME49_313980	1
TGME49_314030	1
TGME49_314418	1
TGME49_314485	1
TGME49_314740	1
TGME49_314810	3
TGME49_315110	1
TGME49_315270	1
TGME49_315620	1
TGME49_315670	1
TGME49_315810	1
TGME49_316090	1
TGME49_316120	1
TGME49_316270	1
TGME49_316610	1
TGME49_316670	1
TGME49_317720	1
TGME49_318230	1
TGME49_318410	1
TGME49_318690	1
TGME49_319390	1
TGME49_319730	1
TGME49_319870	1
TGME49_321420	1
TGME49_321450	1
TGME49_321650	1
TGME49_321660	1
TGME49_326900	1
TGME49_500035	1
TGME49_500061	1
TGME49_500070	1
TGME49_500073	1
TGME49_500108	1
TGME49_500202	1
TGME49_500206	1
TGME49_500222	1
TGME49_500227	1
TGME49_500235	1
TGME49_500243	1
TGME49_500303	1
TGME49_500306	2
TGME49_500322	1
TGME49_500342	1
TGME49_500383	1
TGME49_500398	1
TGME49_500427	1
TGME49_500429	1
