gene_id	bzsub_A_expr	bzsub_B_expr	bzsub_C_expr	bzsub_D_expr	bzsub_E_expr
TGME49_295110	4.774314811	0.5648869462	0.9586706432	0.6047472622	3.603333059
TGME49_215775	4.058559412	0.303289684	0.596188465	0.2945945233	1.789421966
TGME49_309590	2.851376613	0.126064959	0.2387104648	0.11181086	0.872576925
TGME49_306455	2.637741601	0.1022343033	0.1602697927	0.1616930964	3.951493687
TGME49_258660	2.09648124	0.1321974922	0.1984905751	0.1225997355	2.141122856
TGME49_295105	2.149160858	0.06658149856	0.1357421575	0.1301246727	2.846076144
TGME49_314250	3.182730318	0.2156365478	0.4537369659	0.5806959848	4.674137835
TGME49_311470	1.81997552	0.06090583771	0.1204219292	0.1365019832	1.706186704
TGME49_201860	3.806910033	1.341080908	1.322631773	0.5775288487	3.897070363
TGME49_315210	1.894792071	0.0526390702	0.1522222348	0.2685496595	1.916562099
TGME49_297960	1.484188221	0.04423246331	0.06050439491	0.0481686129	1.868898649
TGME49_202500	2.150933937	0.1233661344	0.3584483422	0.39425161	3.020151413
TGME49_214080	1.971659523	0.1620347017	0.137567172	0.07721539446	2.581860988
TGME49_300100	1.408746606	0.0684356053	0.07297127573	0.03842378327	1.43595038
TGME49_217520	1.464600814	0.08340853665	0.09530079083	0.07059247219	1.391891
TGME49_237180	1.374057333	0.03145726259	0.07883164419	0.04626851749	1.750920573
TGME49_314260	2.162127758	0.1922619997	0.3679868242	0.7115094778	2.304268802
TGME49_269340	1.302784051	0.02806184258	0.0747108915	0.0972248923	1.418465469
TGME49_247520	1.233182659	0.06120594768	0.0937029859	0.1025076872	0.5581583108
TGME49_315220	1.426843242	0.1009674566	0.1490526116	0.06087082264	1.192761737
TGME49_306060	1.28129842	0.04099090919	0.1522806756	0.03795375851	1.3872428
TGME49_268880	1.422953505	0.08575396385	0.2649305186	0.08482137378	1.294683815
TGME49_223920	1.11304901	0.01714009769	0.04238750266	0.03107815839	1.503280986
TGME49_249370	3.393132161	2.273281807	1.683378085	1.060835251	1.838077469
TGME49_294400	1.26089759	0.03245125895	0.1091709766	0.05870786308	1.636434334
TGME49_244250	1.164248351	0.09419607561	0.09730142235	0.1142632576	0.8336696381
TGME49_258360	1.126983617	0.03457590463	0.07330395739	0.1038495293	1.273539903
TGME49_268760	1.116972559	0.0626274317	0.1147061927	0.08075900125	0.9240907593
TGME49_225200	1.388702214	0.139049028	0.2292454369	0.2291567594	1.472319668
TGME49_261740	0.8180273538	0.0247915698	0.02773154935	0.02332290639	0.3826388463
TGME49_295125	0.9122273397	0.005081579292	0.04103595612	0.03523942731	1.00275047
TGME49_296015	0.8335738029	0.02604097228	0.02969263414	0.00864606224	0.7317683179
