gene_id	fit_complete_medium_2025	fit_no_glutamine	fit_no_glucose	fit_glucose_dependence	fit_glucose_dependence_fdr
TGGT1_234460	1.214454367	0.5558481914	1.177240651	0.6433965483	0.04968682462
TGGT1_301400	0.8682221273	0.7572302799	1.406728901	0.6610458073	0.04968682462
TGGT1_232630	2.226064917	0.06521846076	0.7846191309	0.7082069906	0.02978841049
TGGT1_240500	1.606402834	0.5530314154	1.305654791	0.7487054997	0.008564322322
TGGT1_262980	1.008521628	0.1067371499	0.8524678144	0.751927356	0.01745616764
TGGT1_312420	1.788102919	0.2244096683	1.006510487	0.7770077661	0.00594202505
TGGT1_227440	0.4480960294	0.5976199816	1.432495582	0.8287035483	0.02471948173
TGGT1_207460B	0.3182203429	-0.08768298918	0.7565820121	0.8770921436	0.04327794445
TGGT1_232670	0.9273113737	-0.133435848	0.7990714353	0.9410690234	0.01486443295
TGGT1_293290	1.409585937	0.4840308025	1.413837904	0.9415753831	0.0007182302218
TGGT1_313760	0.7390039127	-0.3266627285	0.6445959405	0.9569497453	0.005556753998
TGGT1_290870	0.4970459	-0.219472674	0.7541508201	0.9722069402	0.004656717581
TGGT1_211600	0.9243885168	0.2100309089	1.20454212	0.997715309	0.002564563354
TGGT1_236870	1.922563131	-0.1860097992	0.816550167	1.001365487	4.212954056e-05
TGGT1_299030	0.8604960533	0.5278200261	1.528758616	1.023902381	0.01469656599
TGGT1_270240	1.700859366	0.1220665669	1.193374852	1.06658818	0.0007795990799
TGGT1_249580	0.2684920901	-0.04880303747	1.026588998	1.071537844	0.002040127879
TGGT1_222050	0.9982270766	0.2892694308	1.396461584	1.101054007	0.001325143341
TGGT1_242000	0.6861685792	-0.4101057934	0.6867980142	1.107856203	0.005166291177
TGGT1_269420	1.142398797	0.2581654953	1.342658209	1.110198209	0.0007231173102
TGGT1_230570	0.5279230092	0.3139192836	1.42067541	1.114721533	0.0001860870972
TGGT1_212140	-0.1257312246	-0.1181171007	1.013910775	1.118389144	0.00594202505
TGGT1_231210	-0.7549311464	-0.2888310562	0.8594195245	1.123704045	0.01745616764
TGGT1_223110	-0.5300170198	-0.04736247936	1.066932041	1.125033556	0.02260983788
TGGT1_237015	1.980410889	-0.3219174065	0.8214438913	1.143453825	1.414560736e-05
TGGT1_294370	0.3166822911	-0.1719908615	0.9535858664	1.160741304	0.003737398321
TGGT1_239440	1.717275807	-0.4175587068	0.7046603137	1.181392713	0.01874107238
TGGT1_266800	1.448720453	-0.1743595655	1.021343988	1.189066619	0.01473925169
TGGT1_207460A	1.023491784	-0.3969745498	0.7938174735	1.202340218	0.01200928153
TGGT1_233330	0.5698513483	-0.6716405942	0.53328994	1.204488891	0.002317781889
TGGT1_314900	0.1975937993	-0.4514320851	0.7144929585	1.220421186	0.01565189604
TGGT1_293180	1.416159807	-0.761486386	0.5130977009	1.287239954	0.000660663284
TGGT1_215210	0.8502729294	-0.301391861	0.9936775935	1.312698248	0.0005841480542
TGGT1_200385	1.612911709	0.6134423266	2.002802535	1.434881841	1.780032937e-05
TGGT1_243990	1.389876871	-0.5986188868	0.7994426674	1.447751667	0.0005845973694
TGGT1_260510	1.095592436	-0.9188048603	0.5420572132	1.500675379	0.0003722785814
TGGT1_260030	-0.1399679063	-0.4472734563	1.085077841	1.535204716	0.001266444319
TGGT1_232160	0.4508103309	0.06407040466	1.622824505	1.587288873	0.0001418483925
TGGT1_269900	0.9309099479	-0.7657324715	0.8754847389	1.592811699	0.0004482496717
TGGT1_293060	0.3031746092	-0.9941275904	0.649036967	1.629298988	0.0005446238732
TGGT1_221905	0.4219755743	-0.7398815082	0.9301372647	1.667113968	5.477914122e-05
TGGT1_262680	0.8861731827	-0.7868554384	1.201111696	1.840269718	0.0003397648337
TGGT1_265390	0.6345042235	-0.8266154617	1.016278321	1.854308174	5.015996252e-07
TGGT1_237890	-0.1402506893	-0.8918661948	0.9858504933	1.905574443	2.024600068e-05
TGGT1_221200A	0.3085725459	-0.9060091954	1.036847241	1.959846238	1.70744295e-05
TGGT1_300040	1.052515499	-1.082956139	0.9194779401	1.993730547	4.41296236e-08
TGGT1_310170	0.8672983403	-0.3840273139	1.66104956	2.087640517	1.352353571e-05
TGGT1_275630	-0.8019940139	-0.2579101435	1.879012319	2.139831362	2.492261807e-05
TGGT1_232350	1.110409462	-1.30092314	1.104815036	2.398378712	8.638255056e-09
TGGT1_219210	-1.578351866	-1.357587484	1.057299218	2.445275619	0.006844852687
TGGT1_209800	1.052289617	-1.188921236	1.242567905	2.495055615	2.518454112e-07
TGGT1_311625	-1.778598786	-1.520511684	1.583083719	2.709172712	0.001182326335
TGGT1_310460	0.2310881811	-1.900032693	1.32901992	3.211849198	9.154692333e-09
TGGT1_311100	1.933696946	0.8722341392	1.482235857	0.6161598517	0.07038012899
TGGT1_310210	0.516386076	-0.002583223278	0.734866791	0.7377473607	0.05021392808
TGGT1_312490	0.02883271969	0.01983539248	0.8090095937	0.7834591983	0.06003556411
TGGT1_290700	1.764373864	-0.3674924417	0.5532835757	0.9246369399	0.05012695263
TGGT1_244860	0.3403586061	-0.3127376595	0.9236858623	1.261945088	0.05792424077
