gene_id	fit_lipid_rich_p8	fit_lipid_limited_p8	fit_lipid_rich_p4p5	fit_lipid_limited_p4p5	fit_serum_differential_p8	fit_serum_differential_p4p5
TGGT1_248110	-2.955080834	-4.669019711	-0.9732542404	-3.221807815	1.713938877	2.248553575
TGGT1_231440	-3.936659395	-5.229406278	-0.5834982316	-2.296419924	1.292746883	1.712921693
TGGT1_275590	-0.6831841202	-1.509936498	-0.1540518228	-1.634758015	0.826752378	1.480706192
TGGT1_232340	-6.30947754	-6.15786449	-1.866015766	-3.302208865	-0.1516130506	1.436193099
TGGT1_208090	-6.73716963	-6.705078738	-2.163303444	-3.572657419	-0.03209089131	1.409353974
TGGT1_212930	-5.997341673	-5.710357805	-3.0582144	-4.38569617	-0.2869838683	1.32748177
TGGT1_217680	-0.8037951811	-3.493822899	0.8557228078	-0.4293461187	2.690027718	1.285068927
TGGT1_233695	-3.739603624	-5.312345299	-0.2419330761	-1.526300856	1.572741675	1.28436778
TGGT1_309600	-2.617767929	-3.822630026	-1.134722889	-2.229239518	1.204862097	1.094516629
TGGT1_227280	3.895856446	2.40399904	2.508664325	1.513414909	1.491857407	0.9952494159
TGGT1_261980	-0.6801104148	-3.329357314	0.6109029565	0.3701862386	2.6492469	0.2407167179
TGGT1_212130	-0.463549741	-2.957468644	0.3003953903	-0.3739449976	2.493918903	0.6743403879
TGGT1_264740	-2.411478725	-4.716036175	-0.6623757861	-1.358748321	2.30455745	0.6963725349
TGGT1_249990	0.5616705983	-1.707881511	1.476448294	0.5293553817	2.269552109	0.9470929122
TGGT1_261400	-4.171507956	-6.231581886	-0.6040555471	-0.4441108878	2.06007393	-0.1599446593
TGGT1_269175	-2.859256828	-4.5994199	-0.01070223212	-0.6419299431	1.740163072	0.631227711
TGGT1_320280	0.2365995027	-1.162419041	0.7131068753	0.6317522888	1.399018544	0.08135458653
TGGT1_310150	-1.409948816	-2.800613575	1.590800083	0.9518090902	1.390664759	0.6389909925
TGGT1_200370	0.438054715	-0.8269313071	1.534072416	1.287225258	1.264986022	0.2468471579
TGGT1_250880	0.3650594887	-1.15592937	0.5430993772	-0.3096295829	1.520988859	0.8527289601
TGGT1_242380	-5.978380011	-4.845771645	-2.777607145	-0.4692623836	-1.132608367	-2.308344762
TGGT1_221450	-7.139484863	-6.856380114	-4.605075428	-2.370102909	-0.2831047494	-2.234972519
TGGT1_310460	-6.076126239	-6.215679006	-2.496946211	-0.3568880331	0.1395527669	-2.140058178
TGGT1_270865	-7.622871997	-7.043228106	-4.562434362	-2.550342624	-0.5796438915	-2.012091739
