gene_id	te302107_tachy_r1	te302107_tachy_r2
TGME49_200010	-2.071574279	-1.822730619
TGME49_200130	1.12562915	1.537522685
TGME49_200250	0.5847942823	0.749557342
TGME49_200270	-5.884014333	-5.005147938
TGME49_200280	-0.5344454796	-0.2234595037
TGME49_200290	1.547847821	1.438173092
TGME49_200310	2.634905593	1.920512306
TGME49_200330	0.1441731254	-0.166557085
TGME49_200340	-0.2711228278	-0.3328386924
TGME49_200350	-2.595392595	-2.899784027
TGME49_200360	0.789980732	0.7430586449
TGME49_200370	-0.2117340056	-0.1952819463
TGME49_200385	-5.800181815	-4.972976887
TGME49_200400	-0.9254431043	-0.9370158309
TGME49_200410	-1.939891118	-1.632950747
TGME49_200430	0.5749929272	0.7284490744
TGME49_200440	-0.611487666	-0.5687845716
TGME49_200450	-1.517840617	-1.244335746
TGME49_200460	0.6386340642	0.8765621456
TGME49_200470	-0.2204683178	-0.2114969783
TGME49_200590	-0.7533696363	-0.8070720589
TGME49_200700	-5.131652063	-4.505970402
TGME49_201110	1.51014178	1.895571481
TGME49_201120	-1.706446633	-1.491532687
TGME49_201130	0.7262019515	0.659034086
TGME49_201140	0.2981935639	0.281332909
TGME49_201150	-0.1767060652	-0.2293871398
TGME49_201160	0.1761408539	0.2408798893
TGME49_201170	1.864753767	1.688529008
TGME49_201200	0.5626091965	0.4676830656
TGME49_201220	0.157319672	0.1695888721
TGME49_201230	-0.2553929696	0.2937829736
TGME49_201250	-0.7990320398	-0.6585932453
TGME49_201260	-0.1753236677	-0.2568095833
TGME49_201270	0.275054143	0.2981217444
TGME49_201380	0.007857941086	-0.01477070526
TGME49_201390	1.65470899	1.632911989
TGME49_201400	-0.6114764026	-0.01770037772
TGME49_201520	0.8800913926	0.7934823658
TGME49_201630	-1.651678189	-1.555586726
TGME49_201670	-2.51078403	-1.86139515
TGME49_201680	1.008533035	0.9476305219
TGME49_201700	1.30002294	1.217380991
TGME49_201710	0.4331839586	0.8342759553
TGME49_201720	0.5938279297	0.4844665281
TGME49_201740	-0.6108736188	-0.5415682479
TGME49_201760	0.8942078909	0.8912749724
TGME49_201770	0.3931186792	0.020020617
TGME49_201775	-1.589393915	-1.729513636
TGME49_201780	1.669485465	1.575952193
TGME49_201790	0.3177820701	0.221147824
TGME49_201800	1.752427918	1.752742906
TGME49_201810	-0.5153933101	-0.299645763
TGME49_201830	0.4959975955	0.6587865172
TGME49_201840	1.463660825	1.291516964
TGME49_201860	2.012183321	1.911179805
TGME49_201870	-0.8284650544	-1.068869955
TGME49_201880	2.294000059	2.013262255
TGME49_201900	0.03300441389	-0.1801221383
TGME49_202010	0.1371046946	0.1313907461
TGME49_202020	-1.197076482	-2.264774745
TGME49_202040	-0.4244051611	-0.7736127357
TGME49_202065	-2.759318928	-1.270082018
