bmdm_tpm	host_id	host_name
27504.68512	P08905	Lyz2
22931.36704	P18242	Ctsd
21622.18711	P09528	Fth1
17089.88146	P08226	Apoe
9414.879684	P47955	Rplp1
8740.787763	P60710	Actb
8038.488908	P20065	Tmsb4x
6836.264238	P10126	Eef1a1
6649.232442	P14106	C1qb
6539.021773	Q61207	Psap
5891.542325	P10605	Ctsb
5470.857542	P16045	Lgals1
5177.554586	Q99P91	Gpnmb
4723.816154	Q6ZWU9	Rps27
4578.489172	Q02105	C1qc
4524.38132	O54885	Tyrobp
4362.493397	P62264	Rps14
4114.723458	P00397	mt-Co1
4061.26972	P18760	Cfl1
4010.233055	P62911	Rpl32
3812.345578	P16858	Gapdh
3794.143132	P47964	Rpl36
3718.356498	P62947	Rpl41
3693.664399	P25444	Rps2
3634.579947	P21460	Cst3
3588.164968	P01887	B2m
3520.787921	P63323	Rps12
3468.548791	P62855	Rps26
3400.126865	P14869	Rplp0
3399.184339	P61514	Rpl37a
3392.087393	P01899	H2-D1
3305.639972	P62843	Rps15
3265.386929	P28798	Grn
3132.427052	P84099	Rpl19
3123.653334	Q61462	Cyba
3032.462447	P14131	Rps16
2953.792762	P98086	C1qa
2913.887067	P62274	Rps29
2791.214376	P31996	Cd68
2717.026195	P62281	Rps11
2711.32207	Q9CQR2	Rps21
2690.883691	Q6ZWV3	Rpl10
2678.684206	O70370	Ctss
2658.598911	P62862	Fau
2654.782389	P62918	Rpl8
2482.611607	O89051	Itm2b
2465.051777	P20491	Fcer1g
2464.459146	Q9Z126	Pf4
2450.231195	P52480	Pkm
2449.48101	P63028	Tpt1
2411.375251	P99027	Rplp2
2366.78136	P58252	Eef2
2361.556197	Q60605	Myl6
2324.971588	P05064	Aldoa
2234.49689	P63260	Actg1
2191.277751	Q9JJI8	Rpl38
2191.032761	P19253	Rpl13a
2182.519552	P97461	Rps5
2172.053747	P14206	Rpsa
2140.761379	P41105	Rpl28
2120.219415	P07091	S100a4
