hepatocyte_pf_infection_log2fc	hepatocyte_pf_infection_padj	host_id	host_name
-0.5316466259	0.4209868667	P02768	ALB
-0.3324710375	0.3005120799	P00395	MT-CO1
-0.3793711315	0.2816090673	P03905	MT-ND4
-0.4667759141	0.236508846	P00156	MT-CYB
-0.5863145332	0.2229482068	P04114	APOB
-0.3537915174	0.3195994159	P03891	MT-ND2
-0.3094316072	0.2813619255	P00403	MT-CO2
-0.2509633927	0.3872370038	P03915	MT-ND5
-0.02312102717	0.9607606708	P02675	FGB
-0.4393846622	0.2357917706	P00414	MT-CO3
-0.2441457657	0.5561617937	P02671	FGA
-0.5919385192	0.2808741936	P00450	CP
0.07432737863	0.7402307991	P04179	SOD2
-0.04686342273	0.9580912787	O00767	SCD
-0.07368666223	0.86840106	P02679	FGG
-0.9526496551	0.2242715681	P01024	C3
-0.2263904477	0.5647354296	P01009	SERPINA1
-0.8684605388	0.5072602346	P02787	TF
-0.3957299288	0.2620174029	P00846	MT-ATP6
-0.3948617543	0.2692700843	P03886	MT-ND1
0.2180999928	0.3238728537	P02792	FTL
-0.290902325	0.4361816712	Q8N131	TMEM123
-0.5541203988	0.4390005215	P02751	FN1
0.02324312068	0.9231751968	P61769	B2M
0.1351278796	0.8580276482	P02763	ORM1
-0.7992613057	0.2743833929	P05062	ALDOB
-0.5262909332	0.3796801647	P02774	GC
0.05156946451	0.8761726822	Q01082	SPTBN1
-0.2870472039	0.7035681554	P49908	SELENOP
-0.3390670076	0.4209868667	P00352	ALDH1A1
-0.6312615912	0.3806327166	P02765	AHSG
-0.7261017959	0.3687489394	P02749	APOH
-0.5327530214	0.349886707	P02760	AMBP
0.2094169745	0.6062576651	P60709	ACTB
0.7747769042	0.3975408408	Q99541	PLIN2
-0.7525607072	0.4374959736	P08684	CYP3A4
0.5400030783	0.1450648624	Q13501	SQSTM1
-0.06516777892	0.9539074961	P00738	HP
-0.5740204713	0.3330360676	P09871	C1S
-0.8838610491	0.2876575184	P01042	KNG1
0.1708378056	0.5043825725	P04406	GAPDH
0.09933827171	0.7798141054	P55061	TMBIM6
0.1499619017	0.5709020027	P10620	MGST1
0.2114455583	0.439998095	P00338	LDHA
-0.1262928682	0.8058269392	P33121	ACSL1
0.2013455442	0.3392653621	P02794	FTH1
-0.2115077027	0.2620174029	P68104	EEF1A1
-0.5749007667	0.2124809558	P03897	MT-ND3
-0.4866318273	0.2428974503	P10909	CLU
0.2151157501	0.3114647237	P07900	HSP90AA1
-0.1085499123	0.6073588415	P13693	TPT1
0.285556827	0.2650875749	P06733	ENO1
-0.4747610025	0.2896679745	P04003	C4BPA
-0.3872248132	0.6175775464	P02753	RBP4
0.7365347427	0.236508846	P05121	SERPINE1
-0.8434158434	0.203078386	P01023	A2M
0.2505094856	0.4992975249	P63261	ACTG1
-0.3359680726	0.2620174029	Q14520	HABP2
0.4311800843	0.3279489729	O00469	PLOD2
-0.3501241618	0.3541007613	P07858	CTSB
0.3610572312	0.1925424492	P11142	HSPA8
-0.3572920287	0.5656085701	O15503	INSIG1
-0.2985753755	0.3131215522	Q14032	BAAT
-0.2820973224	0.4761026821	P05155	SERPING1
-0.05830352245	0.7685261648	O95497	VNN1
-0.2410595905	0.7645947935	Q9Y2D1	ATF5
-0.003162223422	0.995091397	P35579	MYH9
-0.3269033783	0.3879762337	Q08830	FGL1
-1.034875861	0.1887734921	Q06033	ITIH3
0.03393095302	0.8510623258	P27824	CANX
-0.6304797955	0.1914704449	P00439	PAH
0.129686505	0.7580980543	P06133	UGT2B4
-0.1660175827	0.4592135878	P07237	P4HB
