hff_tg_infection_log2fc	hff_tg_infection_padj	host_id	host_name
-0.03733535147	0.8275173035	P00395	MT-CO1
0.00362859447	0.9827533993	P00414	MT-CO3
-0.08243922373	0.7150086735	P02792	FTL
0.1147745661	0.4459660589	P00403	MT-CO2
0.1502007593	0.4571021266	P03901	MT-ND4L
0.01744059923	0.905888918	P00846	MT-ATP6
0.09756970141	0.4866816818	P03905	MT-ND4
0.08059094692	0.9013223393	P03928	MT-ATP8
0.107406864	0.3744460289	P00156	MT-CYB
-0.1301130158	0.4530107872	P03923	MT-ND6
0.06232620807	0.6257131279	P68104	EEF1A1
-0.05239724818	0.7103482803	P03915	MT-ND5
-0.01686720497	0.9363556201	P03886	MT-ND1
0.1082928612	0.6969538335	P03897	MT-ND3
0.08702120292	0.6156275307	P03891	MT-ND2
-0.03602523466	0.9410730381	P43235	CTSK
0.4662402129	0.07103897286	P03956	MMP1
0.03923215451	0.8575429652	P63313	TMSB10
-0.01279706539	0.952889335	P12110	COL6A2
0.001012043821	0.9975995912	P51884	LUM
0.1356226397	0.3271509141	P07996	THBS1
-0.07475020116	0.7233360596	P12109	COL6A1
-0.296256635	0.3405820177	P08123	COL1A2
-0.1625618871	0.4788456516	P02751	FN1
0.2191282944	0.1922265545	P62328	TMSB4X
0.1421196581	0.460148757	P02794	FTH1
0.02998508401	0.9408762768	P09382	LGALS1
0.01200423782	0.9603679227	P01033	TIMP1
0.6896714006	0.05930738447	P08254	MMP3
-0.03900581113	0.8337209932	P63261	ACTG1
-0.4481719387	0.3701649402	P02452	COL1A1
-0.02817386517	0.8866568039	P60709	ACTB
0.2572106555	0.194175425	P61587	RND3
0.006316631038	0.9829840816	P06703	S100A6
0.1502536125	0.3328249717	P61769	B2M
0.003666294563	0.9818553523	P62945	RPL41
-0.1122680643	0.6702043655	P08253	MMP2
-0.1009138916	0.6604568666	P22692	IGFBP4
0.004696057631	0.9792445655	P13639	EEF2
0.1205745709	0.414364926	P40429	RPL13A
0.007011743909	0.9717448196	P05556	ITGB1
-0.08005770181	0.597833428	P07602	PSAP
-0.04321025664	0.8727134136	P08962	CD63
0.09716475161	0.5595691972	P31949	S100A11
0.1007347279	0.6108015747	Q03135	CAV1
0.01565876002	0.9415596309	P07858	CTSB
0.08587593048	0.4278882581	P67809	YBX1
0.1006803364	0.6873561766	P08758	ANXA5
-0.03968265596	0.8439909332	P27797	CALR
-0.01508752423	0.9624701442	P24385	CCND1
-0.0251009747	0.8711118998	P04406	GAPDH
-0.1232144387	0.6969500746	P08670	VIM
0.06687233198	0.6199345851	P62280	RPS11
0.007644446518	0.9852703113	P25398	RPS12
-0.2209599378	0.3308141624	P09486	SPARC
