rhoptry_discharge_score	rhoptry_discharge_beta	rhoptry_discharge_fdr	host_id	host_name
1.17441	0.83235	0.007695	P78381	SLC35A2
1.11309	0.86624	0.0054678	Q15126	PMVK
1.02242	0.80905	0.0084069	Q16851	UGP2
1.021248	1.1152	0.016449	P50570	DNM2
1.01301	0.84668	0.0020661	O00258	GET1
0.93209	0.82504	0.0026711	Q15006	EMC2
0.909228	0.82967	0.0024339	Q8N766	EMC1
0.881225	0.82209	0.016549	P53680	AP2S1
0.86119	0.59247	0.005392	Q96AA3	RFT1
0.85197	0.71016	0.0097751	O43681	GET3
0.844152	0.81798	0.0044237	O15379	HDAC3
0.83028	0.60166	0.051951	Q16864	ATP6V1F
0.82594	0.71607	0.078864	P27449	ATP6V0C
0.822317	0.80397	0.0030947	Q8N4V1	MMGT1
0.786712	0.79983	0.0016216	O75787	ATP6AP2
0.78569	0.65028	0.022281	Q03426	MVK
0.765467	0.78865	0.0085354	Q5J8M3	EMC4
0.74233	0.66717	0.02522	Q9P0I2	EMC3
0.738518	0.66678	0.00037265	Q9BV81	EMC6
0.714369	0.6501	0.029933	P08240	SRPRA
-0.70876	-0.75021	4.1322e-06	P82663	MRPS25
0.66436	0.32671	0.071358	Q9UPQ8	DOLK
0.65853	0.39858	0.12667	P18669	PGAM1
0.65062	0.53379	0.019843	P16615	ATP2A2
0.64484	0.45757	0.19631	O95749	GGPS1
0.64479	0.42422	0.24783	P61978	HNRNPK
0.6313	0.42148	0.014719	P53396	ACLY
0.612344	0.67519	0.00062697	Q15800	MSMO1
0.610563	0.65469	0.013555	Q96CW1	AP2M1
0.599641	0.53627	0.00062697	Q7L5D6	GET4
0.59782	0.46411	0.0091728	P59998	ARPC4
0.59773	0.25547	0.1773	O14735	CDIPT
0.59346	0.504	0.35597	O60508	CDC40
-0.591554	-0.60253	0.0001046	Q5T160	RARS2
0.583421	0.64977	0.0018639	P61026	RAB10
0.57946	0.32067	0.023476	Q9Y5P6	GMPPB
0.57938	0.44864	0.067081	P37108	SRP14
0.57848	0.45754	0.00055642	P06744	GPI
0.57764	0.37652	0.026689	Q9UKN8	GTF3C4
-0.57543	-0.62402	0.016446	Q92538	GBF1
0.57166	0.31917	0.091588	Q9BYB4	GNB1L
-0.56687	-0.72009	8.2492e-07	Q96EL2	MRPS24
0.564816	0.49594	0.048319	P21283	ATP6V1C1
0.56109	0.37883	0.011166	P06733	ENO1
-0.55711	-0.70081	8.7387e-07	Q5JTZ9	AARS2
0.555815	0.48126	0.010641	P11831	SRF
0.555435	0.46244	0.062343	Q9NPA0	EMC7
-0.553559	-0.52682	0.0019163	Q9Y2Z4	YARS2
0.55184	0.18951	0.33306	P04406	GAPDH
0.53759	0.38829	0.11031	O76094	SRP72
0.53742	0.42179	0.0014203	Q7Z6K3	PTAR1
0.53383	0.37939	0.0090621	Q9Y4E6	WDR7
0.530782	0.5655	0.00097616	Q13085	ACACA
0.53003	0.39961	0.0063256	Q15904	ATP6AP1
0.525479	0.43505	0.0044039	Q3ZAQ7	VMA21
0.52477	0.28854	0.11838	Q9H3H5	DPAGT1
0.52442	0.42085	0.0033217	P30153	PPP2R1A
-0.517375	-0.55144	0.00029599	O75436	VPS26A
0.516	0.41315	0.18365	Q00839	HNRNPU
0.5146698	0.52442	0.23546	Q13042	CDC16
0.5141232	0.50927	0.52781	Q9UMS4	PRPF19
-0.512984	-0.4878	0.00027173	Q86U28	ISCA2
0.51038	0.43873	0.23854	P84103	SRSF3
0.508788	0.46201	0.16186	P38606	ATP6V1A
0.50703	0.26904	0.35454	Q06210	GFPT1
0.506526	0.52723	0.00027526	P47224	RABIF
0.50562	0.26642	0.16197	Q96F25	ALG14
0.50464	0.17289	0.4356	P04843	RPN1
0.503868	0.43333	0.0017318	Q12906	ILF3
0.503264	0.52664	0.0016121	Q9H1K0	RBSN
0.501286	0.45443	0.013297	O60763	USO1
-0.499934	-0.48044	2.4644e-07	Q96I51	RCC1L
0.49921	0.40746	0.028448	O43462	MBTPS2
0.498368	0.53106	0.0010133	O00116	AGPS
-0.49773	-0.38565	0.00058077	O75127	PTCD1
0.49213	0.42221	0.13814	Q9Y6N6	LAMC3
-0.49114	-0.6074	0.00035751	O00411	POLRMT
-0.489833	-0.52432	0.0067905	P82650	MRPS22
0.48243	0.46436	0.059101	Q12905	ILF2
0.47851	0.37232	0.006593	Q99447	PCYT2
0.478423	0.4424	0.033396	Q9Y5M8	SRPRB
0.4723928	0.47891	0.018512	Q9Y3A3	MOB4
-0.47178	-0.6002	0.0052434	Q9P2J5	LARS1
0.470006	0.40527	0.015739	Q99426	TBCB
0.46959	0.5931	0.12522	O00303	EIF3F
0.46917	0.25642	0.60073	P11172	UMPS
0.468326	0.45985	0.0092187	P61421	ATP6V0D1
0.467126	0.46914	0.0044058	Q15717	ELAVL1
0.466689	0.4522	0.00037265	O95782	AP2A1
-0.46612	-0.62339	0.005392	P62875	POLR2L
-0.46441	-0.60545	0.00072029	O60783	MRPS14
-0.45881	-0.59439	0.00017117	Q9NRX2	MRPL17
0.4577998	0.46188	0.0054536	Q15437	SEC23B
-0.457223	-0.49843	1.8136e-05	Q9H845	ACAD9
-0.4561076	-0.45743	0.20286	P38646	HSPA9
0.454824	0.39314	0.0084157	P53675	CLTCL1
0.45321	0.34122	0.39619	P47813	EIF1AX
0.448226	0.46939	0.00027526	Q13951	CBFB
0.44485	0.32184	0.14419	Q9HCE5	METTL14
