gene_id	iron_depletion_protein_log2fc	iron_depletion_protein_padj	iron_depletion_rna_log2fc
TGGT1_200010	0.0329	0.8245	
TGGT1_200240	0.8014	0.0328	
TGGT1_200250	-0.1663	0.7472	
TGGT1_200280	0.1394	0.4872	
TGGT1_200290	0.23	0.2018	
TGGT1_200310	0.0383	0.9505	
TGGT1_200330	-0.0239	0.8753	
TGGT1_200360	0.5634	0.0394	
TGGT1_200370	-0.008	0.9782	
TGGT1_200385	0.3278	0.3783	
TGGT1_200400	-0.6581	0.0449	
TGGT1_200430	-0.6456	0.013	
TGGT1_200440	0.4608	0.0152	
TGGT1_200460	-0.2981	0.092	
TGGT1_200470	0.1278	0.3623	
TGGT1_201120	-1.4126	0.0593	
TGGT1_201130	0.5963	0.0254	
TGGT1_201140	0.1844	0.1517	
TGGT1_201150	0.1063	0.4768	
TGGT1_201170	-1.01	0.0194	
TGGT1_201180A	1.5476	0.0034	
TGGT1_201200	-0.0107	0.9485	
TGGT1_201210	0.5841	0.252	
TGGT1_201220	-0.1733	0.2127	
TGGT1_201230	-0.3091	0.2394	
TGGT1_201240	0.429	0.0332	
TGGT1_201250	-0.1943	0.4843	
TGGT1_201260	0.052	0.8214	
TGGT1_201270	0.189	0.3997	
TGGT1_201380	0.2585	0.1607	
TGGT1_201390	0.6917	0.0544	
TGGT1_201400	0.0566	0.6704	
TGGT1_201520	0.4204	0.0459	
TGGT1_201630A	0.6043	0.0327	
TGGT1_201630B	0.52	0.0152	
TGGT1_201670	0.3402	0.1969	
TGGT1_201680	-0.3202	0.0648	
TGGT1_201700	-0.0471	0.6852	
TGGT1_201710	0.1059	0.5037	
TGGT1_201720	-0.4801	0.0345	
TGGT1_201760	0.0431	0.8629	
TGGT1_201770	-0.143	0.5105	
TGGT1_201780	0.2934	0.3153	
TGGT1_201790	-0.2601	0.0826	
TGGT1_201800	0.0847	0.4732	
TGGT1_201810	0.0906	0.4335	
TGGT1_201830	0.1021	0.3712	
TGGT1_201840	1.0805	0.1033	
TGGT1_201860	0.3313	0.0544	
TGGT1_201880	-0.2624	0.3805	
TGGT1_201900	0.2493	0.1351	
TGGT1_202010	-0.3053	0.1489	
TGGT1_202020	1.6578	0.2166	
TGGT1_202070	-0.1535	0.4691	
TGGT1_202080	0.3431	0.0562	
TGGT1_202120	-0.3027	0.0822	
TGGT1_202160	0.0928	0.8167	
TGGT1_202170	-0.0846	0.4385	
TGGT1_202180	0.2455	0.1244	
TGGT1_202190	0.0917	0.4466	
TGGT1_202200	0.4685	0.0258	
TGGT1_202220	0.3589	0.0448	
TGGT1_202230	-0.0263	0.9249	
TGGT1_202240	-0.1703	0.1831	
TGGT1_202250	-0.0565	0.7143	
TGGT1_202300	0.433	0.0212	
TGGT1_202310	-0.5868	0.0112	
TGGT1_202350	-0.1974	0.3197	
TGGT1_202360	-0.6205	0.0219	
TGGT1_202370	-0.0483	0.7446	
TGGT1_202380	0.1755	0.2965	
TGGT1_202390	0.3963	0.0805	
TGGT1_202410	-1.2549	0.0057	
TGGT1_202420	0.3554	0.1284	
TGGT1_202430	0.0675	0.611	
TGGT1_202440	0.045	0.7861	
TGGT1_202460	0.0667	0.5691	
TGGT1_202470	0.444	0.1306	
TGGT1_202480	0.0558	0.6346	
TGGT1_202490	-0.9923	0.0051	
TGGT1_202500	-0.1043	0.6434	
TGGT1_202510	-0.4365	0.494	
TGGT1_202520	0.1649	0.3242	
TGGT1_202530	0.0611	0.6421	
TGGT1_202540	0.2561	0.1817	
TGGT1_202550	-0.0073	0.9643	
TGGT1_202568	0.1303	0.6776	
