gene_id	mrna_log2_remaining_4h_actinomycin
TGGT1_231470	0.9053876849
TGGT1_214580	-1.86627778
TGGT1_253300	1.768951156
TGGT1_306710	1.554989331
TGGT1_218400	1.180827841
TGGT1_260375	0.4831539117
TGGT1_211660	3.564387075
TGGT1_409030	-3.095606654
TGGT1_410610	-0.8320093341
TGGT1_231175	-2.136059797
TGGT1_261240	0.2905905382
TGGT1_297647	0.7009855202
TGGT1_240930	0.1952361167
TGGT1_257572	-4.231480312
TGGT1_411210	1.278463467
TGGT1_211280	0.5729329409
TGGT1_306720	1.713514742
TGGT1_411020	2.329164455
TGGT1_225680	-0.3929674132
TGGT1_264100	1.847851181
TGGT1_293500	2.198816965
TGGT1_410390	1.162312378
TGGT1_213885	-1.786972213
TGGT1_219660	-0.1588277912
TGGT1_243635	1.489676968
TGGT1_274170	3.801416597
TGGT1_409830	-0.609785389
TGGT1_410340	-2.15379076
TGGT1_290970	0.9995944859
TGGT1_200340	1.055835155
TGGT1_307045	2.791025086
TGGT1_206430	0.6878727584
TGGT1_229300	-1.587958928
TGGT1_271320	1.392758717
TGGT1_278580	-0.03656463825
TGGT1_364920	-0.3740237787
TGGT1_233842	1.038292175
TGGT1_258105	0.7700527049
TGGT1_299995	3.508728708
TGGT1_293258	-3.32585281
TGGT1_365020	-0.5787671141
TGGT1_411400	0.3403336291
TGGT1_213635	1.247141028
TGGT1_280465	0.3944685729
TGGT1_244408	0.3322041337
TGGT1_308945	1.841458847
TGGT1_215580	2.180705937
TGGT1_276155	-2.491275506
TGGT1_203175	2.670008207
TGGT1_225105	1.714729439
TGGT1_318632	-0.7034897819
TGGT1_200700	2.794774995
TGGT1_237170	1.197823865
TGGT1_253760	2.617973027
TGGT1_269930	0.9201957239
TGGT1_279355	1.458371459
TGGT1_314362	1.12378505
TGGT1_409590	-0.02227855529
TGGT1_246210	1.515820337
TGGT1_267630	-1.729744512
TGGT1_270925	1.101708874
TGGT1_215180	-0.2027018438
TGGT1_242040	2.174074338
TGGT1_254330	-0.5352242859
TGGT1_287960	0.01000371338
TGGT1_299160	2.62948671
TGGT1_271115	1.752656566
TGGT1_286595	1.486833076
TGGT1_306480	-1.920628298
TGGT1_306730	1.86776918
TGGT1_207460A	1.911001268
TGGT1_236670B	0.4647971498
TGGT1_286250	3.020535105
TGGT1_306940	-1.555940725
TGGT1_411360	-1.87793125
TGGT1_248900	0.2552761705
TGGT1_251855	2.995948993
TGGT1_264150	-0.3918672986
TGGT1_270260	-1.295849808
TGGT1_217724	3.564703508
TGGT1_258750	-1.400428982
TGGT1_273985	-1.67546958
TGGT1_203430	-1.342337268
TGGT1_244920	3.274503547
TGGT1_266480	3.005545444
TGGT1_283698	2.412708982
TGGT1_278245	-0.205027863
TGGT1_315260	-0.3691790427
TGGT1_203735	-0.468881663
TGGT1_411040	1.988244159
TGGT1_306455	-2.869094364
TGGT1_315165	1.601358547
TGGT1_207030	-1.854044988
TGGT1_202255	1.169835249
TGGT1_281660	-0.6394872627
TGGT1_211270	0.3839565052
TGGT1_244728	2.354102071
TGGT1_253120	3.395009557
TGGT1_314340	-0.5810809948
TGGT1_357960	3.039337749
TGGT1_254590	0.319209508
TGGT1_214835	1.08754202
TGGT1_250030	-0.9376489543
TGGT1_254840	0.6301595488
TGGT1_267150	-3.373219851
TGGT1_222080	2.738500097
TGGT1_253770	1.709712482
TGGT1_261580	1.28980856
TGGT1_267160	-3.484842457
TGGT1_280510	-2.015054576
TGGT1_204090	1.529128287
TGGT1_257610	-2.286835082
TGGT1_301218	2.733013303
TGGT1_319090	1.485816759
TGGT1_210235	1.053436564
TGGT1_305610	-0.9348015812
TGGT1_316290	1.928206962
TGGT1_273915	-0.5375836969
TGGT1_277950	-3.683872176
TGGT1_286020	-2.374270375
TGGT1_313475	1.10316806
TGGT1_241310	1.362115304
TGGT1_311640	0.2216144537
TGGT1_356120	4.377967093
TGGT1_218192	1.564093217
TGGT1_258828	-0.674745125
TGGT1_297488	0.1294465963
TGGT1_308965	-0.6556251337
TGGT1_365840	3.327755642
TGGT1_204330	0.1370650119
TGGT1_224710	2.880766454
TGGT1_248440	-0.1364733361
TGGT1_238040B	-0.06310208405
TGGT1_244732	1.406228649
TGGT1_235635	1.392542155
TGGT1_244940	2.5800492
TGGT1_260290	-2.64202582
TGGT1_410220	-0.6527140291
TGGT1_462966	-1.866567758
TGGT1_219125	2.250627713
TGGT1_226565	-3.441848313
TGGT1_307270	-0.5094966202
TGGT1_227615	2.018665508
TGGT1_270080	1.661742308
TGGT1_244726	2.105989677
TGGT1_253050	-1.111473523
TGGT1_255860	-1.036563735
TGGT1_266675	-2.30112435
TGGT1_266820	0.6144678313
TGGT1_315570	1.611832779
TGGT1_408850	-1.322374381
TGGT1_223650	-0.5896769358
TGGT1_271025	3.091759184
TGGT1_410120	-1.809308219
TGGT1_216640	1.905623868
TGGT1_264260	2.854297685
TGGT1_292275	2.019719033
TGGT1_212145	-2.097326116
TGGT1_277930	1.432159833
TGGT1_311485	-2.477292272
TGGT1_213415	0.1865044128
TGGT1_267030	3.327725581
TGGT1_270680	0.9029323329
TGGT1_257360	3.477027722
TGGT1_261250	2.69876573
TGGT1_286525	0.06956002855
TGGT1_220420	3.451319113
TGGT1_270655	2.563885334
